NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
189,Soins physiques et psychiatriques de courte durée,Résultats anormaux de l'examen des urines  sans diagnostic (R80-R82),29,42,1.4,5,1,5,10,4,4,0,0,27.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
190,Soins physiques et psychiatriques de courte durée,Résultats anormaux de l'examen d'autres liquides  substances et tissus  sans diagnostic (R83-R89),10,26,2.6,2,0,1,2,1,4,0,0,40,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
191,Soins physiques et psychiatriques de courte durée,Résultats anormaux d'imagerie diagnostique et d'épreuves fonctionnelles  sans diagnostic (R90-R94),437,2131,4.9,9,4,17,87,137,183,4,0,60.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
192,Soins physiques et psychiatriques de courte durée,Causes de mortalité mal définies et inconnues (R95-R99),4,46,11.5,0,0,0,0,1,3,1,0,100,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
193,Soins physiques et psychiatriques de courte durée,Lésions traumatiques de la tête (S00-S09),5344,56568,10.6,524,320,667,756,570,2507,382,1,82.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
194,Soins physiques et psychiatriques de courte durée,Lésions traumatiques du cou (S10-S19),834,13415,16.1,18,38,114,181,104,379,44,0,80,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
195,Soins physiques et psychiatriques de courte durée,Lésions traumatiques du thorax (S20-S29),3370,34036,10.1,15,53,295,620,538,1849,92,2.2,91.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
196,Soins physiques et psychiatriques de courte durée,Lésions traumatiques de l'abdomen  des lombes  du rachis lombaire et du bassin (S30-S39),4718,65713,13.9,63,179,496,652,512,2816,145,3.4,86.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
197,Soins physiques et psychiatriques de courte durée,Lésions traumatiques de l'épaule et de la partie supérieure du bras (S40-S49),3411,33442,9.8,375,133,256,514,460,1673,43,0,74.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
198,Soins physiques et psychiatriques de courte durée,Lésions traumatiques du coude et de l'avant-bras (S50-S59),2563,13365,5.2,172,255,314,545,412,865,11,0,73.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
199,Soins physiques et psychiatriques de courte durée,Lésions traumatiques du poignet et de la main (S60-S69),910,3621,4,38,81,282,255,112,142,1,0,77.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
200,Soins physiques et psychiatriques de courte durée,Lésions traumatiques de la hanche et de la cuisse (S70-S79),11215,199866,17.8,143,133,261,774,1317,8587,537,0.7,80.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
201,Soins physiques et psychiatriques de courte durée,Lésions traumatiques du genou et de la partie inférieure de la jambe (S80-S89),6014,53547,8.9,78,322,1036,1600,1072,1906,27,0,76.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
202,Soins physiques et psychiatriques de courte durée,Lésions traumatiques de la cheville et du pied (S90-S99),713,5536,7.8,21,39,141,193,104,215,3,0,71.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
203,Soins physiques et psychiatriques de courte durée,Lésions traumatiques de plusieurs parties du corps (T00-T07),120,1188,9.9,1,9,19,32,19,40,2,0,88.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
204,Soins physiques et psychiatriques de courte durée,Lésions traumatiques de siège non précisé du tronc  d'un membre ou région du corps (T08-T14),80,401,5,9,3,15,5,3,45,2,0,85,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
205,Soins physiques et psychiatriques de courte durée,Effets dus à un corps étranger ayant pénétré dans un orifice naturel (T15-T19),480,1675,3.5,146,49,55,80,45,105,18,5.6,88.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
206,Soins physiques et psychiatriques de courte durée,Brûlures et corrosions de la surface externe du corps  selon la localisation (T20-T25),459,5159,11.2,96,26,107,132,47,51,10,0,48.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
207,Soins physiques et psychiatriques de courte durée,Brûlures et corrosions de l'oeil et des organes internes (T26-T28),37,258,7,0,3,14,9,5,6,0,0,54.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
208,Soins physiques et psychiatriques de courte durée,Brûlures et corrosions de parties du corps  multiples et non précisées (T29-T32),22,135,6.1,3,4,5,7,2,1,0,0,86.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
209,Soins physiques et psychiatriques de courte durée,Gelure (T33-T35),38,825,21.7,0,3,14,10,5,6,1,0,50,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
210,Soins physiques et psychiatriques de courte durée,Intoxication par des drogues  médicaments et substances biologiques (T36-T50),3229,19033,5.9,155,469,882,880,393,450,45,2.2,92,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
211,Soins physiques et psychiatriques de courte durée,Effets toxiques de substances d'origine essentiellement non médicinale (T51-T65),421,2182,5.2,34,43,101,136,54,53,8,0,86.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
212,Soins physiques et psychiatriques de courte durée,Effets de causes externes  autres et non précisés (T66-T78),916,3445,3.8,238,86,156,167,106,163,34,5.9,89.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
213,Soins physiques et psychiatriques de courte durée,Certaines complications précoces des traumatismes (T79),362,4149,11.5,3,11,78,54,47,169,10,0,89.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
214,Soins physiques et psychiatriques de courte durée,Complications de soins chirurgicaux et médicaux  non classées ailleurs (T80-T88),15259,122859,8.1,493,336,1445,3527,3668,5790,239,5,57.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
215,Soins physiques et psychiatriques de courte durée,Sujets ayant recours aux services de santé pour des examens divers (Z00-Z13),2716,13066,4.8,808,243,344,431,353,537,11,0,21.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
216,Soins physiques et psychiatriques de courte durée,Sujets pouvant courir un risque lié à des maladies transmissibles (Z20-Z29),63,287,4.6,38,0,10,1,9,5,0,0,25.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
217,Soins physiques et psychiatriques de courte durée,Sujets ayant recours aux services de santé pour des motifs liés à la reproduction (Z30-Z39),60033,129793,2.2,57507,33,2392,101,0,0,48,22.9,0.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
218,Soins physiques et psychiatriques de courte durée,Sujets ayant recours aux services de santé pour des actes médicaux et des soins spécifiques (Z40-Z54),28991,264960,9.1,953,838,1848,5280,5661,14411,8117,0.6,26.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
219,Soins physiques et psychiatriques de courte durée,Sujets dont la santé peut être menacée par des conditions socio-économiques et psycho-sociales (Z55-Z65),247,2277,9.2,7,81,69,48,14,28,0,0,76.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
220,Soins physiques et psychiatriques de courte durée,Sujets ayant recours aux services de santé pour d'autres motifs (Z70-Z76),763,13043,17.1,146,28,88,71,69,361,13,0,38.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
221,Soins physiques et psychiatriques de courte durée,TOTAL,833258,6525783,7.8,125409,21716,148918,127805,121546,287864,32069,1.8,53.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
222,Soins en chirurgie d'un jour,Maladies intestinales infectieuses (A00-A09),14,14,1,3,7,1,3,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
223,Soins en chirurgie d'un jour,Tuberculose (A15-A19),5,5,1,1,0,3,0,0,1,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
224,Soins en chirurgie d'un jour,Certaines maladies zoonotiques bactériennes (A20-A28),2,2,1,2,0,0,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
225,Soins en chirurgie d'un jour,Autres maladies bactériennes (A30-A49),14,14,1,8,2,0,2,1,1,0,0,7.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
226,Soins en chirurgie d'un jour,Infections dont le mode de transmission est essentiellement sexuel (A50-A64),397,397,1,0,7,148,173,53,16,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
227,Soins en chirurgie d'un jour,Autres maladies à spirochètes (A65-A69),1,1,1,0,0,0,1,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
228,Soins en chirurgie d'un jour,Autres maladies causées par la Chlamydia (A70-A74),1,1,1,0,0,0,0,0,1,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
229,Soins en chirurgie d'un jour,Infections virales caractérisées par des lésions cutanéo-muqueuses (B00-B09),84,84,1,15,2,11,16,13,27,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
230,Soins en chirurgie d'un jour,Hépatite virale (B15-B19),1,1,1,0,1,0,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
231,Soins en chirurgie d'un jour,Autres maladies virales (B25-B34),3,3,1,2,0,0,0,1,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
232,Soins en chirurgie d'un jour,Mycoses (B35-B49),38,38,1,1,2,2,11,8,14,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
233,Soins en chirurgie d'un jour,Maladies dues à des protozoaires (B50-B64),3,3,1,0,1,1,0,1,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
234,Soins en chirurgie d'un jour,Helminthiases (B65-B83),1,1,1,0,0,1,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
235,Soins en chirurgie d'un jour,Pédiculose  acariase et autres infestations (B85-B89),1,1,1,0,0,0,0,0,1,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
236,Soins en chirurgie d'un jour,Tumeurs malignes de la lèvre  de la cavité buccale et du pharynx (C00-C14),451,451,1,1,0,12,119,151,168,0,0,0.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
237,Soins en chirurgie d'un jour,Tumeurs malignes des organes digestifs (C15-C26),643,643,1,0,0,15,176,212,240,0,0,0.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
238,Soins en chirurgie d'un jour,Tumeurs malignes des organes respiratoires et intrathoraciques (C30-C39),512,512,1,1,0,1,101,178,231,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
239,Soins en chirurgie d'un jour,Tumeurs malignes des os et du cartilage articulaire (C40-C41),33,33,1,4,9,7,4,7,2,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
240,Soins en chirurgie d'un jour,Mélanome malin et autres tumeurs malignes de la peau (C43-C44),5155,5155,1,3,4,147,903,1107,2991,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
241,Soins en chirurgie d'un jour,Tumeurs malignes du tissu mésothélial et des tissus mous (C45-C49),148,148,1,9,0,18,25,28,68,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
242,Soins en chirurgie d'un jour,Tumeur maligne du sein (C50),5716,5716,1,0,1,193,2041,1919,1562,0,0,0.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
243,Soins en chirurgie d'un jour,Tumeurs malignes des organes génitaux de la femme (C51-C58),514,514,1,0,2,77,164,142,129,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
244,Soins en chirurgie d'un jour,Tumeurs malignes des organes génitaux de l'homme (C60-C63),705,705,1,0,4,145,134,188,234,0,0,0.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
245,Soins en chirurgie d'un jour,Tumeurs malignes des voies urinaires (C64-C68),1834,1834,1,0,1,13,199,482,1139,0,0,0.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
246,Soins en chirurgie d'un jour,Tumeurs malignes de l'oeil  de l'encéphale et d'autres parties du système nerveux central (C69-C72),142,142,1,45,7,6,23,22,39,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
247,Soins en chirurgie d'un jour,Tumeurs malignes de la thyroïde et d'autres glandes endocrines (C73-C75),266,266,1,11,2,70,125,37,21,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
248,Soins en chirurgie d'un jour,Tumeurs malignes de sièges mal définis  secondaires et non précisés (C76-C80),504,504,1,4,1,25,122,179,173,0,0,0.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
249,Soins en chirurgie d'un jour,Tumeurs malignes des tissus lymphoïdes  hématopoïétiques et apparentés (C81-C96),867,867,1,156,98,75,146,179,213,0,0,0.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
250,Soins en chirurgie d'un jour,Tumeurs in situ (D00-D09),6384,6384,1,1,2,446,1487,1734,2714,0,0,0.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
251,Soins en chirurgie d'un jour,Tumeurs bénignes (D10-D36),10181,10181,1,370,526,2190,4150,1750,1195,0,0,0.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
252,Soins en chirurgie d'un jour,Tumeurs à évolution imprévisible ou inconnue (D37-D48),609,609,1,7,14,78,138,143,229,0,0,0.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
253,Soins en chirurgie d'un jour,Anémies nutritionnelles (D50-D53),6,6,1,0,0,1,3,1,1,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
254,Soins en chirurgie d'un jour,Anémies hémolytiques (D55-D59),1,1,1,1,0,0,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
255,Soins en chirurgie d'un jour,Anémies aplastiques (aplasies médullaires) et autres anémies (D60-D64),7,7,1,0,3,1,2,0,1,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
256,Soins en chirurgie d'un jour,Anomalies de la coagulation  purpura et autres affections hémorragiques (D65-D69),12,12,1,3,9,0,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
257,Soins en chirurgie d'un jour,Autres maladies du sang et des organes hématopoïétiques (D70-D77),19,19,1,3,6,3,2,3,2,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
258,Soins en chirurgie d'un jour,Certaines anomalies du système immunitaire (D80-D89),28,28,1,0,0,8,13,6,1,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
259,Soins en chirurgie d'un jour,Affections de la glande thyroïde (E00-E07),125,125,1,0,2,18,60,28,17,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
260,Soins en chirurgie d'un jour,Diabète sucré (E10-E14),279,279,1,0,0,19,98,85,77,0,0,4.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
261,Soins en chirurgie d'un jour,Maladies des autres glandes endocrines (E20-E35),37,37,1,9,2,11,7,4,4,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
262,Soins en chirurgie d'un jour,Malnutrition (E40-E46),3,3,1,0,1,0,2,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
263,Soins en chirurgie d'un jour,Obésité et autres excès d'apport (E65-E68),505,505,1,2,5,211,260,22,5,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
264,Soins en chirurgie d'un jour,Anomalies du métabolisme (E70-E90),72,72,1,11,5,14,26,12,4,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
265,Soins en chirurgie d'un jour,Troubles mentaux et du comportement liés à l'utilisation de substances psycho-actives (F10-F19),1,1,1,0,0,0,1,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
266,Soins en chirurgie d'un jour,Schizophrénie  trouble schizotypique et troubles délirants (F20-F29),113,113,1,0,0,19,55,11,28,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
267,Soins en chirurgie d'un jour,Troubles de l'humeur [affectifs] (F30-F39),615,615,1,0,0,68,230,141,176,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
268,Soins en chirurgie d'un jour,Troubles névrotiques  troubles liés à des facteurs de stress et troubles somatoformes (F40-F48),1,1,1,0,1,0,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
269,Soins en chirurgie d'un jour,Troubles de la personnalité et du comportement chez l'adulte (F60-F69),4,4,1,0,0,4,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
270,Soins en chirurgie d'un jour,Retard mental (F70-F79),3,3,1,0,2,1,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
271,Soins en chirurgie d'un jour,Troubles du développement psychologique (F80-F89),24,24,1,19,5,0,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
272,Soins en chirurgie d'un jour,Troubles du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence (F90-F98),1,1,1,1,0,0,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
273,Soins en chirurgie d'un jour,Maladies inflammatoires du système nerveux central (G00-G09),5,5,1,3,1,0,0,0,1,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
274,Soins en chirurgie d'un jour,Affections dégénératives systémiques affectant principalement le système nerveux central (G10-G14),52,52,1,37,14,0,0,1,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
275,Soins en chirurgie d'un jour,Syndromes extrapyramidaux et troubles de la motricité (G20-G26),7,7,1,1,1,0,0,4,1,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
276,Soins en chirurgie d'un jour,Autres affections dégénératives du système nerveux (G30-G32),2,2,1,2,0,0,0,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
277,Soins en chirurgie d'un jour,Maladies démyélinisantes du système nerveux central (G35-G37),21,21,1,11,4,3,2,0,1,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
278,Soins en chirurgie d'un jour,Affections épisodiques et paroxystiques (G40-G47),308,308,1,239,40,11,15,3,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
279,Soins en chirurgie d'un jour,Affections des nerfs  des racines et des plexus nerveux (G50-G59),8533,8533,1,8,7,960,3666,1831,2061,0,0,0.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
280,Soins en chirurgie d'un jour,Polynévrites et autres affections du système nerveux périphérique (G60-G64),38,38,1,0,1,4,13,7,13,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
281,Soins en chirurgie d'un jour,Affections musculaires et des jonctions neuro-musculaires (G70-G73),87,87,1,3,2,8,26,30,18,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
282,Soins en chirurgie d'un jour,Paralysies cérébrales et autres syndromes paralytiques (G80-G83),99,99,1,68,26,3,0,2,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
283,Soins en chirurgie d'un jour,Autres affections du système nerveux (G90-G99),103,103,1,41,11,24,17,7,3,0,0,12.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
284,Soins en chirurgie d'un jour,Affections de la paupière  de l'appareil lacrymal et de l'orbite (H00-H06),3856,3856,1,246,58,199,670,947,1736,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
285,Soins en chirurgie d'un jour,Affections de la conjonctive (H10-H13),687,687,1,11,6,91,271,154,154,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
286,Soins en chirurgie d'un jour,Affections de la sclère  de la cornée  de l'iris et du corps ciliaire (H15-H22),948,948,1,15,14,107,176,195,441,0,0,0.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
