NUMEROTATION,TYPE_DE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
184,"Soins physiques et psychiatriques de courte durée","Symptômes et signes relatifs à l'appareil urinaire (R30-R39)",1829,8276,4.5,20,12,32,132,311,1322,20,0.0,69.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
185,"Soins physiques et psychiatriques de courte durée","Symptômes et signes relatifs à la connaissance, la perception, l'humeur et le comportement (R40-R46)",2442,21095,8.6,75,559,328,302,253,925,48,2.1,81.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
186,"Soins physiques et psychiatriques de courte durée","Symptômes et signes relatifs au langage et à la voix (R47-R49)",143,1026,7.2,2,4,5,20,29,83,0,0.0,93.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
187,"Soins physiques et psychiatriques de courte durée","Symptômes et signes généraux (R50-R69)",15033,178166,11.9,1994,361,584,1445,2051,8598,1305,1.5,84.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
188,"Soins physiques et psychiatriques de courte durée","Résultats anormaux de l'examen du sang, sans diagnostic (R70-R79)",184,784,4.3,23,8,22,30,37,64,0,0.0,73.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
189,"Soins physiques et psychiatriques de courte durée","Résultats anormaux de l'examen des urines, sans diagnostic (R80-R82)",14,53,3.8,2,0,3,5,2,2,0,0.0,28.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
190,"Soins physiques et psychiatriques de courte durée","Résultats anormaux de l'examen d'autres liquides, substances et tissus, sans diagnostic (R83-R89)",10,30,3.0,6,0,0,2,1,1,0,0.0,60.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
191,"Soins physiques et psychiatriques de courte durée","Résultats anormaux d'imagerie diagnostique et d'épreuves fonctionnelles, sans diagnostic (R90-R94)",351,1769,5.0,9,11,21,57,95,158,7,0.0,61.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
192,"Soins physiques et psychiatriques de courte durée","Causes de mortalité mal définies et inconnues (R95-R99)",5,31,6.2,1,0,1,1,0,2,2,50.0,80.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
193,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques de la tête (S00-S09)",5030,61823,12.3,421,226,551,569,590,2673,454,0.2,86.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
194,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques du cou (S10-S19)",880,16627,18.9,19,26,113,152,167,403,55,0.0,81.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
195,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques du thorax (S20-S29)",3244,37658,11.6,10,64,263,520,526,1861,109,0.9,91.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
196,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques de l'abdomen, des lombes, du rachis lombaire et du bassin (S30-S39)",4532,65479,14.4,67,202,457,573,450,2783,160,0.0,89.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
197,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques de l'épaule et de la partie supérieure du bras (S40-S49)",2892,30850,10.7,330,115,199,315,393,1540,57,0.0,77.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
198,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques du coude et de l'avant-bras (S50-S59)",1839,11978,6.5,98,196,230,361,292,662,13,0.0,74.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
199,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques du poignet et de la main (S60-S69)",681,3277,4.8,18,70,180,187,84,142,1,0.0,62.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
200,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques de la hanche et de la cuisse (S70-S79)",11147,198121,17.8,123,156,216,647,1284,8721,723,0.4,84.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
201,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques du genou et de la partie inférieure de la jambe (S80-S89)",5052,47791,9.5,48,296,921,1204,889,1694,41,0.0,79.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
202,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques de la cheville et du pied (S90-S99)",598,5240,8.8,23,30,113,120,90,222,5,0.0,75.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
203,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques de plusieurs parties du corps (T00-T07)",100,1059,10.6,2,10,23,21,13,31,6,0.0,81.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
204,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques de siège non précisé du tronc, d'un membre ou région du corps (T08-T14)",47,340,7.2,5,3,6,9,5,19,0,0.0,83.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
205,"Soins physiques et psychiatriques de courte durée","Effets dus à un corps étranger ayant pénétré dans un orifice naturel (T15-T19)",485,1796,3.7,133,60,76,58,52,106,16,0.0,90.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
206,"Soins physiques et psychiatriques de courte durée","Brûlures et corrosions de la surface externe du corps, selon la localisation (T20-T25)",340,6080,17.9,55,23,92,81,37,52,14,0.0,37.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
207,"Soins physiques et psychiatriques de courte durée","Brûlures et corrosions de l'oeil et des organes internes (T26-T28)",29,226,7.8,2,2,3,6,5,11,2,0.0,62.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
208,"Soins physiques et psychiatriques de courte durée","Brûlures et corrosions de parties du corps, multiples et non précisées (T29-T32)",15,277,18.5,2,1,4,2,3,3,0,0.0,80.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
209,"Soins physiques et psychiatriques de courte durée","Gelure (T33-T35)",34,517,15.2,1,2,5,16,7,3,0,0.0,52.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
210,"Soins physiques et psychiatriques de courte durée","Intoxication par des drogues, médicaments et substances biologiques (T36-T50)",2883,18043,6.3,129,511,751,734,328,430,50,2.0,89.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
211,"Soins physiques et psychiatriques de courte durée","Effets toxiques de substances d'origine essentiellement non médicinale (T51-T65)",324,1818,5.6,23,29,77,92,54,49,11,0.0,84.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
212,"Soins physiques et psychiatriques de courte durée","Effets de causes externes, autres et non précisés (T66-T78)",680,2999,4.4,169,89,122,121,72,107,50,0.0,84.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
213,"Soins physiques et psychiatriques de courte durée","Certaines complications précoces des traumatismes (T79)",389,5510,14.2,2,7,62,26,52,240,17,0.0,90.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
214,"Soins physiques et psychiatriques de courte durée","Complications de soins chirurgicaux et médicaux, non classées ailleurs (T80-T88)",13668,106031,7.8,354,291,1184,2798,3204,5837,300,5.3,59.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
215,"Soins physiques et psychiatriques de courte durée","Codes provisoires attribués temporairement par l'Organisation mondiale de la Santé à de nouvelles maladies d'étiologie incertaine ou d'usage urgent (U00-U49)",14833,154030,10.4,842,84,309,909,1676,11013,1396,0.8,92.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
216,"Soins physiques et psychiatriques de courte durée","Sujets ayant recours aux services de santé pour des examens divers (Z00-Z13)",2312,10703,4.6,649,272,296,344,302,449,17,0.0,24.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
217,"Soins physiques et psychiatriques de courte durée","Sujets pouvant courir un risque lié à des maladies transmissibles (Z20-Z29)",82,190,2.3,64,2,10,2,1,3,1,0.0,6.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
218,"Soins physiques et psychiatriques de courte durée","Sujets ayant recours aux services de santé pour des motifs liés à la reproduction (Z30-Z39)",52670,99143,1.9,51079,27,1489,75,0,0,43,34.9,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
219,"Soins physiques et psychiatriques de courte durée","Sujets ayant recours aux services de santé pour des actes médicaux et des soins spécifiques (Z40-Z54)",27235,234740,8.6,873,693,1469,3991,5036,15173,9501,0.3,34.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
220,"Soins physiques et psychiatriques de courte durée","Sujets dont la santé peut être menacée par des conditions socio-économiques et psycho-sociales (Z55-Z65)",198,3138,15.8,3,52,39,32,24,48,0,0.0,73.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
221,"Soins physiques et psychiatriques de courte durée","Sujets ayant recours aux services de santé pour d'autres motifs (Z70-Z76)",831,20165,24.3,110,15,111,72,83,440,17,0.0,46.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
222,"Soins physiques et psychiatriques de courte durée","TOTAL",754112,6102304,8.1,120323,19829,133433,101852,107130,271545,35859,1.2,53.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
223,"Soins en chirurgie d'un jour","Maladies intestinales infectieuses (A00-A09)",22,22,1.0,1,6,8,4,3,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
224,"Soins en chirurgie d'un jour","Tuberculose (A15-A19)",7,7,1.0,0,0,1,1,4,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
225,"Soins en chirurgie d'un jour","Autres maladies bactériennes (A30-A49)",12,12,1.0,6,0,1,3,0,2,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
226,"Soins en chirurgie d'un jour","Infections dont le mode de transmission est essentiellement sexuel (A50-A64)",293,293,1.0,1,0,78,134,65,15,0,0.0,0.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
227,"Soins en chirurgie d'un jour","Autres maladies à spirochètes (A65-A69)",1,1,1.0,1,0,0,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
228,"Soins en chirurgie d'un jour","Infections virales du système nerveux central (A80-A89)",1,1,1.0,0,0,0,0,1,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
229,"Soins en chirurgie d'un jour","Infections virales caractérisées par des lésions cutanéo-muqueuses (B00-B09)",38,38,1.0,6,2,5,11,6,8,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
230,"Soins en chirurgie d'un jour","Immunodéficience humaine virale [VIH]",1,1,1.0,0,0,0,0,1,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
231,"Soins en chirurgie d'un jour","Autres maladies virales (B25-B34)",2,2,1.0,0,1,0,0,0,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
232,"Soins en chirurgie d'un jour","Mycoses (B35-B49)",51,51,1.0,5,5,1,7,17,16,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
233,"Soins en chirurgie d'un jour","Maladies dues à des protozoaires (B50-B64)",9,9,1.0,0,0,3,4,2,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
234,"Soins en chirurgie d'un jour","Helminthiases (B65-B83)",5,5,1.0,1,0,2,0,0,2,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
235,"Soins en chirurgie d'un jour","Autres maladies infectieuses (B99)",2,2,1.0,0,0,0,0,1,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
236,"Soins en chirurgie d'un jour","Tumeurs malignes de la lèvre, de la cavité buccale et du pharynx (C00-C14)",335,335,1.0,0,1,11,89,97,137,0,0.0,0.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
237,"Soins en chirurgie d'un jour","Tumeurs malignes des organes digestifs (C15-C26)",622,622,1.0,0,0,17,136,224,245,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
238,"Soins en chirurgie d'un jour","Tumeurs malignes des organes respiratoires et intrathoraciques (C30-C39)",408,408,1.0,0,1,4,64,155,184,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
239,"Soins en chirurgie d'un jour","Tumeurs malignes des os et du cartilage articulaire (C40-C41)",19,19,1.0,1,5,3,5,3,2,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
240,"Soins en chirurgie d'un jour","Mélanome malin et autres tumeurs malignes de la peau (C43-C44)",5615,5615,1.0,3,2,130,833,1261,3386,0,0.0,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
241,"Soins en chirurgie d'un jour","Tumeurs malignes du tissu mésothélial et des tissus mous (C45-C49)",129,129,1.0,0,2,16,27,39,45,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
242,"Soins en chirurgie d'un jour","Tumeur maligne du sein (C50)",6677,6677,1.0,0,0,238,2154,2170,2115,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
243,"Soins en chirurgie d'un jour","Tumeurs malignes des organes génitaux de la femme (C51-C58)",801,801,1.0,0,1,56,233,277,234,0,0.0,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
244,"Soins en chirurgie d'un jour","Tumeurs malignes des organes génitaux de l'homme (C60-C63)",680,680,1.0,0,2,156,113,146,263,0,0.0,0.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
245,"Soins en chirurgie d'un jour","Tumeurs malignes des voies urinaires (C64-C68)",2215,2215,1.0,1,0,10,172,534,1498,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
246,"Soins en chirurgie d'un jour","Tumeurs malignes de l'oeil, de l'encéphale et d'autres parties du système nerveux central (C69-C72)",238,238,1.0,88,23,5,39,23,60,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
247,"Soins en chirurgie d'un jour","Tumeurs malignes de la thyroïde et d'autres glandes endocrines (C73-C75)",439,439,1.0,0,4,93,205,87,50,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
248,"Soins en chirurgie d'un jour","Tumeurs malignes de sièges mal définis, secondaires et non précisés (C76-C80)",471,471,1.0,2,7,27,141,134,160,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
249,"Soins en chirurgie d'un jour","Tumeurs malignes des tissus lymphoïdes, hématopoïétiques et apparentés (C81-C96)",653,653,1.0,133,80,54,90,116,180,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
250,"Soins en chirurgie d'un jour","Tumeurs in situ (D00-D09)",6871,6871,1.0,2,7,346,1480,1875,3161,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
251,"Soins en chirurgie d'un jour","Tumeurs bénignes (D10-D36)",10130,10130,1.0,366,471,2005,3973,1916,1399,1,100.0,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
252,"Soins en chirurgie d'un jour","Tumeurs à évolution imprévisible ou inconnue (D37-D48)",657,657,1.0,10,7,84,162,150,244,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
253,"Soins en chirurgie d'un jour","Anémies nutritionnelles (D50-D53)",22,22,1.0,0,6,6,4,5,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
254,"Soins en chirurgie d'un jour","Anémies hémolytiques (D55-D59)",1,1,1.0,0,1,0,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
255,"Soins en chirurgie d'un jour","Anémies aplastiques (aplasies médullaires) et autres anémies (D60-D64)",25,25,1.0,3,5,0,6,2,9,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
256,"Soins en chirurgie d'un jour","Anomalies de la coagulation, purpura et autres affections hémorragiques (D65-D69)",19,19,1.0,5,10,0,3,0,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
257,"Soins en chirurgie d'un jour","Autres maladies du sang et des organes hématopoïétiques (D70-D77)",17,17,1.0,3,4,2,4,3,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
258,"Soins en chirurgie d'un jour","Certaines anomalies du système immunitaire (D80-D89)",21,21,1.0,0,2,3,9,2,5,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
259,"Soins en chirurgie d'un jour","Affections de la glande thyroïde (E00-E07)",182,182,1.0,1,3,25,78,49,26,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
260,"Soins en chirurgie d'un jour","Diabète sucré (E10-E14)",279,279,1.0,0,2,17,102,89,69,0,0.0,6.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
261,"Soins en chirurgie d'un jour","Maladies des autres glandes endocrines (E20-E35)",55,55,1.0,8,2,8,14,14,9,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
262,"Soins en chirurgie d'un jour","Malnutrition (E40-E46)",2,2,1.0,0,0,0,1,1,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
263,"Soins en chirurgie d'un jour","Autres carences nutritionnelles (E50-E64)",3,3,1.0,0,3,0,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
264,"Soins en chirurgie d'un jour","Obésité et autres excès d'apport (E65-E68)",1280,1280,1.0,1,5,522,695,52,5,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
265,"Soins en chirurgie d'un jour","Anomalies du métabolisme (E70-E90)",85,85,1.0,15,7,15,17,16,15,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
266,"Soins en chirurgie d'un jour","Troubles mentaux organiques, y compris les troubles symptomatiques (F00-F09)",8,8,1.0,0,0,1,0,7,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
267,"Soins en chirurgie d'un jour","Schizophrénie, trouble schizotypique et troubles délirants (F20-F29)",78,78,1.0,0,0,23,11,34,10,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
268,"Soins en chirurgie d'un jour","Troubles de l'humeur [affectifs] (F30-F39)",541,541,1.0,0,0,45,137,139,220,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
269,"Soins en chirurgie d'un jour","Troubles névrotiques, troubles liés à des facteurs de stress et troubles somatoformes (F40-F48)",11,11,1.0,0,2,2,6,0,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
270,"Soins en chirurgie d'un jour","Troubles de la personnalité et du comportement chez l'adulte (F60-F69)",20,20,1.0,0,5,14,1,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
271,"Soins en chirurgie d'un jour","Retard mental (F70-F79)",2,2,1.0,0,0,1,0,1,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
272,"Soins en chirurgie d'un jour","Troubles du développement psychologique (F80-F89)",40,40,1.0,37,3,0,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
273,"Soins en chirurgie d'un jour","Troubles du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence (F90-F98)",2,2,1.0,1,1,0,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
274,"Soins en chirurgie d'un jour","Maladies inflammatoires du système nerveux central (G00-G09)",8,8,1.0,3,0,1,2,2,0,0,0.0,25.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
275,"Soins en chirurgie d'un jour","Affections dégénératives systémiques affectant principalement le système nerveux central (G10-G14)",26,26,1.0,7,18,0,0,1,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
276,"Soins en chirurgie d'un jour","Syndromes extrapyramidaux et troubles de la motricité (G20-G26)",24,24,1.0,7,2,3,4,5,3,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
