iddepoint,territoire,typeattrait,titre,theme,description,arrondissement,accessibilityofelement,adresse_autresinformations,annee,presencepanneauinterpretation,lienimage,liens,adresse,urlimage,latitude,longitude,X,Y,type_geometrie
636,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"2b - Les villages agricoles","Maison villageoise épargnée par l’incendie du village en 1900. Reliée à un autre corps de bâtiment à l’arrière en 1929.","Pointe-Claire","Visible","Maison villageoise épargnée par l’incendie du village en 1900. Reliée à un autre corps de bâtiment à l’arrière en 1929.","Début du XIXe siècle","Non","http://www.flickr.com/photos/parcoursriverain/8533761303/",,"8, rue Saint-Jean-Baptiste  Montréal QC, Canada","http://farm9.staticflickr.com/8376/8533761303_63692fc6ac_q.jpg",45.428299,-73.827003,279212.182833,5032092.556211,"Point"
637,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Ancien magasin Toussaint-Lagacé","2b - Les villages agricoles","Magasin bâti juste après le grand incendie du village en 1900. Il occupe l’emplacement d’un immeuble détruit par le feu.","Pointe-Claire","Visible","Magasin bâti juste après le grand incendie du village en 1900. Il occupe l’emplacement d’un immeuble détruit par le feu.","1901","Non","http://www.flickr.com/photos/parcoursriverain/9044461838/",,"302-306, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm6.staticflickr.com/5510/9044461838_736cdc9984_q.jpg",45.428699,-73.8265,279251.765217,5032136.908109,"Point"
638,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Ancien hôtel Canada","2b - Les villages agricoles","Ancienne auberge de relais sur la route de Montréal, aujourd’hui transformée en résidence.","Pointe-Claire","Visible","Ancienne auberge de relais sur la route de Montréal, aujourd’hui transformée en résidence.","Vers 1850","Oui","http://www.flickr.com/photos/parcoursriverain/8534869366/","https://www.pointe-claire.ca/fr/patrimoine/","322-324, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm9.staticflickr.com/8512/8534869366_8a3175c832_q.jpg",45.4286,-73.827301,279189.036305,5032126.140876,"Point"
639,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"2b - Les villages agricoles","Ancienne maison villageoise épargnée par l’incendie du village de 1900. Aujourd’hui transformée en commerce.","Pointe-Claire","Visible","Ancienne maison villageoise épargnée par l’incendie du village de 1900. Aujourd’hui transformée en commerce.","Vers 1875","Non","http://www.flickr.com/photos/parcoursriverain/9044460882/",,"330-332, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm4.staticflickr.com/3671/9044460882_4026d0683e_q.jpg",45.4286,-73.827904,279141.873931,5032126.332979,"Point"
640,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"2b - Les villages agricoles","Maison villageoise exploitant les contraintes d’une parcelle étroite et profonde.","Pointe-Claire","Visible","Maison villageoise exploitant les contraintes d’une parcelle étroite et profonde.","Vers 1901","Non","http://www.flickr.com/photos/parcoursriverain/9044460540/",,"334, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm3.staticflickr.com/2863/9044460540_789f062d98_q.jpg",45.428501,-73.828003,279134.068084,5032115.342613,"Point"
641,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"2b - Les villages agricoles","Maison villageoise en bois construite le long du chemin Bord-du-Lac à l’ouest du noyau villageois de Pointe-Claire.","Pointe-Claire","Visible","Maison villageoise en bois construite le long du chemin Bord-du-Lac à l’ouest du noyau villageois de Pointe-Claire.","Vers 1870","Non","http://www.flickr.com/photos/parcoursriverain/9044459480/",,"345, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm8.staticflickr.com/7295/9044459480_4e25737c5e_q.jpg",45.428799,-73.829201,279040.475507,5032148.791589,"Point"
642,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"2b - Les villages agricoles","Maison villageoise en bois faisant partir d’un regroupement de maisons de la fin du 19e siècle, à l’ouest du noyau villageois de Pointe-Claire.","Pointe-Claire","Visible","Maison villageoise en bois faisant partir d’un regroupement de maisons de la fin du 19e siècle, à l’ouest du noyau villageois de Pointe-Claire.","Vers 1870","Non","http://www.flickr.com/photos/parcoursriverain/9044458858/",,"346, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm6.staticflickr.com/5539/9044458858_8f51113dc8_q.jpg",45.4286,-73.829399,279024.863485,5032126.811116,"Point"
643,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Gabriel-Mitchell","2b - Les villages agricoles","Maison en bois construite par Gabriel Mitchell, maître-menuisier, sur une partie de la terre agricole qu’il a héritée de son père. En 1890, il vend la propriété à Joseph Denis, employé de la compagnie ferroviaire du Grand Tronc. Ce dernier revend à son tour la maison à Valéric Ouellet, en 1893. La famille Ouellet conserve la résidence jusqu’en 1946.","Pointe-Claire","Visible","Maison en bois construite par Gabriel Mitchell, maître-menuisier, sur une partie de la terre agricole qu’il a héritée de son père. En 1890, il vend la propriété à Joseph Denis, employé de la compagnie ferroviaire du Grand Tronc. Ce dernier revend à son tour la maison à Valéric Ouellet, en 1893. La famille Ouellet conserve la résidence jusqu’en 1946.","Vers 1875","Non","http://www.flickr.com/photos/parcoursriverain/8534871874/",,"352, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm9.staticflickr.com/8517/8534871874_7a73927571_q.jpg",45.429001,-73.830101,278970.122905,5032171.548272,"Point"
644,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"2b - Les villages agricoles","Maison villageoise visible pour la première fois sur le Plan du Village de la Pointe-Claire réalisé en 1855.","Pointe-Claire","Visible","Maison villageoise visible pour la première fois sur le Plan du Village de la Pointe-Claire réalisé en 1855.","Vers 1840","Non","http://www.flickr.com/photos/parcoursriverain/8533763755/",,"353, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm9.staticflickr.com/8375/8533763755_58b4cb6f2b_q.jpg",45.429001,-73.830299,278954.601221,5032171.611997,"Point"
645,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"3 - L'eau, une ressource à exploiter et contrôler","Ancienne usine de filtration des eaux reconvertie en centre communautaire en 1987.","Pointe-Claire","Visible","Ancienne usine de filtration des eaux reconvertie en centre communautaire en 1987.","Vers 1918","Non","http://www.flickr.com/photos/parcoursriverain/8533764231/",,"245, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm9.staticflickr.com/8373/8533764231_47cded60e6_q.jpg",45.430099,-73.8228,279541.930298,5032291.319337,"Point"
646,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Secteur, zone","Secteur Cedar Park","4 - Les rivages, espaces de bien-être et de loisirs","Projet de développement urbain d’Otto Frederick Lilly, comptable d’origine suédoise. Il s’agit d’un des premiers projets de lotissement de terres agricoles dans l’ouest de l’île de Montréal.","Pointe-Claire","Visible","Projet de développement urbain d’Otto Frederick Lilly, comptable d’origine suédoise. Il s’agit d’un des premiers projets de lotissement de terres agricoles dans l’ouest de l’île de Montréal.","1893-1930","Non","http://www.flickr.com/photos/parcoursriverain/8533764813/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=23&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1236","Avenue Cedar  Montréal QC, Canada","http://farm9.staticflickr.com/8373/8533764813_c0f8847448_q.jpg",45.433998,-73.814903,280161.497162,5032722.119912,"Point"
647,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Secteur, zone","Secteur de l’avenue du Golf","4 - Les rivages, espaces de bien-être et de loisirs","Secteur résidentiel formé de trente lots disposés le long du Beaconsfield Golf Club et réservés à l’origine aux membres du club. Les maisons au nord de la rue Lanthier sont construites entre 1905 et 1915. Celles au sud sont plus récentes.","Pointe-Claire","Visible","Secteur résidentiel formé de trente lots disposés le long du Beaconsfield Golf Club et réservés à l’origine aux membres du club. Les maisons au nord de la rue Lanthier sont construites entre 1905 et 1915. Celles au sud sont plus récentes.","De 1905 à 1930","Non","http://www.flickr.com/photos/parcoursriverain/8533767567/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=23&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1235","Montréal QC, Canada","http://farm9.staticflickr.com/8097/8533767567_bf9558f333_q.jpg",45.431599,-73.829399,279026.22818,5032460.015113,"Point"
648,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Club de golf de Beaconsfield","4 - Les rivages, espaces de bien-être et de loisirs","Bâtiment principal du club de golf conçu par les architectes Ernest Isbell Barott et Hugh Vallance.","Pointe-Claire","Visible","Bâtiment principal du club de golf conçu par les architectes Ernest Isbell Barott et Hugh Vallance.","1930","Non","http://www.flickr.com/photos/parcoursriverain/8534875506/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=23&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1235","49, avenue du Golf  Montréal QC, Canada","http://farm9.staticflickr.com/8386/8534875506_e44d1704ba_q.jpg",45.435299,-73.830002,278980.755648,5032871.414638,"Point"
649,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"5 - L'eau, un obstacle à franchir par ponts et traverses","Ancien dortoir des ouvriers de la carrière d’où on a extrait la pierre ayant servi à la construction du pont Victoria. Une fois extraite, celle-ci était acheminée par barge à partir du quai du Grand Tronc situé au bout de la rue Cartier.","Pointe-Claire","Visible","Ancien dortoir des ouvriers de la carrière d’où on a extrait la pierre ayant servi à la construction du pont Victoria. Une fois extraite, celle-ci était acheminée par barge à partir du quai du Grand Tronc situé au bout de la rue Cartier.","Vers 1854","Non","http://www.flickr.com/photos/parcoursriverain/8533768233/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=23&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1235","49, avenue du Golf  Montréal QC, Canada","http://farm9.staticflickr.com/8225/8533768233_89c8e9f677_q.jpg",45.433498,-73.827103,279206.771942,5032670.395802,"Point"
650,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Équipement maritime","Club de yacht de Pointe-Claire","4 - Les rivages, espaces de bien-être et de loisirs","Complexe nautique dont la construction débute en 1879 autour de l’ancien quai inutilisé de la compagnie ferroviaire du Grand Tronc, le quai Cartier.","Pointe-Claire","Visible","Complexe nautique dont la construction débute en 1879 autour de l’ancien quai inutilisé de la compagnie ferroviaire du Grand Tronc, le quai Cartier.","1879","Non","http://www.flickr.com/photos/parcoursriverain/8534876862/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8372/8534876862_ba1598dd3e_q.jpg",45.428299,-73.821602,279634.855473,5032090.851919,"Point"
651,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Secteur, zone","Secteur Bowling Green","4 - Les rivages, espaces de bien-être et de loisirs","Projet résidentiel inspiré du concept de cité-jardin et conçu par le célèbre architecte-paysagiste Frederick G. Todd sur un terrain appartenant à la Canadian Nursery Company, dont il est le président. On y trouve des maisons disposées autour d’une avenue en fer à cheval ceinturant un parterre destiné à la pratique du boulingrin.","Pointe-Claire","Visible","Projet résidentiel inspiré du concept de cité-jardin et conçu par le célèbre architecte-paysagiste Frederick G. Todd sur un terrain appartenant à la Canadian Nursery Company, dont il est le président. On y trouve des maisons disposées autour d’une avenue en fer à cheval ceinturant un parterre destiné à la pratique du boulingrin.","De 1907 à 1925","Oui","http://www.flickr.com/photos/parcoursriverain/8534877890/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=23&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1234, https://www.pointe-claire.ca/fr/patrimoine/","Avenue Bowling Green  Montréal QC, Canada","http://farm9.staticflickr.com/8098/8534877890_7717b0e0a6_q.jpg",45.4324,-73.819504,279800.839577,5032545.915557,"Point"
652,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison du Docteur-Park","4 - Les rivages, espaces de bien-être et de loisirs","Résidence conçue par l’architecte Hugh Vallance pour le docteur Park.","Pointe-Claire","Visible","Résidence conçue par l’architecte Hugh Vallance pour le docteur Park.","1922","Oui","http://www.flickr.com/photos/parcoursriverain/8534878960/",,"2, avenue Bowling Green  Montréal QC, Canada","http://farm9.staticflickr.com/8252/8534878960_b7e26efd76_q.jpg",45.431801,-73.819298,279816.69304,5032479.295506,"Point"
653,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Henri-E.-Vautelet","4 - Les rivages, espaces de bien-être et de loisirs","Résidence attribuée à l’architecte Hugh Vallance.","Pointe-Claire","Visible","Résidence attribuée à l’architecte Hugh Vallance.","1927","Non","http://www.flickr.com/photos/parcoursriverain/9044462146/",,"219, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm6.staticflickr.com/5536/9044462146_0e69e87465_q.jpg",45.432999,-73.817802,279934.222886,5032611.944152,"Point"
654,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Ancienne maison de villégiature faisant partie du projet de développement Bowling Green.","Pointe-Claire","Visible","Ancienne maison de villégiature faisant partie du projet de développement Bowling Green.","Vers 1900","Oui","http://www.flickr.com/photos/parcoursriverain/8533771311/",,"222, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm9.staticflickr.com/8098/8533771311_4f53f26719_q.jpg",45.432499,-73.818802,279855.802856,5032556.719633,"Point"
655,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Baucet","4 - Les rivages, espaces de bien-être et de loisirs","Ancienne maison de villégiature. Une partie de son terrain initial longeant l’avenue Killarney Gardens est lotie pour la construction de deux maisons.","Pointe-Claire","Visible","Ancienne maison de villégiature. Une partie de son terrain initial longeant l’avenue Killarney Gardens est lotie pour la construction de deux maisons.","Vers 1900","Non","http://www.flickr.com/photos/parcoursriverain/8739628400/",,"217, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm8.staticflickr.com/7286/8739628400_4ab770669a_q.jpg",45.433201,-73.817398,279965.949682,5032634.287174,"Point"
656,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Napoléon-Charbonneau","4 - Les rivages, espaces de bien-être et de loisirs","Résidence bâtie pour Napoléon Charbonneau, avocat, qui la nomma Les Planes. Également nommée maison Semeteys.","Pointe-Claire","Visible","Résidence bâtie pour Napoléon Charbonneau, avocat, qui la nomma Les Planes. Également nommée maison Semeteys.","1883","Oui","http://www.flickr.com/photos/parcoursriverain/8534879274/",,"211, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm9.staticflickr.com/8527/8534879274_0112315569_q.jpg",45.433498,-73.815498,280114.718354,5032666.768367,"Point"
657,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Stewart Hall","4 - Les rivages, espaces de bien-être et de loisirs","Manoir conçu par l’architecte Robert Findlay pour Charles Wesley Maclean et nommé à l’origine Mull Hall. Entre 1940 et 1958, le bâtiment devient le noviciat des Pères de Sainte-Croix. Sa restauration est réalisée en 1962 par les architectes Papineau Gérin Lajoie Leblanc. Il est aujourd’hui occupé par le Centre culturel de Pointe-Claire et porte le nom de Stewart Hall.","Pointe-Claire","Visible","Manoir conçu par l’architecte Robert Findlay pour Charles Wesley Maclean et nommé à l’origine Mull Hall. Entre 1940 et 1958, le bâtiment devient le noviciat des Pères de Sainte-Croix. Sa restauration est réalisée en 1962 par les architectes Papineau Gérin Lajoie Leblanc. Il est aujourd’hui occupé par le Centre culturel de Pointe-Claire et porte le nom de Stewart Hall.","1916","Oui","http://www.flickr.com/photos/parcoursriverain/8533771675/","https://www.pointe-claire.ca/fr/calendrier/regards-sur-stewart-hall-1885-1963/, https://www.pointe-claire.ca/fr/patrimoine/","176, chemin du Bord-du-Lac  Montréal QC, Canada","http://farm9.staticflickr.com/8231/8533771675_91d5f9c0f3_q.jpg",45.434502,-73.808197,280686.417635,5032776.045167,"Point"
658,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Parc","Parc Stewart","4b - Les parcs en rive","Parc situé en bordure du lac Saint-Louis et aménagé sur un ancien domaine de villégiature.","Pointe-Claire","Visible","Parc situé en bordure du lac Saint-Louis et aménagé sur un ancien domaine de villégiature.",,"Non","http://www.flickr.com/photos/parcoursriverain/8533775737/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8226/8533775737_a30281b75a_q.jpg",45.434299,-73.8088,280639.173902,5032753.758096,"Point"
659,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Parc","Parc Alexandre-Bourgeau","4b - Les parcs en rive","Parc aménagé sur le remblai entre la pointe et le quai Cartier.","Pointe-Claire","Visible","Parc aménagé sur le remblai entre la pointe et le quai Cartier.",,"Non","http://www.flickr.com/photos/parcoursriverain/8533775973/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8226/8533775973_4c4cd7c8f0_q.jpg",45.427799,-73.822502,279564.187354,5032035.600016,"Point"
660,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Équipement maritime",,"4 - Les rivages, espaces de bien-être et de loisirs","Site de mise à l’eau de la Route bleue.","Pointe-Claire","Visible","Site de mise à l’eau de la Route bleue.",,"Non","http://www.flickr.com/photos/parcoursriverain/9042235983/",,"Montréal QC, Canada","http://farm8.staticflickr.com/7299/9042235983_d7cef6a0fd_q.jpg",45.427399,-73.820999,279681.618807,5031990.617566,"Point"
661,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Équipement maritime","Quai Cartier","5 - L'eau, un obstacle à franchir par ponts et traverses","Quai construit par la compagnie ferroviaire du Grand Tronc pour le transport du calcaire destiné à la construction du pont Victoria. La structure d’origine n’est plus visible en raison de l’élargissement de la péninsule jusqu’au quai.","Pointe-Claire","Visible","Quai construit par la compagnie ferroviaire du Grand Tronc pour le transport du calcaire destiné à la construction du pont Victoria. La structure d’origine n’est plus visible en raison de l’élargissement de la péninsule jusqu’au quai.","Vers 1855","Non","http://www.flickr.com/photos/parcoursriverain/8533775319/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8110/8533775319_ab56e088f5_q.jpg",45.428101,-73.821503,279642.528293,5032068.776868,"Point"
662,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Tracé","Tracé de l’avenue Cartier","5 - L'eau, un obstacle à franchir par ponts et traverses","Chemin ouvert par la compagnie ferroviaire du Grand Tronc pour le transport du calcaire destiné à la construction du pont Victoria jusqu’au quai Cartier.","Pointe-Claire","Visible","Chemin ouvert par la compagnie ferroviaire du Grand Tronc pour le transport du calcaire destiné à la construction du pont Victoria jusqu’au quai Cartier.","Vers 1855","Non","http://www.flickr.com/photos/parcoursriverain/8738646295/",,"Montréal QC, Canada","http://farm8.staticflickr.com/7283/8738646295_1c72869e0c_q.jpg",,,,,"LineString"
663,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Secteur, zone",,"5 - L'eau, un obstacle à franchir par ponts et traverses","Ancienne carrière de calcaire d’où on a extrait la pierre ayant servi à la construction du pont Victoria. Une fois extraite, celle-ci était acheminée par barge à partir du quai du Grand Tronc situé au bout de la rue Cartier.","Pointe-Claire","Visible","Ancienne carrière de calcaire d’où on a extrait la pierre ayant servi à la construction du pont Victoria. Une fois extraite, celle-ci était acheminée par barge à partir du quai du Grand Tronc situé au bout de la rue Cartier.",,"Non","http://www.flickr.com/photos/parcoursriverain/8534885516/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8510/8534885516_e0421f130f_q.jpg",45.434799,-73.826302,279270.037224,5032814.699249,"Point"
664,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Plaque, monument",,"5 - L'eau, un obstacle à franchir par ponts et traverses","Plaque apposée au moment de la restauration du bâtiment ayant servi de premier clubhouse du Beaconsfield Golf Club.","Pointe-Claire","Visible","Plaque apposée au moment de la restauration du bâtiment ayant servi de premier clubhouse du Beaconsfield Golf Club.","2004","Non","http://www.flickr.com/photos/parcoursriverain/8533779673/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8241/8533779673_e56a0d126a_q.jpg",45.433498,-73.827202,279199.011716,5032670.427371,"Point"
665,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Tracé","Tracé du chemin Lakeshore","2 - Les cours d'eau pour commercer et s'établir","Section du premier chemin ouvert sur ce territoire. Dans Beaconsfield, le chemin ancien est fermé sur une large section entre le boulevard Saint-Charles et l’avenue Neveu.","Beaconsfield","Visible","Section du premier chemin ouvert sur ce territoire. Dans Beaconsfield, le chemin ancien est fermé sur une large section entre le boulevard Saint-Charles et l’avenue Neveu.","Vers 1710","Non","http://www.flickr.com/photos/parcoursriverain/9044456660/","http://ville.montreal.qc.ca/portal/page?_pageid=8817%2C99661605&_dad=portal&_schema=PORTAL","Montréal QC, Canada","http://farm8.staticflickr.com/7292/9044456660_35c93dd8e3_q.jpg",,,,,"LineString"
666,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Paul-Lefebvre","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme construite pour Paul Lefebvre et dépendance d’intérêt patrimonial. Aussi nommée maison Valois.","Beaconsfield","Visible","Ancienne maison de ferme construite pour Paul Lefebvre et dépendance d’intérêt patrimonial. Aussi nommée maison Valois.","1819","Oui","http://www.flickr.com/photos/parcoursriverain/8534791104/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id_bat=7831-57-8279-01&debut=0","19, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8385/8534791104_290b1e1d21_q.jpg",45.427399,-73.834503,278624.920416,5031994.923605,"Point"
667,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Paul-Urgèle-Valois","2 - Les cours d'eau pour commercer et s'établir","Résidence construite pour Paul-Urgèle Valois, contrôleur des fermes du roi. Elle devient le pavillon du club de yacht de Beaconsfield en 1966. Aussi connue sous le nom Le Bocage ou The Grove.","Beaconsfield","Visible","Résidence construite pour Paul-Urgèle Valois, contrôleur des fermes du roi. Elle devient le pavillon du club de yacht de Beaconsfield en 1966. Aussi connue sous le nom Le Bocage ou The Grove.","Vers 1812","Non","http://www.flickr.com/photos/parcoursriverain/8534791484/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?%3C%3F=%20affichage%3Dfiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1219","26, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8100/8534791484_4bf907602a_q.jpg",45.426601,-73.835701,278530.820873,5031906.714124,"Point"
668,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Théodose-Daoust","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de la ferme laitière de Théodose Daoust. Aussi connue sous le nom de maison Barthélémy-Quintin.","Beaconsfield","Visible","Ancienne maison de la ferme laitière de Théodose Daoust. Aussi connue sous le nom de maison Barthélémy-Quintin.","Vers 1798","Oui","http://www.flickr.com/photos/parcoursriverain/8534791666/",,"49, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8227/8534791666_5897bacb92_q.jpg",45.428398,-73.839897,278203.307447,5032107.761131,"Point"
669,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Pascal-Pilon","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme construite probablement pour Pascal Pilon sur les fondations d’une maison plus ancienne.","Beaconsfield","Visible","Ancienne maison de ferme construite probablement pour Pascal Pilon sur les fondations d’une maison plus ancienne.","Vers 1830","Oui","http://www.flickr.com/photos/parcoursriverain/8533685365/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?%3C%3F=%20affichage%3Dfiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id_bat=7531-60-9556-01&debut=","383, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8516/8533685365_9398dd007d_q.jpg",45.420799,-73.8713,275742.181193,5031274.170228,"Point"
670,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Léo-Legault","2 - Les cours d'eau pour commercer et s'établir","Aussi appelée maison Joseph-Rémi-Legault.","Beaconsfield","Visible","Aussi appelée maison Joseph-Rémi-Legault.","Vers 1890","Non","http://www.flickr.com/photos/parcoursriverain/8534793562/",,"431, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8106/8534793562_b650b5f5c3_q.jpg",45.418701,-73.876602,275326.122987,5031042.941788,"Point"
671,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Beaurepaire","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme bâtie pour le marchand Amable Curote par Basile Proulx, maçon. Elle aurait été utilisée comme poste de traite. Elle passe ensuite aux mains du commerçant de fourrures Simon McTavish, puis du marchand James Thompson, avant d’être convertie en villa par Robert Reford, homme d’affaires.","Beaconsfield","Visible","Ancienne maison de ferme bâtie pour le marchand Amable Curote par Basile Proulx, maçon. Elle aurait été utilisée comme poste de traite. Elle passe ensuite aux mains du commerçant de fourrures Simon McTavish, puis du marchand James Thompson, avant d’être convertie en villa par Robert Reford, homme d’affaires.","1771","Oui","http://www.flickr.com/photos/parcoursriverain/8534795236/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?%3C%3F=%20%3C%3F%3D%20affichage%3Dfiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id_bat=9999-29-0001-01&debut=, http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=13&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1221","13, Thompson Point  Montréal QC, Canada","http://farm9.staticflickr.com/8516/8534795236_4ae0fd7788_q.jpg",45.414799,-73.879097,275128.82877,5030610.186057,"Point"
672,"Territoire riverain de Beaconsfield—Pointe-Claire--Dorval","Bâtiment, élément","Maison Mary-Garbutt-Angell","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme construite pour le cultivateur John Angell sur la terre de sa mère, Mary Garbutt, par le maçon Télesphore Guilbault.","Beaconsfield","Visible","Ancienne maison de ferme construite pour le cultivateur John Angell sur la terre de sa mère, Mary Garbutt, par le maçon Télesphore Guilbault.","1860","Oui","http://www.flickr.com/photos/parcoursriverain/8533687983/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=9999-29-0002-01&affichage=fiche&civique=&voie=0&est_ouest=&appellation=angell&arrondissement=0&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&","530, chemin Lakeshore  Montréal QC, Canada","http://farm9.staticflickr.com/8372/8533687983_6e87c570c9_q.jpg",45.415001,-73.886497,274549.713334,5030635.410114,"Point"
