NUMEROTATION,NO_REGION,NO_ETAB_CIUSSS,NO_ETAB_MSSS,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
179,"16","11045317",51228005,"HOPITAL BARRIE MEMORIAL/BARRIE MEMORIAL HOSPITAL",934,85,0,1019,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
180,"16","11045317",51229136,"HOPITAL DU SUROIT",7852,3679,0,11531,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
181,"16","11045317",51229151,"HOPITAL ANNA-LABERGE",9380,5668,0,15048,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
182,"16","11045317",,"Total     11045317 CISSS DE LA MONTEREGIE-OUEST",18166,9432,0,27598,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
183,"16","16802704",54780366,"CENTRE HOSP. KATERI MEMORIAL-TEHSAKOTITSEN : THA",35,0,0,35,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
184,"16","16802704",,"Total     16802704 CONSEIL DES MOHAWKS DE KAHNAWAKE",35,0,0,35,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
185,"16","",,"TOTAL 16 Montérégie",90402,44942,0,135344,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
186,"17","51235141",51235141,"CENTRE DE SANTE INUULITSIVIK",1326,311,0,1637,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
187,"17","51235141",,"Total     51235141 CENTRE DE SANTE INUULITSIVIK",1326,311,0,1637,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
188,"17","51248326",12730628,"CENTRE DE SANTE TULATTAVIK DE L'UNGAVA",1283,160,0,1443,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
189,"17","51248326",,"Total     51248326 CENTRE DE SANTE TULATTAVIK DE L'UNGAVA",1283,160,0,1443,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
190,"17","",,"TOTAL 17 Nunavik",2609,471,0,3080,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
191,"18","16258899",51235430,"HOPITAL DE CHISASIBI",362,0,0,362,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
192,"18","16258899",,"Total     16258899 CONSEIL CRI DE LA SANTE SERVICE SOCIAUX DE LA BAIE ",362,0,0,362,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
193,"18","",,"TOTAL 18 Terres-Cries-de-la-Baie-James",362,0,0,362,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
194,"","",,"Grand Total",754112,354970,115,1109197,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
