TITRE_ORIGINAL,TITRE_FRANCAIS,TITRE_ANGLAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNEE_PRODUCTION,GENRE,SOURCE,AUTEUR_1,AUTEUR_2,AUTEUR_3,AUTEUR_4,UUID_MEDIAFILM,UUID_IMDB,UUID_WIKIDATA 
King of the Lost World,"Seigneur du monde perdu, Le",King of the Lost World,US,,,,,,2005,Aventures,Roman,Arthur Conan Doyle,,,,mf-tt-7256141067,tt0478188,Q14556951
King of the Wind,,King of the Wind,GB,,,,,,1989,Aventures,Roman,Marguerite Henry,,,,mf-tt-3032478493,tt0097668,
King Rat,Un CaÃ¯d,King Rat,US,,,,,,1965,Drame de guerre,Roman,James Clavell,,,,mf-tt-5641881616,tt0059358,Q2875
King Rikki,,King Rikki,US,,,,,,2002,Drame,PiÃ¨ce,William Shakespeare,,,,mf-tt-0350028485,tt0246890,Q903819
King Solomon's Mines,"Mines du roi Salomon, Les",King Solomon's Mines,US,,,,,,2004,Aventures,Roman,H. Rider Haggard,,,,mf-tt-2902233487,,Q3230457
King Solomon's Mines,Allan Quatermain et les mines du roi Salomon,King Solomon's Mines,US,,,,,,1985,Aventures,Roman,H. Rider Haggard,,,,mf-tt-2616128593,tt0089421,
King Solomon's Treasure,,King Solomon's Treasure,GB,CA,,,,,1978,Aventures,Roman,H. Rider Haggard,,,,mf-tt-6596932495,tt0076270,
"King's Man, The",Kingsman - PremiÃ¨re mission,"King's Man, The",GB,US,,,,,2020,Aventures,Oeuvre,Mark Millar,Dave Gibbons,,,mf-tt-7961075236,tt6856242,
King's Rhapsody,,King's Rhapsody,GB,,,,,,1955,ComÃ©die musicale,PiÃ¨ce,Ivor Novello,,,,mf-tt-3987237843,tt0048258,
Kingsman - The Golden Circle,Kingsman - Le cercle d'or,Kingsman - The Golden Circle,GB,US,,,,,2017,ComÃ©die d'espionnage,Oeuvre,Dave Gibbons,Mark Millar,,,mf-tt-1416808495,tt4649466,Q19362856
Kingsman - The Secret Service,Kingsman - Services secrets,Kingsman - The Secret Service,GB,,,,,,2014,ComÃ©die d'espionnage,Oeuvre,Dave Gibbons,Mark Millar,,,mf-tt-8621806656,tt2802144,Q38689472
"Kirishima, bukatsu yamerutteyo",,"Kirishima Thing, The",JP,,,,,,2013,Drame,Roman,Asai Ryo,,,,mf-tt-7121898431,tt2142797,Q23758755
Kishibe no tabi,Vers l'autre rive,Journey to the Shore,JP,FR,,,,,2015,Drame,Roman,Kazumi Yumoto,,,,mf-tt-5487066499,tt4173478,Q1114422
Kismet,,Kismet,US,,,,,,1944,ComÃ©die dramatique,PiÃ¨ce,Edward Knoblock,,,,mf-tt-8634856916,tt0036984,
Kiss of a Killer,Ãtreinte fatale,Kiss of a Killer,US,,,,,,1992,Drame policier,Roman,Margaret Yorke,,,,mf-tt-6828619178,,Q53736577
"Kiss, The","Baiser, Le","Kiss, The",US,,,,,,1929,MÃ©lodrame,Roman,George M. Saville,,,,mf-tt-2067748730,tt0020062,
"Kitchen, The","Reines de Hell's Kitchen, Les","Kitchen, The",US,,,,,,2019,Drame de moeurs,Oeuvre,Ming Doyle,Ollie Masters,,,mf-tt-3051796650,tt5822564,Q86718806
Klondike Annie,,Klondike Annie,US,,,,,,1935,ComÃ©die musicale,PiÃ¨ce,Mae West,,,,mf-tt-7551026837,tt0027851,Q428437
Knight Without Armour,Chevalier sans armure,Knight Without Armour,GB,,,,,,1937,Aventures,Roman,James Hilton,,,,mf-tt-5956428287,tt0029087,Q2253716
Knights of the Round Table,"Chevaliers de la table ronde, Les",Knights of the Round Table,US,,,,,,1954,Aventures,Livre,Sir Thomas Malory,,,,mf-tt-6605894830,tt0045966,Q728618
Knock,Knock,,FR,BE,,,,,2017,ComÃ©die de moeurs,PiÃ¨ce,Jules Romains,,,,mf-tt-5775810737,tt6515342,
"Knock, ou le triomphe de la mÃ©decine","Knock, ou le triomphe de la mÃ©decine",,FR,,,,,,1933,ComÃ©die,PiÃ¨ce,Jules Romains,,,,mf-tt-7472658089,,Q18373793
Koenigsmark,Koenigsmark,,FR,IT,,,,,1953,Drame,Roman,Pierre BenoÃ®t,,,,mf-tt-5505007151,tt0044816,Q1249239
Koenigsmark,Koenigsmark,,FR,,,,,,1935,Drame,Roman,Pierre BenoÃ®t,,,,mf-tt-3979672165,tt0138565,
Koenigsmark,Koenigsmark,,FR,,,,,,1968,Drame,Roman,Pierre BenoÃ®t,,,,mf-tt-0421153259,tt0327003,
Kommissarie Winter: Den Sista Vintern,"Dernier Hiver, Le",,SE,,,,,,2010,Drame policier,Roman,Ake Edwardson,,,,mf-tt-2328246082,,
Kommissarie Winter: NÃ¤stan dÃ¶d man,Presque mort,,SE,,,,,,2010,Drame policier,Roman,Ake Edwardson,,,,mf-tt-4202479132,,
Kommissarie Winter: Rum Nummer 10,Chambre no 10,,SE,,,,,,2010,Drame policier,Roman,Ake Edwardson,,,,mf-tt-9682666737,,
Kommissarie Winter: VÃ¤naste Land,Ce doux pays,,SE,,,,,,2010,Drame policier,Roman,Ake Edwardson,,,,mf-tt-9208466827,,
Konferenz der Tiere,Animaux & cie,Animals United,DE,,,,,,2010,Film d'animation,Roman,Erich KÃ¤stner,,,,mf-tt-3344019650,,Q3226954
Kono sekai no katasumi ni,,In This Corner of the World,JP,,,,,,2016,Film d'animation,Oeuvre,Fumiyo Kono,,,,mf-tt-9165059953,,Q27957869
KÃ¶rkarlen,"Charrette fantÃ´me, La","Phantom Carriage, The",SE,,,,,,1921,Drame fantastique,Roman,Selma LagerlÃ¶f,,,,mf-tt-9299517993,tt0012364,
Koroshiya 1,Ichi le tueur,Ichi the Killer,JP,,,,,,2001,Thriller,Oeuvre,Hideo Yamamoto,,,,mf-tt-0472551816,tt0296042,
Kramer vs. Kramer,Kramer contre Kramer,Kramer vs. Kramer,US,,,,,,1979,Drame psychologique,Roman,Avery Corman,,,,mf-tt-6918883333,tt0079417,Q3201657
Kravgi gynaikon,Cri de femmes,"Dream of Passion, A",GR,CH,,,,,1978,Drame psychologique,PiÃ¨ce,Euripide,,,,mf-tt-0810363301,tt0077473,
Kronika wypadkÃ³w milosnych,Chronique des Ã©vÃ©nements amoureux,,PL,,,,,,1986,Drame sentimental,Roman,Tadeusz Konwicki,,,,mf-tt-5953358430,,Q16654184
Kuessipan,Kuessipan,,CA,QC,,,,,2019,Drame,Roman,Naomi Fontaine,,,,mf-tt-0594648274,tt4292432,Q273568
Kumonosu-jÃ´,"TrÃ´ne de sang: Le ChÃ¢teau de l'araignÃ©e, Le",,JP,,,,,,1956,Drame,PiÃ¨ce,William Shakespeare,,,,mf-tt-5401814034,tt0050613,Q2155483
Kvinnen i kjoleskapet,"Femme dans le frigo, La",,NO,,,,,,2008,Drame policier,Roman,Gunnar Staalesen,,,,mf-tt-4183200541,,Q2850707
Kwaidan,KwaÃ¯dan,Kwaidan,JP,,,,,,1965,Drame fantastique,Roman,Yakumo Koizumi,,,,mf-tt-7320677561,,Q65049470
Kyua,,Cure,JP,,,,,,1997,Drame policier,Roman,Kiyoshi Kurosawa,,,,mf-tt-6385554544,tt0123948,Q18170536
L.A. Confidential,Los Angeles interdite,L.A. Confidential,US,,,,,,1997,Drame policier,Roman,James Ellroy,,,,mf-tt-3943243615,tt0119488,Q3148587
L.M. Montgomery's Anne of Green Gables - The Good Stars,,L.M. Montgomery's Anne of Green Gables - The Good Stars,CA,,,,,,2017,ComÃ©die dramatique,Roman,Lucy Maud Montgomery,,,,mf-tt-7924495413,,Q2566986
L'Avaro,"Avare, L'",,IT,FR,ES,,,,1990,ComÃ©die,PiÃ¨ce,MoliÃ¨re,,,,mf-tt-5540833372,tt0096859,Q995363
L'Avventuriero,Peyrol le boucanier,"Rover, The",IT,,,,,,1967,Aventures,Roman,Joseph Conrad,,,,mf-tt-5081283410,tt0061377,Q12148705
L'Innocente,"Innocent, L'","Innocent, The",IT,FR,,,,,1976,Drame psychologique,Roman,Gabriele D'Annunzio,,,,mf-tt-8054192541,tt0074686,Q107940
L'Ultimo Uomo della Terra,Je suis une lÃ©gende,"Last Man on Earth, The",IT,US,,,,,1964,Science-fiction,Roman,Richard Matheson,,,,mf-tt-3351204982,tt0058700,Q57524645
La Celestina,Celestina,,ES,,,,,,1995,Drame,Roman,Fernando de Rojas,,,,mf-tt-1701899733,tt0115850,Q11559467
La Congiura dei Dieci,"Mercenaire, Le",Swordsman of Siena,IT,FR,,,,,1962,Aventures,Roman,Anthony Marshall,,,,mf-tt-1969000593,tt0055865,
La Corona Negra,"Couronne noire, La",,ES,,,,,,1952,Drame,Oeuvre,Jean Cocteau,,,,mf-tt-6602140308,tt0042346,
La Dama del alba,"Dame de l'aube, La",,ES,,,,,,1966,Drame fantastique,PiÃ¨ce,Alejandro Casona,,,,mf-tt-5694240615,,Q526272
La Faux,La Faux,,FR,,,,,,2002,Drame psychologique,Roman,RenÃ©-Victor Pilhes,,,,mf-tt-2287642149,,Q1076226
La Figlia di Mata Hari,"Fille de Mata Hari, La",,FR,IT,,,,,1954,Drame d'espionnage,Roman,CÃ©cil Saint-Laurent,,,,mf-tt-1372478758,tt0046974,Q28497223
La Giacca Verde,"Veste verte, La",,IT,FR,,,,,1978,Drame psychologique,Roman,Mario Soldati,,,,mf-tt-0477446781,,Q190956
La Grande Strada Azzurra,"DÃ©nommÃ© Squarcio, Un","Wide Blue Road, The",IT,FR,DE,YU,,,1958,Drame social,Roman,Franco Solinas,,,,mf-tt-4141003472,tt0050454,Q30728080
La Isla misteriosa,"Ãle mystÃ©rieuse, L'","Mysterious Island of Captain Nemo, The",ES,FR,IT,CM,,,1973,Aventures,Roman,Jules Verne,,,,mf-tt-6358822590,,
La Leggenda di Enea,ConquÃ©rants hÃ©roÃ¯ques,"Avenger, The",IT,FR,,,,,1962,Aventures,Oeuvre,Virgile,,,,mf-tt-0614810497,tt0056174,Q24883540
La Mujer a Las Camelias,"Fleur maudite, La",,AR,,,,,,1953,MÃ©lodrame,Roman,Alexandre Dumas fils,,,,mf-tt-6643611297,,
La Nascita di SalomÃ¨,"Amours de SalomÃ©, Les",,IT,ES,,,,,1940,ComÃ©die,PiÃ¨ce,Cesare Meano,,,,mf-tt-9369276267,tt0032837,
La Noche de enfrente,"Nuit d'en face, La",,FR,CL,,,,,2012,,Roman,Hernan del Solar,,,,mf-tt-5427105487,tt1876360,Q2329403
La Odisea de los Giles,"Z-HÃ©ros, Les",Heroic Losers,AR,ES,,,,,2019,ComÃ©die,Roman,Eduardo Sacheri,,,,mf-tt-2223280893,tt10384744,Q61927376
La PasiÃ³n Turca,,Turkish Passion,ES,,,,,,1994,Drame de moeurs,Roman,Antonio Gala,,,,mf-tt-1636039191,tt0110785,Q4462944
La Pecora nera,"Pecora nera, La",,IT,,,,,,2010,Drame,Roman,Ascanio Celestini,,,,mf-tt-2101530556,tt1680096,
La Pelle,"Peau, La","Skin, The",IT,FR,,,,,1981,Drame de guerre,Roman,Curzio Malaparte,,,,mf-tt-0636557830,tt0082893,Q20926273
La Piel que habito,"Peau que j'habite, La","Skin I Live In, The",ES,,,,,,2011,Thriller,Roman,Thierry Jonquet,,,,mf-tt-3399200076,tt1189073,
La Portatrice di Pane,"Porteuse de pain, La",,IT,FR,,,,,1950,MÃ©lodrame,Roman,Xavier de MontÃ©pin,,,,mf-tt-8166771161,tt0041762,Q263930
La Signora delle Camelie,"Dame aux camÃ©lias, La",,IT,,,,,,2005,Drame,Roman,Alexandre Dumas fils,,,,mf-tt-2333616885,tt0442841,
La Signora di tutti,"Dame de tout le monde, La","Signora di tutti, La",IT,,,,,,1934,Drame,Roman,Salvatore Gotta,,,,mf-tt-9390464534,tt0025791,
La tenerezza,"Tendresse, La",Tenderness,IT,,,,,,2016,Drame psychologique,Roman,Lorenzo Marone,,,,mf-tt-8233445258,tt5765192,
La Terra Trema,"Terre tremble, La","Earth Trembles, The",IT,,,,,,1948,Drame social,Roman,Giovanni Verga,,,,mf-tt-8194852657,tt0040866,
La Tregua,"TrÃªve, La","Truce, The",IT,FR,DE,CH,,,1996,Drame biographique,Livre,Primo Levi,,,,mf-tt-9534252963,tt0117959,
La Vera Storia della signora delle camelie,"Dame aux camÃ©lias, La",,IT,,,,,,1980,Drame,Roman,Alexandre Dumas fils,,,,mf-tt-0167300611,tt0082230,Q3224539
La Vita davanti a sÃ©,"Vie devant soi, La","Life Ahead, The",IT,,,,,,2020,Drame,Roman,Romain Gary,,,,mf-tt-0293371054,tt10627584,Q30742445
LÃ -bas mon pays,LÃ -bas mon pays,,FR,,,,,,2000,Drame,Roman,RenÃ© Bonnell,,,,mf-tt-1699351004,,Q279378
"LÃ -haut, un roi au-dessus des nuages","LÃ -haut, un roi au-dessus des nuages",,FR,CA,,,,,2003,Drame,Roman,Pierre Schoendoerffer,,,,mf-tt-3479632700,,
Labor Day,"FÃªte du Travail, La",Labor Day,US,,,,,,2013,Drame sentimental,Roman,Joyce Maynard,,,,mf-tt-0635884801,tt1967545,
"Labours of Hercules, The",Poirot - Les Travaux d'Hercule,"Labours of Hercules, The",GB,,,,,,2013,Drame policier,Roman,Agatha Christie,,,,mf-tt-3068450382,,
Lac aux dames,Lac aux dames,,FR,,,,,,1934,ComÃ©die dramatique,Roman,Vicki Baum,,,,mf-tt-0067207775,tt0025362,Q784116
Lac MystÃ¨re,Lac MystÃ¨re,,CA,QC,,,,,2013,Thriller,Roman,AndrÃ©e A. Michaud,,,,mf-tt-0645853958,,Q1144154
Ladri di biciclette,"Voleur de bicyclette, Le","Bicycle Thief, The",IT,,,,,,1948,Drame social,Roman,Luigi Bartolini,,,,mf-tt-6769558164,tt0040522,Q19608930
Lady Against the Odds,,Lady Against the Odds,US,,,,,,1991,Drame policier,Roman,Rex Stout,,,,mf-tt-1425887771,,
Lady Audley's Secret,,Lady Audley's Secret,GB,,,,,,2000,Drame de moeurs,Roman,Mary Elizabeth Braddon,,,,mf-tt-9894085638,,
Lady Chatterley,,Lady Chatterley,GB,,,,,,1992,Drame de moeurs,Roman,D.H. Lawrence,,,,mf-tt-8384926883,,Q17640188
Lady Chatterley,Lady Chatterley,,FR,BE,GB,,,,2006,Drame sentimental,Roman,D.H. Lawrence,,,,mf-tt-4652942066,tt0459880,
Lady Chatterley's Lover,"Amant de Lady Chatterley, L'",Lady Chatterley's Lover,FR,GB,DE,,,,1981,Drame de moeurs,Roman,D.H. Lawrence,,,,mf-tt-6054760458,tt0082640,Q1528525
"Lady in the Van, The","Dame Ã  la camionnette, La","Lady in the Van, The",GB,,,,,,2015,ComÃ©die dramatique,Livre,Alan Bennett,,,,mf-tt-3705849937,tt3722070,Q258009
Lady L,Lady L,Lady L,GB,FR,IT,,,,1965,ComÃ©die,Roman,Romain Gary,,,,mf-tt-2226068748,tt0059377,Q48754337
Lady Macbeth,Lady Macbeth,Lady Macbeth,GB,,,,,,2016,Drame,Roman,Nikolai Leskov,,,,mf-tt-0145127392,tt4291600,Q5189889
Lady Oscar,Lady Oscar,Lady Oscar,FR,JP,,,,,1978,Aventures,Oeuvre,Riyoko Ikeda,,,,mf-tt-9291597446,tt0077827,Q3795280
"Lady Vanishes, The","Femme disparaÃ®t, Une","Lady Vanishes, The",GB,,,,,,1979,ComÃ©die policiÃ¨re,Roman,Ethel Lina White,,,,mf-tt-6091845096,tt0079428,
Lady Windermere's Fan,,Lady Windermere's Fan,US,,,,,,1925,ComÃ©die dramatique,PiÃ¨ce,Oscar Wilde,,,,mf-tt-3832973303,,Q3425555
Ladygrey,Ladygrey,Ladygrey,FR,,,,,,2015,Drame,Oeuvre,Hubert Mingarelli,,,,mf-tt-6953606079,tt1847529,Q19544495
LagardÃ¨re - 1Ã¨re Ã©poque,LagardÃ¨re - 1Ã¨re Ã©poque,,FR,,,,,,2003,Aventures,Roman,Paul FÃ©val,,,,mf-tt-8675426383,,
LagardÃ¨re - 2e Ã©poque,LagardÃ¨re - 2e Ã©poque,,FR,,,,,,2003,Aventures,Roman,Paul FÃ©val,,,,mf-tt-0041534877,,
"Lair of the White Worm, The","Repaire du ver blanc, Le","Lair of the White Worm, The",GB,,,,,,1988,Drame fantastique,Roman,Bram Stoker,,,,mf-tt-8403619039,tt0095488,Q17353979
Laissez bronzer les cadavres,Laissez bronzer les cadavres,,FR,,,,,,2017,Drame policier,Roman,Jean-Pierre Bastid,Jean-Patrick Manchette,,,mf-tt-3146800725,tt5827212,Q137584
Lake of Darkness,,Lake of Darkness,GB,,,,,,1999,Drame,Roman,Ruth Rendell,,,,mf-tt-1976336081,,
Lakeboat,Histoire d'un lac,Lakeboat,US,,,,,,2000,ComÃ©die dramatique,PiÃ¨ce,David Mamet,,,,mf-tt-4996891569,tt0210149,Q840872
Lamb,,Lamb,GB,,,,,,1985,Drame psychologique,Roman,Bernard MacLaverty,,,,mf-tt-2003597278,tt0091375,Q1768464
Lamiel,Lamiel,,FR,IT,,,,,1967,Drame psychologique,Roman,CÃ©cil Saint-Laurent,Stendhal,,,mf-tt-3319163632,tt0139417,Q1170844
Land of Doom,"Monde des maudits, Le",Land of Doom,US,,,,,,1985,Science-fiction,Roman,Peter Kotis,,,,mf-tt-0030749161,tt0190520,Q3316708
"Land That Time Forgot, The","RescapÃ©s du monde perdu, Les","Land That Time Forgot, The",US,,,,,,2009,Aventures,Roman,Edgar Rice Burroughs,,,,mf-tt-1057099544,tt1410205,Q12124794
"Land That Time Forgot, The","SixiÃ¨me Continent, Le","Land That Time Forgot, The",GB,,,,,,1974,Aventures,Roman,Edgar Rice Burroughs,,,,mf-tt-0861062485,tt0073260,Q452235
Lanester,Lanester,,FR,,,,,,2013,Drame policier,Roman,FranÃ§oise GuÃ©rin,,,,mf-tt-1334726523,tt2640956,Q10516771
"Langoliers, The","Langoliers, Les","Langoliers, The",US,,,,,,1995,Drame fantastique,Roman,Stephen King,,,,mf-tt-9136338468,,Q22944731
Lantana,Lantana,Lantana,AU,,,,,,2001,Drame psychologique,PiÃ¨ce,Andrew Bovell,,,,mf-tt-6796537726,tt0259393,Q7721364
Lapse of Memory,MÃ©moire traquÃ©e,Lapse of Memory,CA,FR,,,,,1991,Drame psychologique,Roman,Robert Cormier,,,,mf-tt-7478947958,tt0104682,
Largo Desolato,Largo Desolato,,FR,,,,,,1991,Drame politique,PiÃ¨ce,Vaclav Havel,,,,mf-tt-1844484818,tt0099977,
Largo Winch,Largo Winch,,FR,,,,,,2008,Aventures,Oeuvre,Philippe Francq,Jean Van Hamme,,,mf-tt-3352493065,tt0808339,Q821896
LarguÃ©es,LarguÃ©es,,FR,,,,,,2018,ComÃ©die sentimentale,Oeuvre,Mette Heeno,,,,mf-tt-3471302334,tt8098548,Q2377198
"Larmes de Pasquin, Les","Larmes de Pasquin, Les",,FR,,,,,,2010,Drame policier,Roman,NoÃ«l Balen,Jean-Pierre Alaux,,,mf-tt-9943424983,,
Larry McMurtry's Dead Man's Walk,,Larry McMurtry's Dead Man's Walk,US,,,,,,1996,Western,Roman,Larry McMurtry,,,,mf-tt-7461944781,,Q3817966
Las Analfabetas,,Illiterate,CL,,,,,,2013,Drame,PiÃ¨ce,Pablo Paredes,,,,mf-tt-7656117600,tt3256764,Q28318271
Las Ninas Quispe,,"Quispe Girls, The",CL,FR,AR,,,,2013,Drame,PiÃ¨ce,Juan Radrigan,,,,mf-tt-1427744498,tt3232846,
"Las Vegas, 500 millones","Hommes de Las Vegas, Les",They Came to Rob Las Vegas,FR,ES,DE,IT,,,1968,Drame policier,Roman,AndrÃ© Lay,,,,mf-tt-1003885623,tt0063684,Q604083
Lassie - Eine abenteuerliche Reise,Lassie - La route de l'aventure,Lassie Come Home,DE,,,,,,2020,Aventures,Roman,Eric Knight,,,,mf-tt-7190624669,tt10384944,Q3221800
"Last Airbender, The","Dernier MaÃ®tre de l'air, Le","Last Airbender, The",US,,,,,,2010,Drame fantastique,Oeuvre,Bryan Konietzko,Michael Dante DiMartino,,,mf-tt-5156320027,tt0938283,
Last Cab to Darwin,,Last Cab to Darwin,AU,,,,,,2015,ComÃ©die dramatique,PiÃ¨ce,Reg Cribb,,,,mf-tt-7596374545,tt3680410,Q48674014
"Last Command, The",CrÃ©puscule de gloire,"Last Command, The",US,,,,,,1928,Drame psychologique,Oeuvre,Lajos Biro,,,,mf-tt-6413360743,tt0019071,Q17436508
"Last Convertible, The",,"Last Convertible, The",US,,,,,,1979,Drame de moeurs,Roman,Anton Myrer,,,,mf-tt-4849955077,,
"Last Days of Man on Earth, The","DÃ©cimales du futur, Les","Last Days of Man on Earth, The",GB,,,,,,1973,Science-fiction,Roman,Michael Moorcock,,,,mf-tt-9996536894,,
"Last Days on Mars, The","Derniers Jours sur Mars, Les","Last Days on Mars, The",GB,IE,,,,,2013,Science-fiction,Oeuvre,Sydney J. Bounds,,,,mf-tt-9108415056,tt1709143,Q47002679
"Last Detail, The","DerniÃ¨re CorvÃ©e, La","Last Detail, The",US,,,,,,1973,ComÃ©die dramatique,Roman,Darryl Ponicsan,,,,mf-tt-0492726652,tt0070290,
"Last Duel, The","Dernier duel, Le","Last Duel, The",US,GB,,,,,2021,Drame historique,Livre,Eric Jager,,,,mf-tt-5471469839,tt4244994,
Last Embrace,Meurtres en cascade,Last Embrace,US,,,,,,1979,Drame policier,Roman,Murray Teigh Bloom,,,,mf-tt-9641541348,tt0079437,Q2666095
"Last Five Years, The","Cinq derniÃ¨res annÃ©es, Les","Last Five Years, The",US,,,,,,2014,ComÃ©die musicale,PiÃ¨ce,Jason Robert Brown,,,,mf-tt-7404244275,tt2474024,Q3549466
Last Flag Flying,Un dernier pour la route,Last Flag Flying,US,,,,,,2017,Drame,Roman,Darryl Ponicsan,,,,mf-tt-4030568309,tt6018306,Q28494330
"Last King of Scotland, The","Dernier Roi d'Ãcosse, Le","Last King of Scotland, The",GB,DE,,,,,2006,Drame biographique,Roman,Giles Foden,,,,mf-tt-5976472352,tt0455590,
"Last Letter from Your Lover, The",,"Last Letter from Your Lover, The",GB,,,,,,2021,Drame sentimental,Livre,Jojo Moyes,,,,mf-tt-8346906566,tt1893273,Q3205690
Last Man Standing,"Mercenaire, Le",Last Man Standing,US,,,,,,1996,Drame policier,Oeuvre,Akira Kurosawa,RyÃ»zÃ´ Kikushima,,,mf-tt-2741275448,tt0116830,Q1750419
"Last Mile, The",RÃ©volte Ã  Sing Sing,"Last Mile, The",US,,,,,,1932,Drame,PiÃ¨ce,John Wexley,,,,mf-tt-0820795485,tt0023117,Q27689100
"Last of the Mohicans, The",,"Last of the Mohicans, The",US,,,,,,1977,Aventures,Roman,Fenimore Cooper,,,,mf-tt-9250840563,,Q804163
"Last of the Mohicans, The","Dernier des Mohicans, Le","Last of the Mohicans, The",US,,,,,,1992,Aventures,Roman,James Fenimore Cooper,,,,mf-tt-7126365660,tt0104691,
"Last of the Mohicans, The","Dernier des Mohicans, Le","Last of the Mohicans, The",US,,,,,,1920,Aventures,Roman,James Fenimore Cooper,,,,mf-tt-6775927848,tt0011394,Q19363765
"Last of the Mohicans, The","Dernier des Mohicans, Le","Last of the Mohicans, The",US,,,,,,1936,Aventures,Roman,James Fenimore Cooper,,,,mf-tt-4112431725,tt0027869,
Last of the Redmen,"Dernier des peaux-rouges, Le",Last of the Redmen,US,,,,,,1947,Aventures,Roman,Fenimore Cooper,,,,mf-tt-6346477730,tt0039554,Q727893
"Last Outpost, The",Intelligence Service,"Last Outpost, The",US,,,,,,1935,Drame,Roman,F. Britten Austin,,,,mf-tt-6016265182,tt0026607,
"Last Picture Show, The","DerniÃ¨re SÃ©ance, La","Last Picture Show, The",US,,,,,,1971,Drame de moeurs,Roman,Larry McMurtry,,,,mf-tt-6056375011,tt0067328,
Last Scene Alive - An Aurora Teagarden Mystery,Aurora Teargarden - Meurtre au cinÃ©ma,Last Scene Alive - An Aurora Teagarden Mystery,US,,,,,,2018,Drame policier,Oeuvre,Charlaine Harris,,,,mf-tt-6572345919,tt7768286,
"Last Season, The",,"Last Season, The",CA,,,,,,1986,Drame biographique,Roman,Roy MacGregor,,,,mf-tt-7815510132,tt0125342,
"Last Seduction II, The",,"Last Seduction II, The",GB,US,,,,,1998,Drame policier,Oeuvre,Steve Barancik,,,,mf-tt-3686559162,tt0177898,
"Last September, The",,"Last September, The",IE,,,,,,1998,Drame de moeurs,Roman,Elizabeth Bowen,,,,mf-tt-8282766399,tt0180793,Q211222
"Last Song, The","DerniÃ¨re Chanson, La","Last Song, The",US,,,,,,2010,Drame psychologique,Roman,Nicholas Sparks,,,,mf-tt-8392576432,tt1294226,
Last Stand at Saber River,,Last Stand at Saber River,US,,,,,,1996,Western,Roman,Elmore Leonard,,,,mf-tt-5929984869,,Q1334782
"Last Station, The","TolstoÃ¯, le dernier automne","Last Station, The",GB,DE,RU,,,,2009,Drame biographique,Roman,Jay Parini,,,,mf-tt-8637204008,tt0824758,Q27038847
"Last Temptation of Christ, The","DerniÃ¨re Tentation du Christ, La","Last Temptation of Christ, The",US,,,,,,1988,Drame religieux,Roman,Nikos Kazantzakis,,,,mf-tt-6213761143,tt0095497,Q166262
"Last Tycoon, The","Dernier Nabab, Le","Last Tycoon, The",US,,,,,,1976,Drame psychologique,Roman,F. Scott Fitzgerald,,,,mf-tt-8067932529,tt0074777,Q746332
"Last Valley, The","VallÃ©e perdue, La","Last Valley, The",GB,US,,,,,1970,Drame,Roman,J.B. Pick,,,,mf-tt-3673794315,tt0065969,
"Last Vermeer, The",,"Last Vermeer, The",US,,,,,,2019,Drame historique,Livre,Jonathan Lopez,,,,mf-tt-1973457261,tt8337320,Q3563393
Last Wish,"Dernier Souhait, dernier sourire",Last Wish,US,,,,,,1991,Drame social,Roman,Betty Rollin,,,,mf-tt-4594053793,,
Lat den Ratte Komma In,Laisse-moi entrer,Let the Right One In,SE,,,,,,2008,Drame fantastique,Roman,John Ajvide Lindqvist,,,,mf-tt-4515687463,tt1139797,Q57982258
"Laundromat, The",,"Laundromat, The",US,,,,,,2019,ComÃ©die satirique,Livre,Jake Bernstein,,,,mf-tt-4542789543,tt5865326,Q16526429
Laura,Laura,Laura,US,,,,,,1944,Drame policier,Roman,Vera Caspary,,,,mf-tt-5451855363,tt0037008,
"Law and the Lady, The","Amant de Lady Loverly, L'","Law and the Lady, The",US,,,,,,1951,ComÃ©die,PiÃ¨ce,Frederick Lonsdale,,,,mf-tt-5854200022,tt0043728,Q1271819
Lawless,Sans loi,Lawless,US,,,,,,2012,Drame de moeurs,Roman,Matt Bondurant,,,,mf-tt-6322960933,tt1212450,
"Lawnmower Man, The","Cobaye, Le","Lawnmower Man, The",GB,US,JP,,,,1992,Science-fiction,Roman,Stephen King,,,,mf-tt-7581156786,tt0104692,Q3136876
Lawrence of Arabia,Lawrence d'Arabie,Lawrence of Arabia,GB,,,,,,1962,Drame historique,Oeuvre,T.E. Lawrence,,,,mf-tt-6011940800,tt0056172,
Le 120 Giornate di Sodoma,"120 Jours de Sodome, Les",120 Days of Anal,IT,,,,,,1995,Drame Ã©rotique,Oeuvre,Marquis de Sade,,,,mf-tt-8069593217,,Q3227913
Le Amiche,Femmes entre elles,"Girlfriends, The",IT,,,,,,1955,Drame psychologique,Roman,Cesare Pavese,,,,mf-tt-4097864019,tt0047821,
Le Due Orfanelle,"Deux Orphelines, Les",,IT,,,,,,1943,MÃ©lodrame,Roman,EugÃ¨ne Cormon,Adolphe d'Ennery,,,mf-tt-0510081147,tt0034688,Q3849362
Le Notte di Cabiria,"Nuits de Cabiria, Les",,IT,,,,,,1957,Drame psychologique,Roman,Maria Molinari,,,,mf-tt-9588149061,tt0050783,Q7732047
Le Notti bianche,Nuits blanches,White Nights,IT,FR,,,,,1957,Drame poÃ©tique,Roman,FÃ©dor DostoÃ¯evski,,,,mf-tt-8201673766,tt0050782,
