Numéro,Département/Collection,Collection  ,Catégorie,Objet,Artiste,Titre,Date,Lieu de production,Culture,Matériaux,Dimensions,Nombre objets,Sujet,description,Lien web vers image 
1976.354.08R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Portrait d'Édouard Gariépy, ami de l'artiste",1907,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils accessoires chaussures bottines, caprices corporels moustache, vêtements chemise pantalon veston; Personnages groupes humains homme, Édouard Gariépy, ami de l'artiste, portrait en pied, assis de profil; Activités et événements, personnelles fumer; Objets façonnés mobilier meuble tabouret, personnels accessoires pipe lunettes; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.08R_IN1.JPG
1976.354.08V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Portrait d'Édouard Gariépy, ami de l'artiste",1907,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils accessoires chaussures bottines couvre-chef chapeau melon, caprices corporels moustache, vêtements chemise pantalon veston; Personnages groupes humains homme, Édouard Gariépy, ami de l'artiste, portrait en pied, assis de face; Activités et événements, personnelles fumer; Objets façonnés mobilier meuble chaise, personnels accessoire pipe; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.08V_IN1.JPG
1976.354.09R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Études de fumeurs, dont Édouard Gariépy, ami de l'artiste (au bas)",1907,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils caprices corporels moustache, vêtements chemises gilet pantalons vestons; Personnages groupes humains hommes dont Édouard Gariépy, ami de l'artiste, portrait à mi-corps de face de trois quarts couché; Activités et événements personnelles fumer; Objets façonnés mobilier meuble canapé, personnels accessoires pipe cigarette; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.09R_IN1.JPG
1976.354.09V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Portraits d'Édouard Gariépy et d'un homme ajustant un tuyau de poêle,1907,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils accessoires couvre-chefs chapeaux chapeau melon, caprices corporels moustache, vêtements chemise pantalon veston; Personnages groupes humains hommes dont Édouard Gariépy, ami de l'artiste, portrait à mi-corps en buste de profil de trois quarts; Activités domestiques ajustement d'un tuyau de poêle; Objets façonnés mobilier appareil de chauffage tuyau de poêle, personnels accessoires lunettes; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.09V_IN1.JPG
1976.354.10V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Portrait d'Édouard Gariépy, ami de l'artiste",1907,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils accessoires couvre-chef chapeau melon, caprices corporels moustache, vêtements chemise pantalon veston; Personnages groupes humains homme, Édouard Gariépy, ami de l'artiste, portrait à mi-corps, assis de profil; Activités et événements, récréatives dessin ou lecture; Objets façonnés mobilier meuble chaise, personnels accessoire lunettes; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.10V_IN1.JPG
1976.354.11R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Portrait d'Édouard Gariépy, ami de l'artiste",1907,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils accessoires cravate, caprices corporels moustache, vêtements chemise gilet pantalon veston; Personnages groupes humains homme, Édouard Gariépy, ami de l'artiste, portrait à mi-corps de trois quarts; Activités et événements, personnelles fumer la pipe lecture; Objets façonnés de communication documentaire livre, personnels accessoire pipe; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.11R_IN1.JPG
1976.354.12R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Homme assis, vu de dos (Édouard Gariépy?)",1907,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Figure,"Costumes civils accessoires chaussures souliers, vêtements pantalon redingote; Personnages groupes humains homme, portrait en pied assis de dos; Objets façonnés mobilier meuble chaise; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.12R_IN1.JPG
1976.354.12V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste",1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils vêtements chemisier jupe; Personnages groupes humains femme élégante, cousine de l'artiste, portrait à mi-corps de profil; Activités et événements récréatives lecture; Objets façonnés mobilier meuble chaise, de communication documentaire journal; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.12V_IN1.JPG
1976.354.14R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Adèle Bertrand, mère de l'artiste",1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils accessoires chaussures soulier tablier, vêtements robe; Personnages groupes humains femme, mère de l'artiste, portrait en pied de face; Objets façonnés mobilier draperies nappes meubles chaise table; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.14R_IN1.JPG
1976.354.15R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste",1909,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils vêtements chemisier; Personnages groupes humains femme élégante, cousine de l'artiste, portrait en buste de trois quarts; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.15R_IN1.JPG
1976.354.15V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Jeanne Veillette tenant un verre (projet pour un dessin publicitaire?),1909,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils vêtements robe; Personnages groupes humains jeune femme élégante, cousine de l'artiste, portrait en buste de trois quarts; Activités et événements personnelles boire; Objets façonnés contenants verre; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.15V_IN1.JPG
1976.354.27V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste",1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils accessoires ceinture, vêtements robe; Personnages groupes humains femme élégante, cousine de l'artiste, portrait à mi-corps de face, bras croisés à l'arrière du cou; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.27V_IN1.JPG
1976.354.29V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste",1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"27,5 x 21,2 cm",1,Portrait,"Costumes civils accessoires col, vêtements chemisier jupe; Personnages groupes humains femme élégante, cousine de l'artiste, portrait à mi-corps de profil; Objets façonnés mobilier meuble chaise; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.354.29V_IN1.JPG
1976.355.04V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Vue de Longueuil,1901,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"12,8 x 18,5 cm",1,Paysage,"Architecture et génie détails architecturaux façades toitures clocher pignons, religieuse église, résidentielle maisons, ville; Géographie physique accidents géographiques rive montagnes collines, phénomènes naturels nuages, phénomènes aquatiques fleuve Saint-Laurent; Localisation : Longueuil, Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.355.04V_IN1.JPG
1976.355.23R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",L'Entrée principale de l'hôtel de ville de Montréal lors de la réception du duc de Cornwall et de York,1901,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"18,5 x 12,8 cm",1,Scène de genre,"Costumes civils accessoires couvre-chef chapeaux, vêtements vestons; Architecture et génie détails architecturaux arcs façade fenêtre imposte escalier entrée rampe colonnes pilastres corniche, civile hôtel de ville; Personnages groupes humains femmes hommes; Activités et événements récréatives festivité célébration réception lors de la visite des ducs de Cornouailles et d'York; Objets façonnés de groupements sociaux emblèmes et insignes drapeaux armoiries; Localisation; Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.355.23R_IN1.JPG
1976.356.08V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Installations portuaires et navire à quai au bord du fleuve,entre 1906 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"13,7 x 11 cm",1,Scène urbaine,"Architecture et génie détails architecturaux cheminées piliers charpentes, commerciale et industrielle entrepôt, travaux publics quai port, ville; Transports maritimes navire à vapeur; Géographie physique accidents géographiques rives montagnes, phénomènes aquatiques fleuve Saint-Laurent; Outils et équipement professionnel monte-charge; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.356.08V_IN1.JPG
1976.356.37R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Une rue électrifiée de Montréal,entre 1906 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"13,7 x 11 cm",1,Architecture,"Architecture et génie aménagements extérieurs poteaux électriques, détails architecturaux arc façades fenêtres toitures clocher corniches lucarnes, religieuse église, résidentielle maisons en rangée, travaux publics trottoirs rue, ville; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.356.37R_IN1.JPG
1976.356.42V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Études de la structure et de la suspension d'un tramway d'été,entre 1906 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"11 x 13,7 cm",1,Objet,"Transports ferroviaires train structure et suspension d'un tramway d'été; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.356.42V_IN1.JPG
1976.356.43R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Étude détaillé de l'entrée d'un wagon de tramway (le « 944 »),entre 1906 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"11 x 13,7 cm",1,Objet,"Transports ferroviaires train entrée d'un wagon de tramway, le « 944 »; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.356.43R_IN1.JPG
1976.356.43V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Étude d'un wagon de tramway (le « 496 Montreal Street »),entre 1906 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"11 x 13,7 cm",1,Objet,"Transports ferroviaires train wagon de tramway, le « 496 Montreal Street »; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.356.43V_IN1.JPG
1976.356.62R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Un couple âgé (Adèle Bertrand et Édouard Massicotte?),entre 1906 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"13,7 x 11 cm",1,Portrait,"Costumes civils accessoires chaussures souliers bottines couvre-chefs bonnet chapeau, caprices corporels moustache, vêtements pantalon robe veston, de dessus châle; Personnages groupes humains femme âgée homme âgé couple, portrait en pied de profil; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.356.62R_IN1.JPG
1976.356.75R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste, et études de personnages, dont des enfants",entre 1906 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"13,7 x 11 cm",1,Portrait,"Costumes civils accessoires bas chaussure couvre-chefs chapeaux casquette, caprices corporels barbiche moustache, vêtements robes, de dessus manteaux mante; Personnages groupes humains enfants filles femmes dont la cousine de l'artiste hommes, portrait à mi-corps en buste de profil de trois quarts; Activités et événements personnelles fumer; Objets façonnés personnels accessoire pipe; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.356.75R_IN1.JPG
1976.357.02R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Une rue de Montréal et portraits de personnages,entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Architecture; Portrait,"Costumes civils accessoires couvre-chef chapeau, caprices corporels barbiche moustaches favoris; Architecture et génie aménagements extérieurs poteaux, détails architecturaux arcades façades bandeaux pilastres toitures corniches clocher tours pinacles pignons, religieuse église, résidentielle maisons en rangée, travaux publics rue trottoir, ville; Personnages groupes humains femme hommes, portrait en buste de profil de trois quarts; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.02R_IN1.JPG
1976.357.06V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Passants dans une rue de Montréal,entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Scène de genre,"Costumes civils accessoires chaussures couvre-chefs chapeaux chapeau melon, vêtements pantalon, de dessus manteaux; Architecture et génie aménagements extérieurs poteaux, détails architecturaux façades fenêtres toitures corniches lucarnes larmier tourelle pignons, résidentielle maisons en rangée, travaux publics rue, ville; Transports terrestres voitures à traction animale charrettes; Personnages groupes humains hommes, portrait en pied à mi-corps de dos de profil; Animaux mammifères chevaux; Activités personnelles promenade; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.06V_IN1.JPG
1976.357.09V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Couseuse à l'ouvrage dans une fabrique de vêtements,entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Scène de genre,"Costumes civils accessoires chapeau, vêtements robe; Personnages groupes humains femmes, métiers et professions couseuse ou couturière dans une fabrique de vêtements, portrait en buste de profil; Objets façonnés mobilier literie linge meubles tables chaises; Outils et équipement professionnel machine à coudre, outils courants fuseaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.09V_IN1.jpg
1976.357.13V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Façade du « Marché de la Côte » et études de deux fumeurs,entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Architecture; Figure,"Costumes civils accessoires couvre-chef tuque, vêtements vestons; Architecture et génie aménagements extérieurs poteaux, détails architecturaux façades fenêtres porte bandeaux pilastres socles toitures cheminée lucarnes pignons, commerciale et industrielle boutique et magasin marché de la Côte, résidentielle maison, travaux publics rues trottoirs,  ville; Personnages groupes humains hommes, portrait à mi-corps de trois quarts; Activités et événements, personnelles fumer la pipe; Objets façonnés contenant sac à tabac, de communication publicitaire enseigne, personnels accessoire pipe; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.13V_IN1.JPG
1976.357.14R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Un coin de rue à Montréal (façade du «B Hall»),entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Architecture; Figure,"Costumes civils accessoires mitaines, vêtements de dessus manteau; Architecture et génie aménagements extérieurs poteaux, détails architecturaux façades fenêtres porte bandeaux, commerciale et industrielle B Hall, travaux publics rues trottoirs, ville; Personnages groupes humains figures; Objets façonnés de communication enseigne; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.14R_IN1.JPG
1976.357.14V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste, assoupie, et études d'un personnage et de costume",entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Figure,"Costumes civils accessoires ceinture chaussures souliers couvre-chef chapeau melon, vêtements chemise pantalon robe, de dessus manteau; Personnages groupes humains femme assoupie, cousine de l'artiste, homme, portrait à mi-corps de profil; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.14V_IN1.JPG
1976.357.15V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Études de personnages, dont Jeanne Veillette, et de costume",entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Figure,"Costumes civils accessoires ceintures chaussures bottes couvre-chefs casquettes, vêtements pantalons gilet robes vestons; Personnages groupes humains enfants garçons femmes, dont la cousine de l'artiste, portrait en pied à mi-corps de profil de dos; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.15V_IN1.JPG
1976.357.23R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette et Adèle Bertrand, cousine et mère de l'artiste, et études de personnages",entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Portrait,"Costumes civils accessoires col couvre-chef chapeau, caprices corporels moustaches, vêtements robes, de dessus manteaux; Personnages groupes humains femmes, cousine et mère de l'artiste, hommes, portrait à mi-corps en buste de profil de trois quarts de face; Activités et événements, religieuses prière; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.23R_IN1.JPG
1976.357.24R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, Adèle Bertrand et Édouard Massicotte, vu de dos",entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Portrait,"Costumes civils accessoires chaussures bretelles, vêtements chemise pantalon robes; Personnages groupes humains femmes, cousine et mère de l'artiste, homme, frère de l'artiste, portrait en pied en buste de profil de trois quarts de dos; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.24R_IN1.JPG
1976.357.25V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Devanture d'un commerce, portrait d'homme et étude de personnage",entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Architecture; Portrait,"Costumes civils accessoires foulard couvre-chefs chapeaux, caprices corporels barbiche, vêtements de dessus manteaux; Architecture et génie aménagements extérieurs poteau, détails architecturaux mur extérieur façades vitrines porte perron toitures gouttières pignon, commerciale et industrielle boutique commerce, travaux publics rue trottoir,  ville; Personnages groupes humains hommes, portrait en buste de profil de face; Géographie physique phénomènes naturels neige, saison : hiver; Localisation : Montréal, Québec,",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.25V_IN1.JPG
1976.357.26R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Rue et devanture d'un commerce à Montréal,entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Architecture,"Architecture et génie aménagements extérieurs poteau, détails architecturaux cheminée façades fenêtres imposte porte pilastre toitures corniches lucarnes pignons, commerciale et industrielle boutique commerce, résidentielle maisons, travaux publics rues trottoirs, ville; Géographie physique phénomènes naturels neige, saiosn : hiver; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.26R_IN1.JPG
1976.357.26V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Personnages devant une boutique de tailleurs d'habits à Montréal,entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Architecture; Figure,"Costumes civils accessoires foulard couvre-chefs chapeaux, vêtements pantalon, de dessus manteaux; Architecture et génie détails architecturaux mur extérieur façade vitrines impostes pilastres corniches pignon, aménagements extérieurs poteaux, commerciale et industrielle boutique de tailleurs d'habits, travaux publics rue trottoir, ville; Personnages groupes humains hommes; Activités et événements, récréatives conversation rencontre; Géographie physique phénomènes naturels neige, saison : hiver; Objets façonnés de communication enseigne; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.26V_IN1.jpg
1976.357.30V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Portrait d'homme et études de personnages féminins (Adèle Bertrand et Jeanne Veillette),entre 1905 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,6 x 12,6 cm",1,Portrait,"Costumes civils accessoires ceintures chaussures couvre-chef casquette, caprices corporels moustache, vêtements robes veston; Architecture et génie détails architecturaux murs intérieurs plancher porte; Activités et événements domestiques; Personnages groupes humains femmes, mère et cousine de l'artiste, homme, portrait en pied en buste de dos de trois quarts de profil; Objets façonnés mobilier meuble chaise; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.357.30V_IN1.JPG
1976.358.01R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste",entre 1906 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,7 x 13 cm",1,Portrait,"Costumes civils vêtements robe; Personnages groupes humains femme, cousine de l'artiste, portrait en buste de trois quarts; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.358.01R_IN1.JPG
1976.358.02V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste, lisant",1907 ou 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,7 x 13 cm",1,Portrait,"Costumes civils accessoires chaussures, vêtements robe; Personnages groupes humains femme, cousine de l'artiste, portrait en pied, assise de trois quarts; Activités et événements récréatives lecture; Objets façonnés de communication documentaire livre; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.358.02V_IN1.JPG
1976.358.03V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste",1907 ou 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,7 x 13 cm",1,Portrait,"Costumes civils accessoires ceinture, vêtements robe; Personnages groupes humains femme, cousine de l'artiste, portrait à mi-corps de profil; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.358.03V_IN1.JPG
1976.358.05R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph",Jeanne Veillette lisant et étude d'homme au gilet,1907 ou 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,7 x 13 cm",1,Portrait,"Costumes civils vêtements chemise gilet robe, bijoux et ornements parure vestimentaire broche; Personnages groupes humains femme, cousine de l'artiste, homme, portrait à mi-corps de trois quarts de dos; Activités et événements récréatives lecture; Objets façonnés de communication documentaires livres; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.358.05R_IN1.JPG
1976.358.06R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste",1907 ou 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,7 x 13 cm",1,Portrait,"Costumes civils vêtements robes; Personnages groupes humains femme, cousine de l'artiste, portrait à mi-corps, assise de profil; Objets façonnés mobilier draperie nappe meubles table chaise; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.358.06R_IN1.JPG
1976.358.06V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste, et études de personnages",1907 ou 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,7 x 13 cm",1,Portrait,"Costumes civils accessoires ceinture, vêtements robe veston; Personnages anatomie bras, groupes humains femme, cousine de l'artiste, homme, portrait à mi-corps de profil; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.358.06V_IN1.JPG
1976.358.12V,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste",1907 ou 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,7 x 13 cm",1,Portrait,"Costumes civils accessoires chaussure souliers, vêtements robe, bijoux et ornements parure de cou collier; Personnages groupes humains femme, cousine de l'artiste, portrait en pied en buste, assise de trois quarts, tête de profil; Activités et événements, personnelles boire dormir; Objets façonnés contenants verre, mobilier meuble table; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.358.12V_IN1.JPG
1976.358.16R,Art moderne (1900-1950),Collection permanente,Dessin,Dessin (carnet),"Massicotte, Edmond-Joseph","Jeanne Veillette, cousine de l'artiste, et études de personnage et de main",1907 ou 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Mine de plomb sur papier,"17,7 x 13 cm",1,Portrait,"Costumes civils vêtements chemise robe veston; Personnages anatomie main, groupes humains femme, cousine de l'artiste, homme, portrait à mi-corps de profil; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1976.358.16R_IN1.JPG
