"Prénom ","Nom","Genre","Rôles ","Responsabilités","Arrondissement","Nom du district","Nom du parti","Adresse ligne 1 (Hôtel de Ville)","Adresse ligne 2 (Hôtel de Ville)","Localité (Hôtel de Ville)","Province (Hôtel de Ville)","Code postal (Hôtel de Ville)","Adresse ligne 1 (Arrondissement)","Adresse ligne 2 (Arrondissement)","Localité (Arrondissement)","Province (Arrondissement)","Code postal (Arrondissement)","Téléphone (Hôtel de Ville)","Téléphone (Arrondissement)","Télécopieur","Courriel","URL d'une photo","URL source","Poste"
"Marvin","Rotrand","M","Chef intérimaire et leader de la 2e opposition; Conseiller de la ville",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Snowdon","Coalition Montréal",,,,,,"5160, boulevard Décarie","bureau 710, 7e étage","Montréal","QC","H3X 2H9",,"514 872-4863","514 868-3327","mrotrand@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_rotrand_marvin.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239416","03,30"
"Chantal","Rouleau","F","Mairesse d'arrondissement; Membre du comité exécutif; Membre du conseil d'agglomération; Membre du Conseil de la Communauté métropolitaine de Montréal","Eau; Infrastructures de l'eau","Rivière-des-Prairies–Pointe-aux-Trembles",,"Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 1.108","Montréal","QC","H2Y 1C6","12090, rue Notre-Dame Est",,"Montréal","QC","H1B 2Z1","514 872-5258","514 868-4050","514 872-4112","chantal.rouleau@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_rouleau_chantal.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142343223","12,00"
"Richard","Ryan","M","Conseiller de la ville; Membre du conseil d'agglomération; Membre de la commission sur le schéma d'aménagement et de développement de Montréal",," Plateau-Mont-Royal","Mile End","Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est","5e étage","Montréal","QC","H2T 3E6","514 868-5192","514 872-8023",,"richard.ryan@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_ryan_richard.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240781","11,10"
"Aref","Salem","M","Conseiller de la ville; Membre du comité exécutif; Membre du conseil d'agglomération; Membre du Conseil de la Communauté métropolitaine de Montréal","Transport","Saint-Laurent","Norman-McLaren","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 1.102","Montréal","QC","H2Y 1C6","777, boulevard Marcel-Laurin",,"Saint-Laurent ","QC","H4M 2M7","514 872-2215","514 855-6000 poste 4042","514 855-6049","aref.salem@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_salem_aref.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=120290197","14,20"
"Anie","Samson","F","Maire d'arrondissement; Vice-présidente du comité exécutif; Membre du conseil d'agglomération; Présidente de la Commission de la sécurité publique","Sécurité publique; Services aux citoyens","Villeray–Saint-Michel–Parc-Extension",,"Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.100","Montréal","QC","H2Y 1C6","405, rue Ogilvy","bureau 103","Montréal","QC","H3N 1M3","514 872-0297","514 872-8173","514 872-2196","asamson@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_samson_anie.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=120167571","19,00"
"Craig","Sauvé","M","Conseiller de la ville; Membre de la Commission sur les transports et les travaux publics",," Sud-Ouest","Saint-Henri–La Petite-Bourgogne–Pointe-Saint-Charles","Projet Montréal - Équipe Valérie Plante",,,,,,"815, rue Bel-Air",,"Montréal","QC","H4C 2K4",,"514-872-6814",,"craig.sauve@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_sauve_craig.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239481","16,10"
"Jeremy","Searle","M","Conseiller de la ville",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Loyala","Indépendant",,,,,,"5160, boulevard Décarie","bureau 710, 7e étage","Montréal","QC","H3X 2H9","514 872-4863","514 483-2561",,"jeremy.searle@sympatico.ca",,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239482","03,50"
"Steve","Shanahan","M","Conseiller de la ville",,"Ville-Marie","Peter-McGill","Vrai changement pour Montréal",,,,,,"800, boulevard de Maisonneuve Est","17e étage","Montréal","QC","H2L 2L8","514 868-5858","514 868-5169","514 872-8347","steve.shanahan@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_shanahan_steve.JPG","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142332187","18,10"
"Anne-Marie","Sigouin","F","Conseillère de la ville; Membre de la Commission sur la culture, le patrimoine et les sports ",,"Sud-Ouest","Saint-Paul–Émard","Projet Montréal - Équipe Valérie Plante",,,,,,"815, rue Bel-Air",,"Montréal","QC","H4C 2K4",,"514-872-6814",,"anne-marie.sigouin@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_anne_sigouin.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=120209577","16,20"
"Kymberley","Simonyik","F","Conseillère d'arrondissement  ",,"Lachine","Fort-Rolland ","Équipe Denis Coderre pour Montréal",,,,,,"1800, boulevard Saint-Joseph",,"Lachine ","QC","H8S 2N4",,"514-634-3471 poste 205","514-634-8164","kymberley.simonyik@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_simonyik_kimberley.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=122079596","04,30"
"Sophie","Thiébaut","F","Conseillère d'arrondissement; Membre de la Commission sur le développement social et la diversité montréalaise  ",,"Sud-Ouest","Saint-Henri–La Petite-Bourgogne–Pointe-Saint-Charles ","Projet Montréal - Équipe Valérie Plante",,,,,,"815, rue Bel-Air",,"Montréal","QC","H4C 2K4",,"514 872-6814","514 872-3705","sophie.thiebaut@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_thiebaut_sophie.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239420","16,11"
"Émilie","Thuillier","F","Conseillère de la ville; Présidente de la Commission sur l'examen des contrats",,"Ahuntsic-Cartierville","Ahuntsic","Projet Montréal - Équipe Valérie Plante",,,,,,"555, rue Chabanel Ouest","6e étage","Montréal","QC"," H2N 2H8","514 872-2246","514 872-0430","514 868-3324","emilie.thuillier@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_thuillier_emilie.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142309842","01,30"
"Lili-Anne","Tremblay","F","Conseillère d'arrondissement; Membre de la Commission sur le développement économique et urbain et l'habitation; Membre de la Commission sur l'examen des contrats; Membre de la Commission sur l'inspecteur général",,"Saint-Léonard","Saint-Léonard-Est","Équipe Denis Coderre pour Montréal",,,,,,"8400, boulevard Lacordaire",,"Saint-Léonard","QC","H1R 3B1",,"514 328-8410","514 328-8419","lili-anne.tremblay@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_TREMBLAY_LILI-ANNE.JPG","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=125471672","15,11"
"Josée","Troïlo","F","Conseillère d'arrondissement  ",,"LaSalle","Cecil-P.-Newman (siège 2)","Équipe Barbe Team",,,,,,"55, avenue Dupras",,"LaSalle","QC","H8R 4A8",,"514 367-6000, poste 6245","514 367-6600","josee.troilo@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_troilo_josee.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239487","05,22"
"Roger","Trottier","M","Conseiller d'arrondissement  ",,"Pierrefonds-Roxboro","Bois-de-Liesse","Vrai changement pour Montréal",,,,,,"13665, boulevard de Pierrefonds",,"Pierrefonds","QC","H9A 2Z4",,"514 624-1053",,"roger.trottier@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_trottier_roger.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=126863575","10,11"
"Alain","Vaillancourt","M","Conseiller d'arrondissement; Membre de la Commission sur les finances et l'administration  ",,"Sud-Ouest","Saint-Paul–Émard","Projet Montréal - Équipe Valérie Plante",,,,,,"815, rue Bel-Air",,"Montréal","QC","H4C 2K4",,"514-872-6814",,"alain.vaillancourt@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_vaillancourt_alain.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=120913572","16,21"
"Monique","Vallée","F","Conseillère de la ville; Membre du comité exécutif; Membre du conseil d'agglomération; Membre de la commission sur le schéma d'aménagment et de développement de Montréal","Développement social et communautaire; Itinérance","LaSalle","Cecil-P.-Newman ","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.103","Montréal","QC","H2Y 1C6","55, avenue Dupras",,"LaSalle","QC","H8R 4A8"," 514 872-5843","514 367-6000, poste 6242","514 367-6600","monique.vallee@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_vallee_monique.JPG","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=119183578","05,20"
"Maja","Vodanovic","F","Conseillère d'arrondissement; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs ",,"Lachine","Canal","Projet Montréal - Équipe Valérie Plante",,,,,,"1800, boulevard Saint-Joseph",,"Lachine ","QC","H8S 2N4",,"514-634-3471 poste 824","514-634-8164","maja.vodanovic@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_vodanovic_maja.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239484","04,10"
