NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANDE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE 
MICROCRÉDIT MONTRÉAL,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207016002,ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 400 000$ À MICROCRÉDIT MONTRÉAL POUR LE PROJET VISANT À SOUTENIR LE DÉPLOIEMENT DU MICROCRÉDIT À MONTRÉAL / APPROUVER LE PROJET DE CONVENTION À CET EFFET,CG20 0592,2020-11-20,400000,,,400000
CONSEIL QUÉBÉCOIS DU COMMERCE DE DÉTAIL,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION MISE EN VALEUR DES PÔLES ÉCONOMIQUES,1208454004,OCTROYER UNE CONTRIBUTION FINANCIÈRE NON RÉCURRENTE DE 149 340 $ AU CONSEIL QUÉBÉCOIS DU COMMERCE DE DÉTAIL POUR LA MISE EN PLACE D’UN SERVICE DE LIVRAISON DURABLE ET MUTUALISÉ POUR LES COMMERÇANTS LOCAUX / APPROUVER UN PROJET DE CONVENTION À CET EFFET,CG20 0593,2020-11-20,149340,,,149340
"PROPULSION QUÉBEC, GRAPPE INDUSTRIELLE DES VÉHICULES ÉLECTRIQUES ET INTELLIGENTS",100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION PARTENARIATS STRATÉGIQUES ET AFFAIRES INTERNATIONALES,1204864001,"ACCORDER UNE CONTRIBUTION FINANCIÈRE NON RÉCURRENTE DE 60 000 $ À PROPULSION QUÉBEC, LA GRAPPE INDUSTRIELLE DES VÉHICULES ÉLECTRIQUES ET INTELLIGENTS, POUR L'ORGANISATION DU FORUM INTERNATIONAL SUR LA GESTION DES PARCS DE VÉHICULES IMPULSION MTL / FLEET M",CG20 0603,2020-11-20,60000,,,60000
LA CANTINE POUR TOUS,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1201361002,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 770 975 $, À SEPT DIFFÉRENTS ORGANISMES, POUR 2020, POUR LE MONTANT ET LE PROJET INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE DÉDIÉ À L",CG20 0604,2020-11-20,92000,,,92000
MISSION BON ACCUEIL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1201361002,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 770 975 $, À SEPT DIFFÉRENTS ORGANISMES, POUR 2020, POUR LE MONTANT ET LE PROJET INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE DÉDIÉ À L",CG20 0604,2020-11-20,185000,,,185000
C.A.RE MONTRÉAL (CENTRE D'AIDE ET DE RÉINSERTION),100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1201361002,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 770 975 $, À SEPT DIFFÉRENTS ORGANISMES, POUR 2020, POUR LE MONTANT ET LE PROJET INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE DÉDIÉ À L",CG20 0604,2020-11-20,60000,,,60000
CARREFOUR D'ALIMENTATION ET DE PARTAGE ST-BARNABÉ INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1201361002,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 770 975 $, À SEPT DIFFÉRENTS ORGANISMES, POUR 2020, POUR LE MONTANT ET LE PROJET INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE DÉDIÉ À L",CG20 0604,2020-11-20,133975,,,133975
ASSOCIATION D'ENTRAIDE LE CHAINON INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1201361002,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 770 975 $, À SEPT DIFFÉRENTS ORGANISMES, POUR 2020, POUR LE MONTANT ET LE PROJET INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE DÉDIÉ À L",CG20 0604,2020-11-20,100000,,,100000
RÉSEAU D'INTERVENTION AUPRÈS DES PERSONNES AYANT SUBI LA VIOLENCE ORGANISÉE (RIVO),100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1201361002,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 770 975 $, À SEPT DIFFÉRENTS ORGANISMES, POUR 2020, POUR LE MONTANT ET LE PROJET INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE DÉDIÉ À L",CG20 0604,2020-11-20,50000,,,50000
PROJETS AUTOCHTONES DU QUÉBEC,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1201361002,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 770 975 $, À SEPT DIFFÉRENTS ORGANISMES, POUR 2020, POUR LE MONTANT ET LE PROJET INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE DÉDIÉ À L",CG20 0604,2020-11-20,150000,,,150000
ÉCOLE DES ENTREPRENEURS DU QUÉBEC,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1208832001,ACCORDER UNE CONTRIBUTION FINANCIÈRE NON RÉCURRENTE DE 420 000 $ À L’ÉCOLE DES ENTREPRENEURS DU QUÉBEC POUR L'ORGANISATION ET LE SUIVI DU PARCOURS INNOVATION ET DU PARCOURS C3 POUR L'ANNÉE 2021 / APPROUVER UN PROJET DE CONVENTION À CETTE FIN,CG20 0672,2020-12-18,420000,,,420000
ÉCOLE POLYTECHNIQUE DE MONTRÉAL,100% AGGLO,SERVICE DE L'URBANISME ET DE LA MOBILITÉ,DIRECTION,1207999004,"ACCORDER UN SOUTIEN FINANCIER DE 250 000 $, ÉCHELONNÉ SUR CINQ ANS (2020-2025), À LA CHAIRE DE RECHERCHE MOBILITÉ DE LA CORPORATION DE L’ÉCOLE POLYTECHNIQUE DE MONTRÉAL AFIN DE SOUTENIR EXCLUSIVEMENT LE PROGRAMME DE RECHERCHE DE SON TROISIÈME MANDAT DE CI",CG20 0676,2020-12-18,250000,,,250000
CULTURE MONTRÉAL,100% AGGLO,SERVICE DE LA CULTURE,DIRECTION DU DÉVELOPPEMENT CULTUREL,1206767001,ACCORDER UN SOUTIEN FINANCIER DE 100 000$ À CULTURE MONTRÉAL POUR SOUTENIR LA RÉALISATION DE SON PLAN D'ACTION 2020 ET APPROUVER LA CONVENTION À CET EFFET.,CG20 0677,2020-12-18,100000,,,100000
TRIATHLON INTERNATIONAL DE MONTRÉAL,100% AGGLO,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1208475004,"ACCORDER UN SOUTIEN FINANCIER DE 150 000 $ À TRIATHLON INTERNATIONAL DE MONTRÉAL POUR SOUTENIR SA MISSION À LA SUITE DE L'ANNULATION DE L'ÉDITION 2020 DU TRIATHLON INTERNATIONAL DE MONTRÉAL DANS LE CADRE DU BUDGET DU SERVICE DES GRANDS PARCS, DU MONT-ROYA",CG20 0679,2020-12-18,150000,,,150000
CULTURE MONTRÉAL,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207019007,"APPROUVER L'ADDENDA NO 1 À LA CONVENTION ENTRE LA VILLE DE MONTRÉAL ET CULTURE MONTRÉAL (CG20 0461) ET ACCORDER UNE CONTRIBUTION FINANCIÈRE SUPPLÉMENTAIRE DE 40 000 $, MAJORANT AINSI LE MONTANT TOTAL DE L'ENTENTE DE 140 000 $ À 180 000 $, AFIN D'AUGMENTER",CG20 0680,2020-12-18,40000,,,40000
CONSEIL DE L'ÉCONOMIE SOCIALE DE L'ÎLE DE MONTRÉAL,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1208973001,ACCORDER UNE CONTRIBUTION FINANCIÈRE DE 1 215 000 $ POUR SOUTENIR LE CONSEIL DE L'ÉCONOMIE SOCIALE DE L'ÎLE DE MONTRÉAL AU COURS DE LA PÉRIODE DU 1ER JANVIER 2021 AU 31 MARS 2025 / APPROUVER UNE ENTENTE À CET EFFET,CG20 0682,2020-12-18,1215000,,,1215000
MISSION BON ACCUEIL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1208741008,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 371 525 $ À CINQ DIFFÉRENTS ORGANISMES POUR LE MONTANT ET LE PROJET INDIQUÉS EN REGARD DE CHACUN D'EUX, POUR 2020, EN SOUTIEN À LEUR OFFRE EN MATIÈRE D'HÉBERGEMENT D'URGENCE DES PERSONNES SANS-ABRI DANS",CG20 0686,2020-12-18,121525,,,121525
CARREFOUR D'ALIMENTION ET DE PARTAGE ST BARNABÉ INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1208741008,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 371 525 $ À CINQ DIFFÉRENTS ORGANISMES POUR LE MONTANT ET LE PROJET INDIQUÉS EN REGARD DE CHACUN D'EUX, POUR 2020, EN SOUTIEN À LEUR OFFRE EN MATIÈRE D'HÉBERGEMENT D'URGENCE DES PERSONNES SANS-ABRI DANS",CG20 0686,2020-12-18,100000,,,100000
LA PORTE OUVERTE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1208741008,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 371 525 $ À CINQ DIFFÉRENTS ORGANISMES POUR LE MONTANT ET LE PROJET INDIQUÉS EN REGARD DE CHACUN D'EUX, POUR 2020, EN SOUTIEN À LEUR OFFRE EN MATIÈRE D'HÉBERGEMENT D'URGENCE DES PERSONNES SANS-ABRI DANS",CG20 0686,2020-12-18,50000,,,50000
PROJET ADO COMMUNAUTAIRE EN TRAVAIL DE RUE,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1208741008,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 371 525 $ À CINQ DIFFÉRENTS ORGANISMES POUR LE MONTANT ET LE PROJET INDIQUÉS EN REGARD DE CHACUN D'EUX, POUR 2020, EN SOUTIEN À LEUR OFFRE EN MATIÈRE D'HÉBERGEMENT D'URGENCE DES PERSONNES SANS-ABRI DANS",CG20 0686,2020-12-18,50000,,,50000
ACTION JEUNESSE DE L'OUEST-DE-ÎLE (AJOI),100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1208741008,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 371 525 $ À CINQ DIFFÉRENTS ORGANISMES POUR LE MONTANT ET LE PROJET INDIQUÉS EN REGARD DE CHACUN D'EUX, POUR 2020, EN SOUTIEN À LEUR OFFRE EN MATIÈRE D'HÉBERGEMENT D'URGENCE DES PERSONNES SANS-ABRI DANS",CG20 0686,2020-12-18,50000,,,50000
UNIVERSITÉ CONCORDIA (DISTRICT 3),100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207952004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT À HUIT (8) ORGANISMES, REPRÉSENTANT UNE SOMME MAXIMALE TOTALE DE 1 000 000 $, POUR LES ANNÉES 2021 ET 2022, POUR L'APPUI AUX INCUBATEURS ET ACCÉLÉRATEURS AINSI QU’AUX CENTRES D’ENTREPRENEURIAT UNIVERSITAIRE DANS",CG21 0025,2021-01-29,150000,,,150000
GROUPE 3737,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207952004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT À HUIT (8) ORGANISMES, REPRÉSENTANT UNE SOMME MAXIMALE TOTALE DE 1 000 000 $, POUR LES ANNÉES 2021 ET 2022, POUR L'APPUI AUX INCUBATEURS ET ACCÉLÉRATEURS AINSI QU’AUX CENTRES D’ENTREPRENEURIAT UNIVERSITAIRE DANS",CG21 0025,2021-01-29,150000,,,150000
ZÙ,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207952004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT À HUIT (8) ORGANISMES, REPRÉSENTANT UNE SOMME MAXIMALE TOTALE DE 1 000 000 $, POUR LES ANNÉES 2021 ET 2022, POUR L'APPUI AUX INCUBATEURS ET ACCÉLÉRATEURS AINSI QU’AUX CENTRES D’ENTREPRENEURIAT UNIVERSITAIRE DANS",CG21 0025,2021-01-29,75000,,,75000
LA PISCINE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207952004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT À HUIT (8) ORGANISMES, REPRÉSENTANT UNE SOMME MAXIMALE TOTALE DE 1 000 000 $, POUR LES ANNÉES 2021 ET 2022, POUR L'APPUI AUX INCUBATEURS ET ACCÉLÉRATEURS AINSI QU’AUX CENTRES D’ENTREPRENEURIAT UNIVERSITAIRE DANS",CG21 0025,2021-01-29,75000,,,75000
POLYTECHNIQUE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207952004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT À HUIT (8) ORGANISMES, REPRÉSENTANT UNE SOMME MAXIMALE TOTALE DE 1 000 000 $, POUR LES ANNÉES 2021 ET 2022, POUR L'APPUI AUX INCUBATEURS ET ACCÉLÉRATEURS AINSI QU’AUX CENTRES D’ENTREPRENEURIAT UNIVERSITAIRE DANS",CG21 0025,2021-01-29,150000,,,150000
ÉCOLE DES HAUTES ÉTUDES COMMERCIALES (IEBN-HEC),100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207952004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT À HUIT (8) ORGANISMES, REPRÉSENTANT UNE SOMME MAXIMALE TOTALE DE 1 000 000 $, POUR LES ANNÉES 2021 ET 2022, POUR L'APPUI AUX INCUBATEURS ET ACCÉLÉRATEURS AINSI QU’AUX CENTRES D’ENTREPRENEURIAT UNIVERSITAIRE DANS",CG21 0025,2021-01-29,150000,,,150000
ESPACE LUDIQUE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207952004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT À HUIT (8) ORGANISMES, REPRÉSENTANT UNE SOMME MAXIMALE TOTALE DE 1 000 000 $, POUR LES ANNÉES 2021 ET 2022, POUR L'APPUI AUX INCUBATEURS ET ACCÉLÉRATEURS AINSI QU’AUX CENTRES D’ENTREPRENEURIAT UNIVERSITAIRE DANS",CG21 0025,2021-01-29,125000,,,125000
CTS SANTÉ,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207952004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT À HUIT (8) ORGANISMES, REPRÉSENTANT UNE SOMME MAXIMALE TOTALE DE 1 000 000 $, POUR LES ANNÉES 2021 ET 2022, POUR L'APPUI AUX INCUBATEURS ET ACCÉLÉRATEURS AINSI QU’AUX CENTRES D’ENTREPRENEURIAT UNIVERSITAIRE DANS",CG21 0025,2021-01-29,125000,,,125000
CENTRE DE LA MONTAGNE-LES AMIS DE LA MONTAGNE,100% AGGLO,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION GESTION DES PARCS ET BIODIVERSITÉ,1201683001,"ACCORDER UN SOUTIEN FINANCIER SPÉCIAL NON RÉCURRENT TOTALISANT UNE SOMME MAXIMALE DE 175 844,40 $ AU CENTRE DE LA MONTAGNE-LES AMIS DE LA MONTAGNE ET LE GROUPE UNI DES ÉDUCATEURS-NATURALISTES ET PROFESSIONNELS EN ENVIRONNEMENT (GUEPE), POUR LA PÉRIODE ET ",CG21 0026,2021-01-29,96000,,,96000
LE GROUPE UNI DES ÉDUCATEURS-NATURALISTES ET PROFESSIONNELS EN ENVIRONNEMENT (GUEPE),100% AGGLO,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION GESTION DES PARCS ET BIODIVERSITÉ,1201683001,"ACCORDER UN SOUTIEN FINANCIER SPÉCIAL NON RÉCURRENT TOTALISANT UNE SOMME MAXIMALE DE 175 844,40 $ AU CENTRE DE LA MONTAGNE-LES AMIS DE LA MONTAGNE ET LE GROUPE UNI DES ÉDUCATEURS-NATURALISTES ET PROFESSIONNELS EN ENVIRONNEMENT (GUEPE), POUR LA PÉRIODE ET ",CG21 0026,2021-01-29,79844,,,79844
COOPÉRATIVE D'HABITATION LE TRAPÈZE,100% AGGLO,SERVICE DE L'HABITATION,DIRECTION,1209053001,"APPROUVER UNE SUBVENTION EXCEPTIONNELLE D'UN MONTANT MAXIMAL DE 676 160$ PROVENANT DE L'ENTENTE TRIPARTITE DE 2020 ENTRE LA MINISTRE DES AFFAIRES MUNICIPALES ET DE L'HABITATION, LA SOCIÉTÉ D'HABITATION DU QUÉBEC ET LA VILLE DE MONTRÉAL RELATIVEMENT AU FIN",CG21 0033,2021-01-29,2323694,,,2323694
BOIS PUBLIC,100% AGGLO,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION GESTION DES PARCS ET BIODIVERSITÉ,1208895004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 57 487,50 $ À BOIS PUBLIC POUR UN PLAN DE COMMUNICATION VISANT LA PROMOTION DE LA VALORISATION DU BOIS PROVENANT DES ABATTAGES D'ARBRES URBAINS. / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CG21 0035,2021-01-29,57487,,,57487
LA CENTRALE AGRICOLE: COOPÉRATIVE DE SOLIDARITÉ DE PRODUCTEURS URBAINS,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION PARTENARIATS STRATÉGIQUES ET AFFAIRES INTERNATIONALES,1207956001,ACCORDER DEUX (2) CONTRIBUTIONS NON RÉCURRENTES TOTALISANT 1 300 000 $ À LA CENTRALE AGRICOLE : COOPÉRATIVE DE SOLIDARITÉ DE PRODUCTEURS URBAINS ET AU LABORATOIRE SUR L’AGRICULTURE URBAINE DANS LE CADRE DE LA MISE EN OEUVRE DU PLAN DE RELANCE EN DÉVELOPPE,CG21 0036,2021-01-29,750000,,,750000
LABORATOIRE SUR L'AGRICULTURE URBAINE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION PARTENARIATS STRATÉGIQUES ET AFFAIRES INTERNATIONALES,1207956001,ACCORDER DEUX (2) CONTRIBUTIONS NON RÉCURRENTES TOTALISANT 1 300 000 $ À LA CENTRALE AGRICOLE : COOPÉRATIVE DE SOLIDARITÉ DE PRODUCTEURS URBAINS ET AU LABORATOIRE SUR L’AGRICULTURE URBAINE DANS LE CADRE DE LA MISE EN OEUVRE DU PLAN DE RELANCE EN DÉVELOPPE,CG21 0036,2021-01-29,550000,,,550000
CÉGEP ANDRÉ-LAURENDEAU,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION PARTENARIATS STRATÉGIQUES ET AFFAIRES INTERNATIONALES,1208379003,"ACCORDER UNE CONTRIBUTION FINANCIÈRE DE 299 597 $ AU CÉGEP ANDRÉ-LAURENDEAU POUR METTRE EN ŒUVRE LE PROJET SE LANCER DANS LA VENTE EN LIGNE, CONSISTANT À FORMER ET ACCOMPAGNER 96 DÉTAILLANTS DANS LA CRÉATION D’UN SITE DE VENTE TRANSACTIONNELLE EN LIGNE/ A",CG21 0037,2021-01-29,299597,,,299597
EXPO ENTREPRENEURS,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1207952003,ACCORDER UNE CONTRIBUTION FINANCIÈRE MAXIMALE DE 200 000 $ À EXPO ENTREPRENEURS AFIN DE RÉALISER SON ÉDITION 2021 DONT L'OBJECTIF EST DE REGROUPER LES RESSOURCES D’AIDE AUX ENTREPRENEURS ET D'EN FAVORISER L'ACCÈS / APPROUVER UN PROJET DE CONVENTION À CET ,CG21 0046,2021-01-29,200000,,,200000
CENTRE DE GESTION DES DÉPLACEMENTS DU CENTRE-VILLE DE MONTRÉAL,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION MISE EN VALEUR DES PÔLES ÉCONOMIQUES,1207340003,ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 400 000 $ AU CENTRE DE GESTION DES DÉPLACEMENTS DU CENTRE-VILLE DE MONTRÉAL POUR FAIRE LA PROMOTION DE SOLUTIONS DE MOBILITÉ DURABLE ET DE L'ÉLECTRIFICATION DES TRANSPORTS POUR LA PÉRIODE JUSQU'AU 30 SEPTEMBR,CG21 0078,2021-02-26,400000,,,400000
COOPÉRATIVE DE SOLIDARITÉ CARBONE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION MISE EN VALEUR DES PÔLES ÉCONOMIQUES,1218454001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 322 883 $ À LA COOPÉRATIVE DE SOLIDARITÉ CARBONE POUR UN PROJET DE CONCEPTION, D'OPÉRATION ET DE PÉRENNISATION D'UN MODÈLE DE MINI-HUB DE LOGISTIQUE URBAINE - APPROUVER UN PROJET DE CONVENTION À CET EFFET",CG21 0080,2021-02-26,322883,,,322883
L'ANONYME U.I.M.,100% VILLE,SERVICE DE L'HABITATION,DIRECTION,1198441001,"AUTORISER UNE AIDE FINANCIÈRE DE 2 373 158 $ À L’ORGANISME À BUT NON LUCRATIF L’ANONYME U.I.M. POUR L'ACQUISITION ET LA RÉNOVATION D'UNE MAISON DE CHAMBRES AU 3629, RUE SAINTE-CATHERINE EST, DANS L’ARRONDISSEMENT DE MERCIER-HOCHELAGA-MAISONNEUVE; APPROUVE",CG21 0085,2021-02-26,2373158,,,2373158
INTÉGRATION JEUNESSE DU QUÉBEC INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1216368001,"ACCORDER DEUX SOUTIENS FINANCIERS À INTÉGRATION JEUNESSE DU QUÉBEC INC., POUR L'ANNÉE 2021, SOIT UN SOUTIEN DE 300 000 $ POUR RÉALISER LE PROJET « CAMPS PÉDAGOGIQUES: VOLET SAUVETEURS DE PISCINE ET VOLET MONITEURS DE CAMP » ET UN DE 50 000 $ POUR LE PROJE",CG21 0116,2021-03-26,300000,,,300000
INTÉGRATION JEUNESSE DU QUÉBEC INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1216368001,"ACCORDER DEUX SOUTIENS FINANCIERS À INTÉGRATION JEUNESSE DU QUÉBEC INC., POUR L'ANNÉE 2021, SOIT UN SOUTIEN DE 300 000 $ POUR RÉALISER LE PROJET « CAMPS PÉDAGOGIQUES: VOLET SAUVETEURS DE PISCINE ET VOLET MONITEURS DE CAMP » ET UN DE 50 000 $ POUR LE PROJE",CG21 0116,2021-03-26,50000,,,50000
VÉLO QUÉBEC ÉVÉNEMENTS,100% AGGLO,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1204669007,APPROUVER UN PROJET DE CONVENTION ENTRE LA VILLE DE MONTRÉAL ET VÉLO QUÉBEC ÉVÉNEMENTS D'UNE DURÉE D'UN AN (2021) POUR LE SOUTIEN À L'ÉVÉNEMENT FESTIVAL GO VÉLO MONTRÉAL ET VERSER UNE CONTRIBUTION FINANCIÈRE TOTALISANT 120 000 $,CG21 0133,2021-03-26,120000,,,120000
FOYER POUR FEMMES AUTOCHTONES DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1213220003,"ACCORDER UN SOUTIEN FINANCIER DE 79 964 $ À FOYER POUR FEMMES AUTOCHTONES DE MONTRÉAL POUR LA RÉALISATION DU PROJET « SOUTIEN AU CENTRE DE JOUR RÉSILIENCE MONTRÉAL », DU 4 NOVEMBRE 2020 AU 31 MARS 2022, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GES",CG21 0134,2021-03-26,79964,,,79964
MAISON DU PÈRE,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1218263002,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 730 555$ AUX SIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2021, EN SOUTIEN À LEUR OFFRE DE SERVICE EN MATIÈRE D'HÉBERGEMENT D'URGENCE DES PERSONNES EN SITUATION D'ITINÉRANCE, DANS LE CADRE DU BUDGET D",CG21 0135,2021-03-26,150000,,,150000
ASSOCIATION D'ENTRAIDE LE CHAÎNON,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1218263002,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 730 555$ AUX SIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2021, EN SOUTIEN À LEUR OFFRE DE SERVICE EN MATIÈRE D'HÉBERGEMENT D'URGENCE DES PERSONNES EN SITUATION D'ITINÉRANCE, DANS LE CADRE DU BUDGET D",CG21 0135,2021-03-26,54318,,,54318
