Gentile_no;Toponyme;Type_entite;Gentile;Prononciation;Variante;Commentaire;bibliographie;Toponyme_red 
1014;Saint-Bernard-de-Michaudville;Municipalité;Bermigeois, Bermigeoise (1995*);;;Commentaire : La municipalité de la paroisse de Saint-Bernard-Partie-Sud est devenue la municipalité de Saint-Bernard-de-Michaudville, le 19 juillet 1997. Le gentilé est tiré de la première syllabe du constituant Bernard et de celle du toponyme Michaudville qui entre dans la composition de Saint-Bernard-de-Michaudville, appellation courante de l'endroit qui provient de celle du bureau de poste qui l'a lui-même empruntée à un ancien village du territoire. La consonne de passage g agrémente sur un plan euphonique cette appellation collective.;;SaintBernarddeMichaudville
1726;Saint-Bernard-Partie-Sud;Municipalité de paroisse;Voir Saint-Bernard-de-Michaudville (Municipalité);;;;;Saintbernardpartiesud
1015;Saint-Blaise;Municipalité de paroisse;Voir Saint-Blaise-sur-Richelieu (Municipalité);;;;;SaintBlaise
1016;Saint-Blaise-sur-Richelieu;Municipalité;Blaisois, Blaisoise (1984*);;;Commentaire : La municipalité de la paroisse de Saint-Blaise est devenue la municipalité de Saint-Blaise-sur-Richelieu, le 15 mai 1993.;;SaintBlaisesurRichelieu
1017;Saint-Bonaventure;Municipalité;Bonaventurain, Bonaventuraine (1986*);;;;;SaintBonaventure
1728;Saint-Boniface;Municipalité;Bonifacien, Bonifacienne (1999*);;;Commentaire : La municipalité du village de Saint-Boniface-de-Shawinigan est devenue la municipalité de Saint-Boniface, le 5 avril 2003.;;Saintboniface
1018;Saint-Boniface-de-Shawinigan;Paroisse (de la municipalité de Saint-Boniface);Shaweganien, Shaweganienne (1888);;;Commentaire : Le nom de cette paroisse a été changé pour « Saint-Boniface » en 1987. Anciennement, le nom Shawinigan était orthographié Shawenegan (e). Inexplicablement le ne a été omis dans la correspondance du curé de l'époque, quoique la lettre concernée porte bel et bien l'indication de lieu : « Shawenegan, 1er août, 1888 ».;;SaintBonifacedeShawinigan
1019;Saint-Boniface-de-Shawinigan;Municipalité de village;Voir Saint-Boniface (Municipalité);;;;;SaintBonifacedeShawinigan
1020;Saint-Bruno;Municipalité;Brunois, Brunoise (1985*);;;;;SaintBruno
1021;Saint-Bruno-de-Guigues;Municipalité;Guiguois, Guiguoise (1986*);;;;;SaintBrunodeGuigues
1022;Saint-Bruno-de-Kamouraska;Municipalité;Brulois, Bruloise (1992*);;Variante (s) : Woodbridgeois (1982).;Commentaire : Cette localité étant connue entre 1887 et 1986 comme la municipalité du canton de Woodbridge, cela explique la variante gentiléenne. Quant à l'appellation collective actuelle, elle met à profit, en partie, le prénom de l'ancêtre Bruno Dionne et, en partie, le fait que les brûlots ou moustiques piqueurs se retrouvent en abondance sur le territoire municipal. Localement on désirait disposer d'une appellation originale palliant toute confusion avec les gens de Saint-Bruno au Lac-Saint-Jean, les Brunois, tout en illustrant avec humour une caractéristique de l'endroit.;Bibliographie : ANONYME (1993), « Gentilés de Saint-Bruno », dans Mémoires d'un canton : Saint-Bruno-de-Kamouraska, 1893-1993, Saint-Bruno-de-Kamouraska, Comité des fêtes du centenaire de Saint-Bruno, p. 297.;SaintBrunodeKamouraska
1023;Saint-Bruno-de-Montarville;Ville;Montarvillois, Montarvilloise (1981*) St.Brunoite (1983) (forme anglaise);;Variante (s) : Saint-Brunois.;Commentaire : La communauté anglophone semble s'identifier davantage à l'élément Saint-Bruno du nom de la municipalité alors que les francophones focalisent leur intérêt sur Montarville, ce qui paraît étonnant de prime abord, car l'hagiotoponymie a toujours été considérée comme une manifestation spécifique de l'esprit religieux de jadis des Québécois de langue française.;;SaintBrunodeMontarville
1024;Saint-Cajetan-d'Armagh;Municipalité de paroisse;Voir Armagh (Municipalité);;;;;SaintCajetandArmagh
1025;Saint-Calixte;Municipalité;Calixtien, Calixtienne (1978*);;;;;SaintCalixte
1026;Saint-Camille;Municipalité de canton;Camillois, Camilloise (1985*);[KA-MIY-OI/OIZ];;;;SaintCamille
1027;Saint-Camille-de-Lellis;Municipalité de paroisse;Camillois, Camilloise (1986*);[KA-MIY-OI/OIZ];Variante (s) : Camilien (1924).;Commentaire : La graphie de la variante peut s'expliquer par la prononciation fréquente de Camille [KA-MIL] au lieu de [KA-MIY], en particulier au début du siècle.;;SaintCamilledeLellis
1028;Saint-Canut;Village (de la ville de Mirabel);Canut, Canuse (1988);;;Commentaire : Le gentilé évoque la personne qui uvre dans les industries lyonnaises de la soie, canne désignant une bobine de fil. Le féminin paraît rare. Célèbre pour ses insurrections soulevées en 1831 et 1834, la corporation des canuts a lutté pour obtenir l'établissement d'un tarif minimal des salaires pour ses membres. Fiers héritiers de ces tisserands, les Canuts québécois par « leur minutie et leur doigté, leur courage, leur fougue, leur attachement au terroir, leur sérieux et leur conscience ont fait qu'une paroisse est née depuis plus de 125 ans pour le bien-être de ses adeptes, pour la préservation de leur foi et de leurs traditions, de leurs us et coutumes. » (Saint-Canut 1887-1987, Montréal, Les Éditions Louis Bilodeau et Fils, 1988, p. 10).;;SaintCanut
1029;Saint-Casimir;Municipalité;Casimirien, Casimirienne (1845*);;Variante (s) : Saint-Casimirien.;Commentaire : La nouvelle municipalité de Saint-Casimir est issur du regroupement de la municipalité de Saint-Casimir et de la municipalité de la paroisse de Saint-Casimir, le 21 juin 2000.;;SaintCasimir
1030;Saint-Casimir;Municipalité de paroisse;Voir Saint-Casimir (Municipalité);;;;;SaintCasimir
1031;Saint-Célestin;Municipalité de village;Annavillois, Annavilloise (1986*);;;Commentaire : La municipalité du village d'Annaville est devenue la municipalité du village de Saint-Célestin, le 2 février 1991.;;SaintCélestin
1032;Saint-Célestin;Municipalité;Saint-Célestinois, Saint-Célestinoise (1986*);;;;;SaintCélestin
1033;Saint-Césaire;Ville;Césairois, Césairoise (1986*);;"Variante (s) : Césairien; Césarien (1904).";Commentaire : La nouvelle ville de Saint-Césaire est issue du regroupement de la ville de Saint-Césaire et de la municipalité de la paroisse de Saint-Césaire, le 26 janvier 2000. La variante Césarien est issue de la dénomination latine Ca(e)sarius, en français Césaire, référant à l'évêque d'Arles du VIe s. qui a donné son nom à la municipalité. Le gentilé Césairois avait été adopté par l'ancienne municipalité de la paroisse de Saint-Césaire.;;SaintCésaire
1729;Saint-Césaire;Mmunicipalité de paroisse;Voir Saint-Césaire (Ville);;;;;Saintcésaire
1034;Saint-Charles;Municipalité de village (de la région de la Chaudière-Appalaches);Voir Saint-Charles-de-Bellechasse (Municipalité);;;;;SaintCharles
1035;Saint-Charles;Municipalité de paroisse (de la région de la Montérégie);Voir Saint-Charles-sur-Richelieu (Municipalité);;;;;SaintCharles
1037;Saint-Charles-Borromée;Ville (de la région de Lanaudière);Charlois, Charloise (1985*);;Variante (s) : Saint-Charlois (1983).;;Bibliographie : BOURASSA, Louise (1986), « Les « Charlois » de Saint-Charles-Borromée », dans Le Joliette Journal, Joliette, 26 février, p. 7.;SAINTCHARLESBORROMEE
1036;Saint-Charles-Borromée;Ancienne municipalité de paroisse (de la région de la Chaudière-Appalaches);Charléen, Charléenne (1986*);;;Commentaire : La municipalité de la paroisse de Saint-Charles-Borromée, dont le nom s'écrivait « Saint-Charles-Boromé » jusqu'en 1987, n'existe plus depuis le 22 décembre 1993, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Saint-Charles-de-Bellechasse. L'appellation « Saint-Charles-Borromée » (Municipalité de paroisse) n'a plus de statut officiel à la Commission de toponymie.;;SaintCharlesBorromée
1038;Saint-Charles-de-Bellechasse;Municipalité;Charléen, Charléenne (1986*);;;Commentaire : La municipalité de Saint-Charles-de-Bellechasse est issue du regroupement de la municipalité du village de Saint-Charles et de la municipalité de la paroisse de Saint-Charles-Borromée, le 22 décembre 1993.;;SaintCharlesdeBellechasse
1039;Saint-Charles-de-Bourget;Municipalité;Saint-Charlois, Saint-Charloise (1978*);;;;;SaintCharlesdeBourget
1040;Saint-Charles-de-Limoilou;Ancienne paroisse  (de la ville de Québec);Limoilousien, Limoilousienne (1971);;;Commentaire : La finale vocalique du constituant dont a été dérivé le gentilé appelle une consonne de passage, ici s. Cette paroisse n'existe plus depuis 2002, à la suite d'un regroupement. Elle fait maintenant partie de la paroisse de Notre-Dame-de-Rocamadour.;;SaintCharlesdeLimoilou
1041;Saint-Charles-de-Mandeville;Municipalité;Voir Mandeville (Municipalité);;;;;SaintCharlesdeMandeville
1042;Saint-Charles-Garnier;Municipalité de paroisse;Charlois, Charloise (1998*);;;;;SaintCharlesGarnier
1043;Saint-Charles-sur-Richelieu;Municipalité;Charlerivain, Charlerivaine (1986*);;Variante (s) : Saint-Charlois (1982).;Commentaire : La municipalité de Saint-Charles-sur-Richelieu est issue du regroupement de la municipalité de la paroisse de Saint-Charles et de la municipalité du village de Saint-Charles-sur-Richelieu, le 22 mars 1995.;Bibliographie : C(HOINIÈRE), G(inette) (1986), « Concours ouvert aux enfants de Saint-Charles-sur-Richelieu », dans L'Oeil régional, Belil, 26 mars, p. 8;SaintCharlessurRichelieu
1731;Saint-Charles-sur-Richelieu;Municipalité de village;Voir Saint-Charles-sur-Richelieu (Municipalité);;;;;Saintcharlessurrichelieu
1044;Saint-Christophe-d'Arthabaska;Municipalité de paroisse;Christophien, Christophienne (1986*);;;;Bibliographie : D(UCHESNEAU), M(arcel) (1986), « Réésidents-es (sic) de Saint-Christophe d'Arthabaska, vous êtes des « Christophiens-nes », dans L'Union des Cantons de l'Est, Victoriaville, 11 mars, p. 41.;SaintChristophedArthabaska
1045;Saint-Chrysostome;Municipalité ;Chrysostomien, Chrysostomienne (1986*);;;Commentaire : La municipalité de Saint-Chrysostome est issue du regroupement de la municipalité du village de Saint-Chrysostome et de la municipalité de la paroisse de Saint-Jean-Chrysostome, le 29 septembre 1999.;;SaintChrysostome
1732;Saint-Chrysostome;Municipalité de village;Voir Saint-Chrysostome (Municipalité);;;;;Saintchrysostome
1046;Saint-Claude;Municipalité;Claudien, Claudienne (1985*);;;;Bibliographie : ANONYME (1986), « Saint-Claude en bref », dans L'Étincelle, Windsor, 18 mars, p. 12.;SaintClaude
1047;Saint-Clément;Paroisse (de la municipalité de Saint-Clément);Clémentin, Clémentine (1987);;;;;SAINTCLEMENT
1048;Saint-Clément;Municipalité;Clémentois, Clémentoise (1981);;;;;SAINTCLEMENT
1049;Saint-Clément-de-Tourville;Paroisse (de la municipalité de Tourville);Tourvillien, Tourvillienne (1993) ;;;Commentaire : Bien que le nom officiel de la paroisse soit Saint-Clément, on la désigne couramment comme Saint-Clément de Tourville localement, pour pallier toute confusion avec Saint-Clément, dans la région de Rivière-du-Loup. L'élément Tourville provient de la dénomination du bureau de poste.;;SaintClémentdeTourville
1733;Saint-Cléophas;Municipalité de paroisse (de la région de Lanaudière);Voir Saint-Cléophas-de-Brandon (Municipalité);;;;;Saintcleophas
1050;Saint-Cléophas;Municipalité de paroisse (de la région du Bas-Saint-Laurent);Saint-Cléophassien, Saint-Cléophassienne (1986*);;;;Bibliographie : ST-AMAND, Alain (1986), « Au Conseil municipal de St-Cléophas. Gentilé », dans L'Avant-Poste Gaspésien, Amqui, 19 février, p. 45.;SaintCléophas
1051;Saint-Cléophas-de-Brandon;Municipalité;Cléophassois, Cléophassoise (1986*);;Variante (s) : Cléophasien (1985).;Commentaire : La municipalité de la paroisse de Saint-Cléophas est devenue la municipalité de Saint-Cléophas-de-Brandon, le 18 octobre 1997.;;SaintCléophasdeBrandon
1052;Saint-Clet;Municipalité;Clétois, Clétoise (1980*);;;;;SaintClet
1053;Saint-Cur-de-Marie;Secteur (de la ville d'Alma);Mistoukois, Mistoukoise (1978);;"Variante (s) : Mistookois; Mistoukien (1919).";Commentaire : Ce secteur portait auparavant le nom de Mistook (plusieurs variantes existent : Mistouk, Mistouc, Mistooc, etc.)., du nom de la rivière Mistouc qui coule tout près de lui.;Bibliographie : G(ARON), C(laude) (1984), « Un nouveau nom pour la municipalité de Delisle? » dans Le Lac-Saint-Jean, Alma, 4 avril. ;SaintCurdeMarie
1054;Saint-Colomban;Ville;Colombanois, Colombanoise (1980*);;Variante (s) : Colombien.;Commentaire : La municipalité de la paroisse de Saint-Colomban est devenue la municipalité de Saint-Colomban, le 17 janvier 2009. Le 13 novembre 2010, cette dernière devenait la ville de Saint-Colomban.;Bibliographie : ANONYME (1986), « Colombanois, Colombanoise... » dans Le Mirabel, Saint-Jérôme, 19 février, p. 11.;SaintColomban
1055;Saint-Côme;Municipalité;Cômier, Cômière (1972);;Variante (s) : Cômien.;;;SaintCôme
2934;Saint-CômeLinière;Municipalité;Cômelinois, Cômelinoise (2017*);;;;;SAINT-CÖME-LINIÈRE
1056;Saint-Constant;Ville;Constantin, Constantine (1980*);;;;Bibliographie : LABERGE, Normand (1986), « De villes en villes. Les Constantins et les Constantines » dans Le Reflet, Candiac, 19 mars, p. 14.;SaintConstant
1057;Saint-Cuthbert;Municipalité;Saint-Cuthbertois, Saint-Cuthbertoise (1980);;"Variante (s) : Cuthbérois; Cuthbertain; Cuthbertois; Saint-Cuthbertais.";Commentaire : La municipalité de Saint-Cuthbert est issue du regroupement des municipalités des paroisses de Saint-Cuthbert et de Saint-Viateur, le 7 janvier 1998.;;SaintCuthbert
1734;Saint-Cuthbert;Municipalité de paroisse;Voir Saint-Cuthbert (Municipalité);;;;;Saintcuthbert
1058;Saint-Cyprien;Municipalité (de la région du Bas-Saint-Laurent);Cyprianais, Cyprianaise (2014*);;;;;SaintCyprien
1863;Saint-Cyprien-de-Napierville;Municipalité;Cypriote (2011*);;;;;SaintCypriendeNapierville
1059;Saint-Cyrille-de-Wendover;Municipalité;Cyrillois, Cyrilloise (1985*);;;;;SaintCyrilledeWendover
1060;Saint-Damase;Municipalité de village;Voir Saint-Damase (Municipalité);;;;;SaintDamase
1061;Saint-Damase;Municipalité de paroisse;Voir Saint-Damase (Municipalité);;;;;SaintDamase
1735;Saint-Damase;Municipalité;Damasien, Damasienne (1984);;Variante (s) : St-Damasien (1964).;Commentaire : La municipalité de Saint-Damase est issue du regroupement de la municipalité du village de Saint-Damase et de la municipalité de la paroisse de Saint-Damase, le 5 octobre 2001.;;Saintdamase
1062;Saint-Damase-de-L'Islet;Municipalité;Damasien, Damasienne (1978);;;;;SaintDamasedeLIslet
1063;Saint-Damien;Municipalité de paroisse;Damiennois, Damiennoise (1986*);;Variante (s) : Damien (1985).;;Bibliographie : BELLEHUMEUR, Alain (1986), « Ça se dit dans la région ... » dans L'Écho de Louiseville, Louiseville, 19 mars, p. 11.;SaintDamien
1064;Saint-Damien-de-Buckland;Municipalité de paroisse;Damien, Damienne (1982);;;;;SaintDamiendeBuckland
2928;Saint-Daniel;Secteur (de la municipalité d'Adstock);Daniellois, Danielloise (2016*);;;;;SAINTDANIEL
1065;Saint-David;Municipalité ;Davidien, Davidienne (1986*);;Variante (s) : Davidois (1978).;Commentaire : La municipalité de la paroisse de Saint-David est devenue la municipalité de Saint-David, le 4 avril 2009.;;SaintDavid
1066;Saint-David-de-Falardeau;Municipalité;Falardien, Falardienne (1969);;;Commentaire : Le Reflet falardien, journal de la jeune Chambre de commerce, a paru au début des années 1970.;;SaintDaviddeFalardeau
1067;Saint-David-de-l'Auberivière;Secteur (de la ville de Lévis);Davidois, Davidois (1983*);;Variante (s) : Saint-Davidois (1976).;;;SaintDaviddelAuberivière
1736;Saint-Denis;Municipalité de village;Voir Saint-Denis-sur-Richelieu (Municipalité);;;;;SaintDenis
1068;Saint-Denis, Rue;Rue (de la ville de Montréal);Dionysien, Dionysienne (1957) ;;;Commentaire : Le gentilé est formé à partir de l'équivalent latin de Denis, Dionysius, lequel remonte au grec Dionysos.;;SaintDenis
1866;Saint-Denis-De La Bouteillerie;Municipalité;Denisien, Denisienne (2011*);;;Commentaire : La municipalité de la paroisse de Saint-Denis est devenue la municipalité de Saint-Denis-De La Bouteillerie, le 16 novembre 2013.;;SaintDenisDeLaBouteillerie
1069;Saint-Denis-de-Brompton;Municipalité;Saint-Denisien, Saint-Denisienne (1986*);;;Commentaire : La municipalité de la paroisse de Saint-Denis-de-Brompton est devenue la municipalité de Saint-Denis-de-Brompton, le 31 octobre 2012.;;SaintDenisdeBrompton
1070;Saint-Denis-sur-Richelieu;Municipalité;Dionysien, Dionysienne (1943*);;"Variante (s) : Dionisien; Dyanisien; Dyonésien; Dyonisien (1905). ";Commentaire : La municipalité de Saint-Denis-sur-Richelieu est issue du regroupement de la municipalité de la paroisse de Saint-Denis et de la municipalité du village de Saint-Denis, le 24 décembre 1997. Issu de la dérivation latine, le gentilé Dionysien provient de Dionysius, forme latine de Denis, laquelle remonte au grec Dionysos. La teneur savante du dérivé a probablement joué un rôle non négligeable dans la multiplication des variantes. Le nom antérieur du village était Saint-Denis-sur-Richelieu. ;Bibliographie : ALLAIRE, J.-B.-A. (1905), Histoire de la paroisse de Saint-Denis-sur-Richelieu (Canada), Saint-Hyacinthe, Imprimerie du Courrier de Saint-Hyacinthe, p. 3 et 5 en particulier.;SaintDenissurRichelieu
1071;Saint-Denys;Ancienne paroisse (de la ville de Québec);Dionysien, Dionysienne (1987) ;;;Commentaire : La paroisse de Saint-Denys n'existe plus depuis 2002, par suite d'un regroupement. Elle fait maintenant partie de la paroisse de Notre-Dame-de-Foy.;;SaintDenys
1072;Saint-Didace;Municipalité de paroisse;Didacien, Didacienne (1957*);;;;;SaintDidace
1073;Saint-Dominique;Municipalité;Dominiquois, Dominiquoise (1986*);;;;;SaintDominique
1074;Saint-Dominique-du-Rosaire;Municipalité;Dominiquois, Dominiquoise (1994*);;;;;SaintDominiqueduRosaire
1075;Saint-Donat;Municipalité (de la région de Lanaudière);Donatien, Donatienne (1972);[DO-NA-SYIN/SYENNE];;Commentaire : On a baptisé une piste de ski de randonnée locale La Donatienne.;;SaintDonat
1077;Saint-Dunstan-du-Lac-Beauport;Municipalité de paroisse;Saint-Dunstannien, Saint-Dunstannienne (1978) ;;;Commentaire : Voir Lac-Beauport (Municipalité);;SaintDunstanduLacBeauport
1078;Sainte-Adèle;Ville;Adélois, Adéloise (1978*);;"Variante (s) : Adélinois (1971); Adellois; Adelois; Adèlois.";;;SainteAdèle
1737;Sainte-Agathe;Municipalité de village;Voir Sainte-Agathe-de-Lotbinière (Municipalité);;;;;Sainteagathe
1738;Sainte-Agathe;Municipalité de paroisse;Voir Sainte-Agathe-de-Lotbinière (Municipalité);;;;;Sainteagathe
1079;Sainte-Agathe-de-Lotbinière;Municipalité;Agathois, Agathoise (1986*);;;Commentaire : La municipalité de Sainte-Agathe-de-Lotbinière est issue du regroupement de la municipalité du village de Sainte-Agathe et de la municipalité de la paroisse de Sainte-Agathe, le 3 février 1999.;;SainteAgathedeLotbinière
1080;Sainte-Agathe-des-Monts;Ville;Agathois, Agathoise (1978*);;;;;SainteAgathedesMonts
1081;Sainte-Agathe-Sud;Ancienne municipalité de village;Sudagathois, Sudagathoise (1986*) ;;;Commentaire : La municipalité du village de Sainte-Agathe-Sud n'existe plus depuis le 1er janvier 1999 par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Sainte-Agathe-des-Monts. L'appellation « Sainte-Agathe-Sud » n'a plus de statut officiel à la Commission de toponymie.;Bibliographie : BUSQUE, Éric (1986), « Les sudagathois vous connaissez? », dans Le Sommet, Sainte-Agathe-des-Monts, 18 février, p. 2.;SainteAgatheSud
1740;Sainte-Angèle;Municipalité de paroisse;Voir Sainte-Angèle-de-Prémont (Municipalité);;;;;Sainteangèle
1739;Sainte-Angèle-de-Mérici;Municipalité de village;Voir Sainte-Angèle-de-Mérici (Municipalité);;;;;Sainteangèledemérici
1082;Sainte-Angèle-de-Mérici;Municipalité;Méricien, Méricienne (1986*);;;Commentaire : La municipalité de Sainte-Angèle-de-Mérici est issue du regroupement de la municipalité du village de Sainte-Angèle-de-Mérici et de la municipalité de la paroisse de Sainte-Angèle-de-Mérici, le 26 avril 1989.;Bibliographie : ANONYME (1986), « Échos municipaux de la Mitis. Sainte-Angèle Village », dans L'Information régionale, Mont-Joli, 11 mars, p. B-1.;SainteAngèledeMérici
1083;Sainte-Angèle-de-Mérici;Municipalité de paroisse;Voir Sainte-Angèle-de-Mérici (Municipalité);;;;;SainteAngèledeMérici
1084;Sainte-Angèle-de-Monnoir;Municipalité ;Angèloirien, Angèloirienne (1986*);;;Commentaire : La municipalité de la paroisse de Sainte-Angèle-de-Monnoir est devenue la municipalité de Sainte-Angèle-de-Monnoir, le 18 octobre 2008.;;SainteAngèledeMonnoir
1085;Sainte-Angèle-de-Prémont;Municipalité;Prémontois, Prémontoise (1986*);;;Commentaire : La municipalité de la paroisse de Sainte-Angèle est devenue la municipalité de Sainte-Angèle-de-Prémont en 1988.;;SainteAngèledePrémont
1086;Sainte-Angélique;Secteur (de la municipalité de Papineauville);Sainte-Angéliquois, Sainte-Angéliquoise (1986*);;;"Commentaire : La municipalité de la paroisse de Sainte-Angélique n'existe plus depuis le 29 novembre 2000, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Papineauville. Le nom « Sainte-Angélique » a toutefois été préservé; il identifie un secteur de cette municipalité.";;SainteAngélique
1087;Sainte-Anne-de-Beaupré;Ville;Sainte-Annois, Sainte-Annoise (2000*);;;;;SainteAnnedeBeaupré
1088;Sainte-Anne-de-Bellevue;Ville;Annabellevois, Annabellevoise (1986*);;;Commentaire : Le constituant du gentilé Anna provient de la transposition en latin d'Anne, tandis que la seconde partie de l'appellation met Bellevue à contribution.;Bibliographie : D'AOUST, Guy (1986), « Connaissez-vous vos voisins Annabellevois? » dans L'Écho de Vaudreuil-Soulanges, Dorion, 22 avril, p. 5.;SainteAnnedeBellevue
1089;Sainte-Anne-de-la-Pérade;Municipalité;Péradien, Péradienne (1930*);;;Commentaire : La municipalité de Sainte-Anne-de-la-Pérade est issue du regroupement de la municipalité de la paroisse de Sainte-Anne-de-la-Pérade et de la municipalité du village de La Pérade, le 10 mai 1989.;;SainteAnnedelaPérade
1741;Sainte-Anne-de-la-Pérade;Municipalité de paroisse;Voir Sainte-Anne-de-la-Pérade (Municipalité);;;;;Sainteannedelapérade
1090;Sainte-Anne-de-la-Pocatière;Municipalité de paroisse;Pocatiérain, Pocatiéraine (1951*);;Variante (s) : Pocatérien.;;;SainteAnnedelaPocatière
1091;Sainte-Anne-de-la-Pointe-au-Père;Ancienne municipalité de paroisse;Voir Pointe-au-Père (Secteur) ;;;Commentaire : La municipalité de la paroisse de Sainte-Anne-de-la-Pointe-au-Père est devenue la ville de Pointe-au-Père en 1988. Cette dernière n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Rimouski. L'appellation « Sainte-Anne-de-la-Pointe-au-Père » (Municipalité) n'a plus de statut officiel à la Commission de toponymie.;;SainteAnnedelaPointeauPère
1092;Sainte-Anne-de-la-Rochelle;Municipalité;Larochellois, Larochelloise (1986*);;;;;SainteAnnedelaRochelle
1093;Sainte-Anne-de-Portneuf;Municipalité;Voir Portneuf-sur-Mer (Municipalité);;;;;SainteAnnedePortneuf
1859;Sainte-Anne-de-Sabrevois;Municipalité de paroisse;Sabrevoisien, Sabrevoisienne (2011*);;;;;Sainteannedesabrevois
1822;Sainte-Anne-des-Lacs;Municipalité de paroisse;Annelacois, Annelacoise (2007*);;;;;sainteannedeslacs
1094;Sainte-Anne-des-Monts;Ville;Annemontois, Annemontoise (1980*);;Variante (s) : Annemontais.;;;SainteAnnedesMonts
1095;Sainte-Anne-de-Sorel;Municipalité ;Sainte-Annois, Sainte-Annoise (2008*);;;Commentaire : La municipalité de la paroisse de Sainte-Anne-de-Sorel est devenue la municipalité de Sainte-Anne-de-Sorel, le 27 septembre 2008.;;SainteAnnedeSorel
1861;Sainte-Anne-des-Plaines;Ville;Anneplainois, Anneplainoise (2011*);;;;;Sainteannedesplaines
1096;Sainte-Anne-du-Lac;Secteur (de la municipalité d'Adstock et de la région de la Chaudière-Appalaches);Lacannois, Lacannoise (1999*);;;"Commentaire : La municipalité de Sainte-Anne-du-Lac n'existe plus depuis le 24 octobre 2001, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité d'Astock. Le nom « Sainte-Anne-du-Lac » a toutefois été préservé; il identifie un secteur de cette municipalité.";;SainteAnneduLac
1097;Sainte-Anne-du-Lac;Municipalité (de la région des Laurentides);Tapanois, Tapanoise (2014*);;;;;SainteAnneduLac
1098;Sainte-Anne-du-Sault;Ancienne municipalité;Saintannois, Saintannoise (2003*);;;"Commentaire : La municipalité de Sainte-Anne-du-Sault n'existe plus depuis le 9 mars 2016, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Daveluyville. Le nom « Sainte-Anne-du-Sault » a toutefois été préservé; il identifie un secteur de cette ville. ";;SainteAnneduSault
1099;Sainte-Anne-d'Yamachiche;Municipalité de paroisse;Voir Yamachiche (Municipalité);;;;;SainteAnnedYamachiche
1100;Sainte-Apolline-de-Patton;Municipalité de paroisse;Apollinois, Apollinoise (1986*);;;;;SainteApollinedePatton
1101;Sainte-Aurélie;Municipalité;Aurélien, Aurélienne (1986*);;;;;SainteAurélie
1102;Sainte-Barbe;Municipalité ;Barberivain, Barberivaine (1997*);;;Commentaire : La municipalité de la paroisse de Sainte-Barbe est devenue la municipalité de Sainte-Barbe, le 4 avril 2009.;;SainteBarbe
1103;Sainte-Béatrix;Municipalité;Béatrixois, Béatrixoise (1994*);;;;;SainteBéatrix
1104;Sainte-Blandine;Secteur (de la ville de Rimouski);Blandinois, Blandinoise (1986*);;;"Commentaire : La municipalité de la paroisse de Sainte-Blandine n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Rimouski. Le nom « Sainte-Blandine » a toutefois été préservé; il identifie un secteur de cette ville.";;SainteBlandine
1105;Sainte-Brigide;Paroisse (de la ville de Montréal);Brigidain, Brigidaine (1985);;;;;SainteBrigide
1106;Sainte-Brigide-d'Iberville;Municipalité;Brigidien, Brigidienne (1986*);;;;;SainteBrigidedIberville
1107;Sainte-Brigitte-de-Laval;Ville;Lavalois, Lavaloise (1968*);;Variante (s) : Lavallois. ;Commentaire : La municipalité de Sainte-Brigitte-de-Laval est devenue la ville de Sainte-Brigitte-de-Laval, le 8 décembre 2012. Un journal local a déjà porté le titre de Le Lavalois.;;SainteBrigittedeLaval
1108;Sainte-Brigitte-des-Saults;Municipalité de paroisse;Brigittois, Brigittoise (1982*);;;;;SainteBrigittedesSaults
1109;Sainte-Catherine;Ville;Sainte-Catherinois, Sainte-Catherinoise (1991*);;Variante (s) : Catherinois (1987).;Commentaire : Sainte-Catherinois, gentilé davantage en usage et plus près formellement de la dénomination de la ville, a été préféré, en 1991, à Catherinois, adopté par le précédent conseil municipal. ;;SainteCatherine
1110;Sainte-Catherine-de-Hatley;Municipalité;Catherinois, Catherinoise (1986*);;;;;SainteCatherinedeHatley
1111;Sainte-Catherine-de-la-Jacques-Cartier;Ville;Catherinois, Catherinoise (1981*);;Variante (s) : Catherinien. ;Commentaire : Le journal municipal se nomme Le Catherinois et existe depuis 1981. ;Bibliographie : PELLETIER, Robert (1984), « La vie municipale. Ne dites plus... », dans Le Journal de Québec, Québec, 20 décembre, p. 7.;SainteCatherinedelaJacquesCartier
1112;Sainte-Cécile-de-Lévrard;Municipalité de paroisse;Cécilien, Cécilienne (1986*);;;;;SainteCéciledeLévrard
1113;Sainte-Cécile-de-Masham;Village (de la municipalité de La Pêche);Mashamois, Mashamoise (1971) ;;;;;SainteCéciledeMasham
1114;Sainte-Cécile-de-Milton;Municipalité ;Miltonnais, Miltonnaise (1974*);;;Commentaire : La municipalité de du canton de Sainte-Cécile-de-Milton est devenue la municipalité de Sainte-Cécile-de-Milton, le 4 avril 2009.;;SainteCéciledeMilton
