point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"RDP-320","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","Parc de la Merci","parc de la Merci, boul. Gouin O. et rue de Salaberry","Q","Q","RDP-320   Parc de la Merci",2024-07-08T12:10:53,,"         24.5",91,7.8,"=",200,0,0,1.9,1.9,-2,9,"45.5476895199779","-73.6892178650375",290025.0661,5045325.8528
"RDP-330","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","Parc Nicolas-Viel","parc Nicolas-Viel, inters. boul. Saint-Laurent et rue Somerville","Q","Q","RDP-330   Parc Nicolas-Viel",2024-07-08T12:18:16,,"         24.4",91,7.8,"=",200,0,0,1.9,1.9,-2,9,"45.5521686233921","-73.6769465038043",290984.3634,5045821.4362
"RDP-35","rivière des Prairies - côté Montréal","Senneville","Baie Forget","baie Forget, ch. Senneville, à l'ouest de l'av. Phillips","Q","Q","RDP-35   Baie Forget",2024-07-08T08:30:55,,"         23.8",95,7.8,"=",13,0,0,1.9,1.9,-2,9,"45.4434664257158","-73.9580747490846",268965.5419,5033828.1614
"RDP-350","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","Parc Gouin (Sophie-Barrat) ","parc Gouin (Sophie-Barat), av. saint-Charles et av. Park Stanley","Q","Q","RDP-350   Parc Gouin (Sophie-Barrat) ",2024-07-08T12:28:08,,"         24.4",91,7.7,"=",26,0,0,1.9,1.9,-2,9,"45.5619500162983","-73.6695224264363",291566.317,5046907.2063
"RDP-360","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","P-n de l'Île-de-la-Visitation (pont)","p-n de l'Île-de-la-Visitation, pont piétonnier, boul. Gouin E. et rue de Lille ","Q","Q","RDP-360   P-n de l'Île-de-la-Visitation (pont)",2024-07-08T12:40:35,,"         25.6",93,7.9,"=",170,0,0,1.9,1.9,-2,9,"45.5807147023575","-73.6573828410263",292518.0782,5048990.6297
"RDP-380","rivière des Prairies - côté Montréal","Montréal-Nord","Parc Aimé-Léonard","parc Aimé-Léonard, inters. boul. Albert-Brosseau et rue Savard","Q","Q","RDP-380   Parc Aimé-Léonard",2024-07-08T13:17:59,,"         25.2",94,7.9,"=",110,0,0,1.9,1.9,-2,9,"45.6030378247511","-73.6429858470291",293646.0208,5051469.3445
"RDP-400","rivière des Prairies - côté Montréal","Montréal-Nord","Avenue Robert","En aval du parc Fortin, inters. boul. Gouin E. et av. Robert","Q","Q","RDP-400   Avenue Robert",2024-07-08T13:32:52,,"         25.2",94,7.9,"=",48,0,0,1.9,1.9,-2,9,"45.6223941200732","-73.6303808262282",294632.806,5053618.7845
"RDP-420","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Ernest-Rouleau","parc Rouleau-Ernest, boul. Gouin E., à l'ouest du pont Olivier-Charbonneau (aut. 25)","Q","Q","RDP-420   Parc Ernest-Rouleau",2024-07-08T13:41:57,,"         26.0",113,8.2,"=",220,0,0,1.9,1.9,-2,9,"45.6319599328653","-73.6161284994701",295745.7532,5054680.1523
"RDP-440","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Parc André-Corbeil-Dit-Tranchemontagne","parc André-Corbeil-dit-Tranchemontagne, inters. boul. Gouin E. et 28e av.","Q","Q","RDP-440   Parc André-Corbeil-Dit-Tranchemontagne",2024-07-08T13:51:33,,"         25.5",95,7.9,"=",360,0,0,1.9,1.9,-2,9,"45.6451708997868","-73.5966475699474",297266.4028,5056146.3124
"RDP-460","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Moulin-du-Rapide","parc Moulin-du-Rapide, inters. rue de Clichy et 58e av.","Q","Q","RDP-460   Parc du Moulin-du-Rapide",2024-07-08T14:01:56,,"         25.4",94,7.9,"=",230,0,0,1.9,1.9,-2,9,"45.6605972621844","-73.5730597410155",299106.6176,5057858.7498
"RDP-480","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Cheval-Blanc","parc du Cheval-Blanc, boul. Gouin E., à l'est de la 68e av.","Q","Q","RDP-480   Parc du Cheval-Blanc",2024-07-08T14:08:42,,"         25.2",122,8,"=",310,0,0,1.9,1.9,-2,9,"45.6633929381525","-73.5628397035415",299903.286,5058168.7678
"RDP-490","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Parc des Cageux","parc des Cageux, inters. boul. Gouin E. et 94e av.","Q","Q","RDP-490   Parc des Cageux",2024-07-08T14:20:41,,"         26.1",102,8.2,"=",520,0,0,1.9,1.9,-2,9,"45.6782795097002","-73.5350193452133",302071.8798,5059821.8445
"RDP-520","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Pont Charles-De Gaulle (aut. 40)","boul. Gouin E., sous le pont Charles-De Gaulle (aut. 40)","Q","Q","RDP-520   Pont Charles-De Gaulle (aut. 40)",2024-07-08T14:28:15,,"         26.2",102,8.2,"=",110,0,0,1.9,1.9,-2,9,"45.6991534549719","-73.5086135186317",304129.2286,5062141.0917
"RDP-540","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Gouin (Haynes)","parc Gouin (Haynes), inters. boul. Gouin E. et 133e av.","Q","Q","RDP-540   Parc Gouin (Haynes)",2024-07-08T14:34:17,,"         25.2",93,7.9,"=",54,0,0,1.9,1.9,-2,9,"45.6975057360274","-73.4981905887888",304940.9107,5061957.9391
"RDP-560","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Bout-de-l'île (rivière)","parc du Bout-de-l'Île (côté rivière), extrémité N. de la rue Bureau","Q","Q","RDP-560   Parc du Bout-de-l'île (rivière)",2024-07-08T14:43:27,,"         25.6",96,8,"=",190,0,0,1.9,1.9,-2,9,"45.7023898282762","-73.4786971640707",306458.8469,5062500.9486
"RDP-80","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Parc Hélène-Legault","parc Hélène-Legault, inters. rue des Cageux et rue Hélène","Q","Q","RDP-80   Parc Hélène-Legault",2024-07-08T09:05:17,,"         24.2",93,7.8,"=",54,0,0,1.9,1.9,-2,9,"45.4686422044555","-73.8885945952785",274414.3865,5036597.3177
"RDP-95","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Parc Julie-Dauth","parc Julie-Dauth, rue Julie","Q","Q","RDP-95   Parc Julie-Dauth",2024-07-08T09:12:42,,"         24.1",93,7.9,"=",60,0,0,1.9,1.9,-2,9,"45.4710475323768","-73.8834531024985",274817.6936,5036862.6904
"BLAP-0.5","Bassin de Laprairie","LaSalle","Parc Ranger","parc Ranger, inters. du boul. Lasalle et de la rue Lyette","Q","Q","BLAP-0.5   Parc Ranger",2024-07-10T08:17:41,,"         24.2",189,8,"=",31,0,0,0,0,1,9,"45.4283890155487","-73.6658646001039",291821.219,5032063.9311
"BLAP-1","Bassin de Laprairie","LaSalle","Parc de l'Aqueduc (La Bécane)","parc de l'Aqueduc (La Bécane), boul. Lasalle et 68e av. ","Q","Q","BLAP-1   Parc de l'Aqueduc (La Bécane)",2024-07-10T08:27:42,,"         24.1",205,8,"=",13,0,0,0,0,1,9,"45.4149906733371","-73.628600700233",294734.7108,5030569.6503
"BLAP-2.5","Bassin de Laprairie","LaSalle","Parc des Rapides (Tsse Serre)","parc des Rapides - Tsse Serre, inters. boul. Lasalle et boul. Bishop-Power","Q","Q","BLAP-2.5   Parc des Rapides (Tsse Serre)",2024-07-10T08:45:50,,"         24.3",213,8.2,"=",52,0,0,0,0,1,9,"45.4265587527464","-73.5951266254355",297356.172,5031851.555
"BLAP-2.7","Bassin de Laprairie","Verdun","Parc O'Reilley","parc de l'Honorable-Georges-O'Reilley, future plage, boul. Lasalle","Q","Q","BLAP-2.7   Parc O'Reilley",2024-07-10T08:55:18,,"         24.4",222,8.3,"=",56,0,0,0,0,1,9,"45.4407498635668","-73.5770394732579",298773.0346,5033427.0861
"BLAP-4","Bassin de Laprairie","Verdun","Parc Desmarchais (marina)","parc Desmarchais, marina de Verdun, inters. boul. Lasalle et boul. Desmarchais ","Q","Q","BLAP-4   Parc Desmarchais (marina)",2024-07-10T09:12:43,,"         24.2",220,8,"=",42,0,0,0,0,1,9,"45.4539704516771","-73.5637815233017",299811.3983,5034895.374
"BLAP-4.4","Bassin de Laprairie","Le Sud-Ouest","Canal du collecteur St-Pierre","Sur la pointe en amont du canal du collecteur St-Pierre","Q","Q","BLAP-4.4   Canal du collecteur St-Pierre",2024-07-10T09:34:46,,"         24.6",221,8.1,"=",27,0,0,0,0,1,9,"45.4698230843647","-73.5562848603583",300398.9751,5036656.6343
"BLAP-6","Bassin de Laprairie","Verdun","Parc Gewurz-Remer","Île-des-Soeurs, parc Gewurz-Remer, extrémité de la rue Jacques-Le Ber","Q","Q","BLAP-6   Parc Gewurz-Remer",2024-07-10T10:23:34,,"         24.2",227,8.2,"=",31,0,0,0,0,1,9,"45.4743487246048","-73.5413874866243",301564.0893,5037158.8604
"BLAP-8.5","Bassin de Laprairie","Ville-Marie","Parc Cité-du-Havre (Habitat 67)","parc Cité-du-Havre, la vague éternelle derrière Habitat 67, av. Pierre-Dupuy","Q","Q","BLAP-8.5   Parc Cité-du-Havre (Habitat 67)",2024-07-10T10:37:36,,"         24.1",240,8.2,"=",13,0,0,0,0,1,9,"45.5005281770633","-73.5428231616079",301453.3906,5040068.2467
"FSL-300","Fleuve Saint-Laurent","Mercier-Hochelaga-Maisonneuve","Parc de la Prom.-Bellerive (amont)","parc de la Promenade-Bellerive, inters. rue Bellerive et av. Mercier","Q","Q","FSL-300   Parc de la Prom.-Bellerive (amont)",2024-07-10T12:06:14,,"         24.0",254,8.2,"=",11,8.6,0,0,8.6,0,9,"45.5953023914654","-73.5079133271151",304182.6157,5050599.7735
"FSL-330","Fleuve Saint-Laurent","Montréal-Est","Parc de l'Hôtel-de-Ville","parc de l'Hôtel-de-Ville, inters. Avenue Broadway et rue Sainte-Julie","Q","Q","FSL-330   Parc de l'Hôtel-de-Ville",2024-07-10T12:29:40,,"         24.1",249,8.3,"=",11,8.6,0,0,8.6,0,9,"45.6293052105372","-73.4949136748119",305196.5867,5054378.5783
"FSL-360","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Marina Pointe-aux-Trembles","marina Pointe-aux-Trembles, inters. rue Notre-Dame E. et boul. du Tricentenaire","Q","Q","FSL-360   Marina Pointe-aux-Trembles",2024-07-10T12:44:54,,"         24.6",256,8.2,"=",68,8.6,0,0,8.6,0,9,"45.6493140952923","-73.4862348350444",305872.904,5056602.3084
"FSL-380","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Rampe de mise à l'eau (36e av.)","rampe de mise à l'eau, rue Notre-Dame E., entre la 36e av. et la 39e av.","Q","Q","FSL-380   Rampe de mise à l'eau (36e av.)",2024-07-10T12:51:46,,"         24.6",255,8.3,"=",40,8.6,0,0,8.6,0,9,"45.6587322474231","-73.4889325229544",305662.4924,5057648.9475
"FSL-425","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Marcel-Léger","parc Marcel-Léger, extrémité de la rue Françoise-Langlois","Q","Q","FSL-425   Parc Marcel-Léger",2024-07-10T13:08:51,,"         24.4",252,8.4,"=",96,39.5,0,0,39.5,0,9,"45.6769888816945","-73.4901806845972",305564.974,5059677.8624
"FSL-460","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Pierre-Payet (82 av.)","parc Pierre-Payet, inters. rue Bellerive et 82e av.","Q","Q","FSL-460   Parc Pierre-Payet (82 av.)",2024-07-10T13:28:09,,"         24.2",253,8.4,">",6000,39.5,0,0,39.5,0,9,"45.6886641772625","-73.4854110565968",305936.3156,5060975.4414
"FSL-490","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Future plage de l'Est","future plage de l'Est, inters. rue Bellerive et 94e av.","Q","Q","FSL-490   Future plage de l'Est",2024-07-10T13:35:56,,"         24.1",250,8.4,"=",120,39.5,0,0,39.5,0,9,"45.6974160812708","-73.4798329057915",306370.5462,5061948.1716
"FSL-500","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Bout-de-l'île (fleuve)","parc du Bout-de-l'Île (côté fleuve), extrémité N. de la rue Bureau","Q","Q","FSL-500   Parc du Bout-de-l'île (fleuve)",2024-07-10T13:42:07,,"         24.0",250,8.3,"=",92,39.5,0,0,39.5,0,9,"45.700650225823","-73.4782186947061",306496.1578,5062307.629
"BLAP-01","Bassin de Laprairie","Lachine","Canal de Lachine (pont Lafleur)","Canal de Lachine, inters. av. Dollard et rue de la Berge du Canal","Q","Q","BLAP-01   Canal de Lachine (pont Lafleur)",2024-07-09T11:23:30,,"         25.3",181,8.1,"=",15,0,0,0,0,1,9,"45.4414672937971","-73.6451203318245",293447.0651,5033514.171
"BLAP-02","Bassin de Laprairie","Le Sud-Ouest","Canal de Lachine (H2O adventures)","Canal de Lachine, inters. rue d'Argenson et rue St-Patrick","Q","Q","BLAP-02   Canal de Lachine (H2O adventures)",2024-07-09T11:43:12,,"         25.6",153,8.1,"=",5,0,0,0,0,1,9,"45.4790222960599","-73.5739640483429",299017.5452,5037680.0622
"LSL-0.5","Lac Saint-Louis","Lachine","Port de plaisance de Lachine","port de plaisance de Lachine, rampe de mise à l'eau, ch. des Iroquois","Q","Q","LSL-0.5   Port de plaisance de Lachine",2024-07-09T11:05:47,,"         25.9",178,8.6,"=",15,0,0,0,0,1,9,"45.4291699380414","-73.6739695048603",291187.204,5032152.0541
"LSL-1","Lac Saint-Louis","Lachine","Parc Monk","parc Monk, inters. boul. Saint-Joseph et la 7e av.","Q","Q","LSL-1   Parc Monk",2024-07-09T10:57:57,,"         26.8",160,9.1,"=",900,0,0,0,0,1,9,"45.4309144200054","-73.6712490870357",291400.4845,5032345.4599
"LSL-10","Lac Saint-Louis","Pointe-Claire","Parc Edgewater","parc Edgewater, inters. ch. du Bord-du-Lac et av. Bowling Green","Q","Q","LSL-10   Parc Edgewater",2024-07-09T09:28:36,,"         24.1",172,8.6,"=",7,0,0,0,0,1,9,"45.4305371204597","-73.818129114855",279907.58,5032338.4969
"LSL-10.5","Lac Saint-Louis","Beaconsfield","Yatch Club de Beaconsfield","Yatch Club de Beaconsfield, ch. Lakeshore, entre boul. le Beaconsfield et l'av. Old Church","Q","Q","LSL-10.5   Yatch Club de Beaconsfield",2024-07-09T09:18:18,,"         24.4",111,7.9,"=",23,0,0,0,0,1,9,"45.4255023315166","-73.8366653553449",278454.8463,5031784.8901
"LSL-11","Lac Saint-Louis","Beaconsfield","Parc St-James","parc Saint-James, inters. Ch. Lakeshore et av. Kirkwood","Q","Q","LSL-11   Parc St-James",2024-07-09T09:11:42,,"         24.3",112,8,"=",20,0,0,0,0,1,9,"45.4290026730771","-73.8427568704778",277979.8233,5032175.8928
"LSL-12","Lac Saint-Louis","Beaconsfield","Parc Centennial","parc Centennial, inters. boul. Beaconsfield et road Shore","Q","Q","LSL-12   Parc Centennial",2024-07-09T09:02:50,,"         24.1",119,7.9,"=",72,0,0,0,0,1,9,"45.423361061739","-73.8618644636909",276481.8643,5031555.4958
"LSL-19","Lac Saint-Louis","Sainte-Anne-de-Bellevue","Parc Kelso","parc Kelso, inters. rue Sainte-Anne et rue Perrault","Q","Q","LSL-19   Parc Kelso",2024-07-09T08:18:52,,"         24.1",90,7.7,"=",11,0,0,0,0,1,9,"45.4022502581518","-73.9460300021975",269882.3843,5029242.5574
"LSL-20","Lac Saint-Louis","Sainte-Anne-de-Bellevue","Écluse de Sainte-Anne","écluse de Sainte-Anne, rue Sainte-Anne, à l'est du pont Galipeault (aut. 20)","Q","Q","LSL-20   Écluse de Sainte-Anne",2024-07-09T08:11:39,,"         24.5",99,7.8,"=",66,0,0,0,0,1,9,"45.4040640665963","-73.954474000356",269222.4816,5029447.8222
"LSL-3","Lac Saint-Louis","Lachine","Parc Stoney Point","parc Stoney Point, inters. boul. Saint-Joseph et de la 46e av.","Q","Q","LSL-3   Parc Stoney Point",2024-07-09T10:35:38,,"         25.0",183,8.6,"=",52,0,0,0,0,1,9,"45.4356465420778","-73.7070809995692",288598.1434,5032877.9309
"LSL-4","Lac Saint-Louis","Lachine","Parc Summerlea","parc Summerlea, inters. du boul. St-Joseph et de la 53e av.","Q","Q","LSL-4   Parc Summerlea",2024-07-09T10:29:44,,"         24.8",199,8.4,"=",30,0,0,0,0,1,9,"45.4376194743099","-73.7156650077066",287927.1253,5033098.9465
"LSL-4.3","Lac Saint-Louis","Dorval","Parc du Millénaire","parc du Millénaire, cercle Keiller, à l'est de l'av. Sévigny","Q","Q","LSL-4.3   Parc du Millénaire",2024-07-09T10:23:32,,"         24.6",206,8.2,"=",40,0,0,0,0,1,9,"45.4384468372963","-73.7232630704361",287332.9348,5033192.513
"LSL-5.5","Lac Saint-Louis","Dorval","Traversier de l'île Dorval","embarcadère du traversier de l'Île Dorval, extrémité de l'av. Dorval","Q","Q","LSL-5.5   Traversier de l'île Dorval",2024-07-09T10:09:56,,"         24.6",200,8.2,"=",46,0,0,0,0,1,9,"45.4376373356841","-73.739355679223",286073.6562,5033106.1752
"LSL-7","Lac Saint-Louis","Dorval","Parc Baie de Valois","parc Baie de Valois, inters. ch. du Bord-du-Lac et av. Canary","Q","Q","LSL-7   Parc Baie de Valois",2024-07-09T09:52:57,,"         25.3",179,8.3,"=",280,0,0,0,0,1,9,"45.4422366753032","-73.7752338657564",283268.4232,5033626.2774
"LSL-9","Lac Saint-Louis","Pointe-Claire","Parc Stewart","parc Stewart, ch. du Bord-du-Lac, à l'ouest de la rue Stewart","Q","Q","LSL-9   Parc Stewart",2024-07-09T09:38:45,,"         24.0",175,8.2,"=",20,0,0,0,0,1,9,"45.433971140631","-73.8073810149152",280750.0373,5032716.846
"IBIZ-11.5","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","Terrasse Martin","extrémité de la terrasse Martin (segment ouest) ","Q","Q","IBIZ-11.5   Terrasse Martin",2024-07-11T09:18:15,,"         22.0",156,7.8,"=",280,1.8,76.9,0,78.7,0,9,"45.5077894266919","-73.9097512296839",272782.26,5040955.971
"IBIZ-14","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","P-n Cap-Saint-Jacques (Pnte-Théorêt)","p-n du Cap-Saint-Jacques, côté est de la pointe Théorêt","Q","Q","IBIZ-14   P-n Cap-Saint-Jacques (Pnte-Théorêt)",2024-07-11T09:38:41,,"         22.9",91,7.7,"=",50,1.8,76.9,0,78.7,0,9,"45.4696512803949","-73.8992736610209",273579.9091,5036713.5489
"IBIZ-15","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","Parc Terrasse-Sacré-Coeur","parc Terrasse-Sacré-Coeur, tsse Sacré-Coeur, entre les rues Roy et Paquin","Q","Q","IBIZ-15   Parc Terrasse-Sacré-Coeur",2024-07-11T09:48:00,,"         22.8",105,7.8,"=",320,1.8,76.9,0,78.7,0,9,"45.4803444127321","-73.8796408995944",275120.6515,5037894.4369
"IBIZ-4","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","Rue Emile","inters. rue Cherrier et rue Émile","Q","Q","IBIZ-4   Rue Emile",2024-07-11T08:51:47,,"         23.0",100,7.8,"=",76,1.8,76.9,0,78.7,0,9,"45.503471123684","-73.8617830844244",276528.3026,5040458.0733
"IBIZ-7","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","P-n Bois-de-l'Île-Bizard (sect. Les rapides)","p-n du Bois-de-l'Île-Bizard, sect. Les rapides, extrémité de la rue Patenaude","Q","Q","IBIZ-7   P-n Bois-de-l'Île-Bizard (sect. Les rapides)",2024-07-11T08:59:28,,"         22.7",95,7.8,"=",420,1.8,76.9,0,78.7,0,9,"45.5186085970379","-73.8639167409405",276369.1896,5042141.0632
"BLAP-3","Bassin de Laprairie","Verdun","Parc du Quai-de-La Tortue ","parc de Quai-de-La Tortue, quai de la Tortue, inters. boul. Lasalle et rue Brault","Q","Q","BLAP-3   Parc du Quai-de-La Tortue ",2024-07-02T14:03:52,,"         23.4",185,8,"=",38,0.8,0,0,0.8,0,8,"45.4473928175576","-73.5687721264747",299420.4385,5034164.7268
"BLAP-4","Bassin de Laprairie","Verdun","Parc Desmarchais (marina)","parc Desmarchais, marina de Verdun, inters. boul. Lasalle et boul. Desmarchais ","Q","Q","BLAP-4   Parc Desmarchais (marina)",2024-07-02T13:55:41,,"         23.8",187,8.1,"=",15,0.6,0,0,0.6,0,8,"45.4539704516771","-73.5637815233017",299811.3983,5034895.374
"LSL-5.5","Lac Saint-Louis","Dorval","Traversier de l'île Dorval","embarcadère du traversier de l'Île Dorval, extrémité de l'av. Dorval","Q","Q","LSL-5.5   Traversier de l'île Dorval",2024-07-02T13:12:33,,"         23.4",166,8.4,"=",10,0.6,0,0,0.6,0,8,"45.4376373356841","-73.739355679223",286073.6562,5033106.1752
"LSL-7","Lac Saint-Louis","Dorval","Parc Baie de Valois","parc Baie de Valois, inters. ch. du Bord-du-Lac et av. Canary","Q","Q","LSL-7   Parc Baie de Valois",2024-07-02T13:25:55,,"         25.4",132,8.9,"=",42,0.6,0,0,0.6,0,8,"45.4422366753032","-73.7752338657564",283268.4232,5033626.2774
"RDP-200","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Parc Paquin","parc Paquin, inters. rue Saraguay E. et rue du Belvédère","Q","Q","RDP-200   Parc Paquin",2024-07-03T11:56:43,,"         24.2",101,7.3,"=",33,0,1.1,0,1.1,-1,8,"45.5110570049013","-73.7992303216562",281419.6555,5041280.9833
"RDP-260","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","Collège Ste-Marcelline","375m au nord de l'intersection du boul.Gouin et de l'av. LeMesurier, Parc régional du Bois-de-Saraguay.","Q","Q","RDP-260   Collège Ste-Marcelline",2024-07-08T11:29:02,,"         24.3",96,7.8,"=",64,0,0,1.9,1.9,-2,9,"45.5171772152984","-73.7487905396229",285362.8716,5041947.6806
"RDP-280","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","Parc de Beauséjour","parc de Beauséjour, inters. rue Henry d'Arles et boul Gouin O.","Q","Q","RDP-280   Parc de Beauséjour",2024-07-08T11:41:14,,"         24.8",95,7.8,"=",210,0,0,1.9,1.9,-2,9,"45.5290798897753","-73.7334355758866",286566.3461,5043266.8334
"RDP-60","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","P-n de l'Anse-à-l'Orme","p-n de l'Anse-à-l'Orme, boul Gouin O. à l'est de à rue Lauzon","Q","Q","RDP-60   P-n de l'Anse-à-l'Orme",2024-07-08T08:48:57,,"         25.6",108,8.1,"=",21,0,0,1.9,1.9,-2,9,"45.4538049608123","-73.9387224304627",270485.7119,5034968.634
"RDP-75","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","P-n du Cap-Saint-Jacques (chalet d'accueil)","p-n du Cap-St-Jacques, rampe mise à l'eau, inters. boul. Gouin E. et rue Pilon","Q","Q","RDP-75   P-n du Cap-Saint-Jacques (chalet d'accueil)",2024-07-08T08:55:29,,"         24.1",91,7.8,"=",7,0,0,1.9,1.9,-2,9,"45.4627080324044","-73.9184105817761",272079.5346,5035949.5595
"RDP-140","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Parc de la Rive-Boisée","parc de la Rive-Boisée, ch. Rive-Boisée, au sud de la rue David","Q","Q","RDP-140   Parc de la Rive-Boisée",2024-07-03T13:25:38,,"         24.4",115,7.3,"=",1500,0,1.1,0,1.1,-1,8,"45.498715312948","-73.8549270265629",277061.7369,5039927.1678
"RDP-150","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Rue du Bocage","extrémité de la rue du Bocage","Q","Q","RDP-150   Rue du Bocage",2024-07-03T13:16:40,,"         23.6",99,7.2,"=",120,0,1.1,0,1.1,-1,8,"45.4995266862813","-73.8582499475153",276802.4461,5040018.4888
"RDP-190","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Parc de l'Île de Roxboro","parc de l'Île de Roxboro, extrémité de la 5e av. N. ","Q","Q","RDP-190   Parc de l'Île de Roxboro",2024-07-03T12:21:28,,"         23.0",96,7.2,"=",18,0,1.1,0,1.1,-1,8,"45.5139898976476","-73.8210775595973",279713.9261,5041613.5097
"RDP-20","rivière des Prairies - côté Montréal","Senneville","Pointe aux Moutons","baie à proximité de la pointe aux Moutons, ch. Senneville, au N. de l'av. Sunset","Q","Q","RDP-20   Pointe aux Moutons",2024-07-03T14:48:40,,"         26.4",105,7.9,"=",42,0,1.1,0,1.1,-1,8,"45.4172831375105","-73.9642541041907",268465.3445,5030921.2106
"RDP-220","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Parc des Anciens-Combattants ","parc des Anciens-Combattants, inters. Rue Rose et boul. Lalande","Q","Q","RDP-220   Parc des Anciens-Combattants ",2024-07-03T11:46:49,,"         23.0",96,7.3,"=",86,0,1.1,0,1.1,-1,8,"45.5094238756425","-73.7844831797803",282571.2796,5041095.3054
"RDP-260","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","Collège Ste-Marcelline","375m au nord de l'intersection du boul.Gouin et de l'av. LeMesurier, Parc régional du Bois-de-Saraguay.","Q","Q","RDP-260   Collège Ste-Marcelline",2024-07-03T11:21:03,,"         22.6",105,7.3,"=",34,0,1.1,0,1.1,-1,8,"45.5171772152984","-73.7487905396229",285362.8716,5041947.6806
"RDP-280","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","Parc de Beauséjour","parc de Beauséjour, inters. rue Henry d'Arles et boul Gouin O.","Q","Q","RDP-280   Parc de Beauséjour",2024-07-03T11:04:31,,"         22.7",100,7.3,"=",110,0,1.1,0,1.1,-1,8,"45.5290798897753","-73.7334355758866",286566.3461,5043266.8334
"RDP-305","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","Parc Raimbault","parc Raimbault, rue Notre-Dame-des-anges, à l'est de rue du Bocage","Q","Q","RDP-305   Parc Raimbault",2024-07-03T10:47:30,,"         22.8",98,7.4,"=",200,0,1.1,0,1.1,-1,8,"45.5372207434691","-73.7166639152486",287878.822,5044167.8632
"RDP-330","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","Parc Nicolas-Viel","parc Nicolas-Viel, inters. boul. Saint-Laurent et rue Somerville","Q","Q","RDP-330   Parc Nicolas-Viel",2024-07-03T10:28:20,,"         22.6",95,7.4,"=",2800,0,1.1,0,1.1,-1,8,"45.5521686233921","-73.6769465038043",290984.3634,5045821.4362
"RDP-360","rivière des Prairies - côté Montréal","Ahuntsic-Cartierville","P-n de l'Île-de-la-Visitation (pont)","p-n de l'Île-de-la-Visitation, pont piétonnier, boul. Gouin E. et rue de Lille ","Q","Q","RDP-360   P-n de l'Île-de-la-Visitation (pont)",2024-07-03T09:59:37,,"         22.9",97,7.5,"=",150,0,1.1,0,1.1,-1,8,"45.5807147023575","-73.6573828410263",292518.0782,5048990.6297
