#accreditation,Nom_employeur,Adresse_employeur,Nom_association,Syndicat,Statut_arret_de_travail,Secteur_Prive_Public,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_de_jours_personnes_perdus_dans_annee,Debut_du_conflit,Date_de_fin,Date_expiration_derniere_convention_collective,Nombre_ jours_personnes_perdus_depuis_debut_du_conflit,Duree_jours_ouvrables_depuis_debut,
AM20020902,CHU de Quebec - Universite Laval,11. cote du Palais.  Quebec G1R2J6,Syndicat des employees et employes du CHU de Quebec. SCFP 1108,FTQ,Greve,Public,Services de sante et services sociaux,8600,Montreal,0,0,2023-11-06,,,0,11,
AM20021152,HRH Services Prehospitaliers inc.,751. rue Samuel-Racine.  Joliette J6E0E8,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Lanaudiere,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20021202,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Outaouais,11,3611,2022-04-28,,2021-12-22,6204,543,
AM20021294,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5420,FTQ,Greve,Public,Autres commerces de detail,6599,Monteregie,21,6771,2022-04-28,,2021-12-22,11633,543,
AM20021334,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Lanaudiere,9,2709,2022-04-28,,2021-12-22,4653,543,
AM20021343,Corporation ambulanciere de Beauce inc. (CAMBI) - Ambulance Michel Crevier inc.,485. boulevard Renault Case postale 5128 Beauceville (Quebec)  G5X 3P5 ,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Lanaudiere,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20021400,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Laurentides,5,1580,2022-04-28,,2021-12-22,2714,543,
AM20021418,College d'enseignement general et professionnel de la Gaspesie et des iles,96. rue Jacques-Cartier.  Gaspe G4X2S8,Syndicat du personnel enseignant du Cegep de la Gaspesie et des iles a Montreal (CSQ)  (SPECGIM-CSQ),CSQ,Greve,Public,Services d'enseignement,8521,Montreal,127,1080,2023-11-06,,,1079,9,
AM20021482,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Montreal,13,4063,2022-04-28,,2021-12-22,6877,535,
AM20021504,Societe quebecoise du cannabis (SQDC),7355. rue Notre-Dame Est.  Montreal H1N3S7,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Laurentides,9,2934,2022-04-28,,2021-12-22,5041,543,
AM20021602,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5420,FTQ,Greve,Public,Autres commerces de detail,6599,Monteregie,9,2031,2022-04-28,,2021-12-22,3490,543,
AM20021654,Institut de tourisme et d'hotellerie du Quebec,3535. rue Saint-Denis.  Montreal H2X3P1,Syndicat des enseignates et enseignants de l'ITHQ - CSN,CSN,Greve,Prive,Services de l'administration provinciale,8252,Montreal,140,420,2023-01-16,2023-06-05,,420,3,
AM20021659,Bibliotheque et Archives nationales du Quebec,475. boulevard De Maisonneuve Est.  Montreal H2L5C4,Syndicat des travailleuses et travailleurs uni-es de BAnQ - CSN,CSN,Greve,Public,Services d'enseignement,8561,Toutes les regions,350,2100,2023-02-14,2023-05-14,,2100,6,
AM20021679,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Laurentides,5,1580,2022-04-28,,2021-12-22,2714,543,
AM20021702,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5420,FTQ,Greve,Public,Autres commerces de detail,6599,Monteregie,9,2709,2022-04-28,,2021-12-22,4653,543,
AM20021805,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Montreal,16,4966,2022-04-28,,2021-12-22,8531,543,
AM20021861,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Laurentides,4,1564,2022-04-28,2023-11-13,2022-03-14,2532,591,
AM20021883,Les ambulances Gilles Thibault inc.,1540. route 117.  Val-David J0T2N0,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Laurentides,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20021978,Societe quebecoise du cannabis (SQDC),7355. rue Notre-Dame Est.  Montreal H1N3S7,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Laurentides,6,2086,2022-04-28,2023-11-13,2022-03-25,3382,592,
AM20022026,Societe quebecoise du cannabis (SQDC),7355. rue Notre-Dame Est.  Montreal H1N3S7,Syndicat canadien de la fonction publique. section locale 5420,FTQ,Greve,Public,Autres commerces de detail,6599,Monteregie,9,3129,2022-04-28,2023-11-13,2022-04-25,5073,592,
AQ10032377,Syndicat de la fonction publique et parapublique du Quebec inc.,5100. BOUL des Gradins.  Quebec G2J1N4,Syndicat canadien de la fonction publique. section locale 1573,FTQ,Greve,Prive,Associations,9841,Capitale-Nationale,52,1872,2023-11-10,,2022-12-31,1872,36,
AQ10034056,Societe de transport de Levis,1100. rue Saint-Omer.  Levis G6V6N4,Syndicat des chauffeurs d'autobus de la Rive-Sud (CSN),CSN,Greve,Public,Transports,4571,Chaudiere-Appalaches,113,1695,2022-11-14,2023-02-24,2021-12-31,1808,16,
AQ10035200,Commission scolaire du Littoral,789 rue Beaulieu Case postale 787   G4R1P8,Lower North Shore English Teachers Association,IND PRO,Greve,Public,Services d'enseignement,8511,Cote-Nord,38,319,2023-11-06,,2023-03-31,319,8,
AQ10035421,Autobus Tremblay & Paradis inc.,2625. rue Watt.  Quebec G1P3T2,Syndicat des employes du transport scolaire Tremblay et Paradis (CSN),CSN,Greve,Prive,Transports,4573,Capitale-Nationale,63,1386,2023-01-30,2023-03-12,2022-06-30,1386,22,
AQ10036614,Loblaws inc.. faisant affaires sous Provigo,400. avenue Sainte-Croix.  Montreal H4N3L4,Syndicat des travailleurs et travailleuses  de Presto Libre-Service de la region de Quebec (CSN),CSN,Greve et lock-out,Prive,Commerces de detail des aliments. boissons. medicaments et tabac,6011,Capitale-Nationale,24,3504,2023-06-09,,2022-10-20,3504,146,
AQ10036679,College Notre-Dame des Champs,Sully Temiscouata (Quebec) ,Syndicat national des employes du College de Sully (CSN),CSN,Greve,Prive,Services d'enseignement,8521,Bas-Saint-Laurent,300,1200,2023-11-21,,,1200,4,
AQ10037389,Universite du Quebec a Rimouski,300. allee des Ursulines.  Rimouski G5L3A1,Syndicat des professeures et professeurs de  l'Universite du Quebec a Rimouski (SPPUQAR),IND PRO,Greve,Public,Services d'enseignement,8531,Bas-Saint-Laurent,237,17066,2023-04-11,2023-10-11,2022-05-31,17066,70,
AQ10037389,Universite du Quebec a Rimouski,300. allee des Ursulines.  Rimouski G5L3A1,Syndicat des professeures et professeurs de  l'Universite du Quebec a Rimouski (SPPUQAR),IND PRO,Greve,Public,Services d'enseignement,8531,Bas-Saint-Laurent,244,8282,2023-04-11,2023-10-11,2022-05-31,8282,34,
AQ10037414,Centre communautaire juridique du Bas St-Laurent Gaspesie,320. rue Saint-Germain Est 6e etage Rimouski (Quebec) G5L1C2,Syndicat des Avocats de l'Aide Juridique du Bas St-Laurent/ Gaspesie,CSN,Greve,Public,Services aux entreprises,7761,Gaspesie--iles-de-la-Madeleine,17,85,2022-05-24,2023-04-25,2019-12-31,161,10,
AQ10037804,Autobus Laterriere inc.,4511. boulevard Talbot.  Chicoutimi G7H5B1,Syndicat national du transport ecolier du Saguenay-Lac-Saint-Jean - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,20,300,2023-10-16,2023-11-15,2023-06-30,300,15,
AQ10037820,Autobus la Baie inc.,4511. boulevard Talbot.  Chicoutimi G7H5B1,Syndicat national du transport ecolier du Saguenay-Lac-Saint-Jean - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,8,120,2023-10-16,2023-11-15,2023-06-30,120,15,
AQ10037822,Autocar Saguenay inc.,638. boulevard Barette.  Chicoutimi G7J4C5,Syndicat national du transport ecolier du Saguenay-Lac-Saint-Jean - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,2,30,2023-10-16,2023-11-15,2023-06-30,30,15,
AQ10037825,Tremblay & Tremblay ltee,4511. boulevard Talbot.  Chicoutimi G7H5B1,Syndicat national du transport ecolier du Saguenay-Lac-Saint-Jean - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,5,75,2023-10-16,2023-11-15,2023-06-30,75,15,
AQ10038293,Universite Laval,Cite Universitaire Quebec QC  ,Syndicat des professeurs et professeures de l'Universite Laval,IND LOC,Greve,Public,Services d'enseignement,8531,Capitale-Nationale,1300,29900,2023-02-20,2023-03-29,2022-12-01,29900,23,
AQ10038533,Autobus Gilbert Enr,4511. boulevard Talbot.  Chicoutimi G7H5B1,Syndicat du transport scolaire du Saguenay - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,1,15,2023-10-16,2023-11-15,2023-06-30,15,15,
AQ10038965,Paul Tremblay Transport ltee,1925. boulevard Martel Saint-Honore (Quebec) G0M1L0,Syndicat national du transport ecolier du Saguenay-Lac-Saint-Jean - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,7,105,2023-10-16,2023-11-15,2023-06-30,105,15,
AQ10039861,Autobus J.D.J. enr.,4511. boulevard Talbot.  Chicoutimi G7H5B1,Syndicat du transport scolaire du Saguenay - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,3,45,2023-10-16,2023-11-15,2023-06-30,45,15,
AQ10040404,Intercar la Baie enrg.,4511. Boulevard Talbot.  Chicoutimi G7H5B1,Syndicat national du transport ecolier du Saguenay-Lac-Saint-Jean - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,6,90,2023-10-16,2023-11-15,2023-06-30,90,15,
AQ10041280,Les Industries G.D.S. inc.,207. route 295.  Degelis G5T1R1,Unifor. section locale 299,FTQ,Lock-out,Prive,Industries du bois,2512,Gaspesie--iles-de-la-Madeleine,35,420,2023-05-18,2023-06-04,2022-04-30,420,12,
AQ10042826,Bois Marsoui G.D.S inc.,207. route 295.  Degelis G5T1R1,Unifor. section locale 425-3,FTQ,Lock-out,Prive,Industries du bois,2512,Gaspesie--iles-de-la-Madeleine,40,480,2023-05-18,2023-06-04,2022-05-31,480,12,
AQ10042828,Bois Granval G.D.S. inc.,207. route 295   G5T1R1,Unifor. section locale 425-2,FTQ,Lock-out,Prive,Industries du bois,2512,Gaspesie--iles-de-la-Madeleine,40,480,2023-05-18,2023-06-04,2022-04-30,480,12,
AQ10043869,Centre de communication sante des capitales,2400. avenue d'Estimauville. bureau 5200 Quebec G1E7G9,Syndicat des travailleuses et travailleurs de la Centrale de Coordination sante de la region de Quebec (CSN),CSN,Greve,Prive,Services aux entreprises,7795,Capitale-Nationale,0,0,2022-06-17,2023-12-12,2020-03-31,0,543,
AQ10044689,Assemblee Nationale,1050 rue des Parlementaires 5e etage. bureau 5.79   G1A1A3,Syndicat des travailleuses et travailleurs des restaurants de l'Assemblee nationale - CSN,CSN,Greve,Public,Restauration,9211,Capitale-Nationale,50,100,2023-03-08,2023-04-12,2020-06-30,100,2,
AQ10044822,PF Resolu Canada inc. Division Alma,1100. rue Melancon Ouest.  Alma G8B5W2,Syndicat national des travailleuses et travailleurs des pates et papiers d'Alma inc.,CSN,Lock-out,Prive,Industries du papier et des produits en papier,2712,Saguenay--Lac-Saint-Jean,264,12936,2023-07-04,2023-09-08,2023-04-30,12936,49,
AQ10044848,Autobus Matanais inc.,55. rue Durette.  Matane G4W0J5,Association des chauffeurs d'autobus scolaires Matanais inc.,CSN,Greve,Prive,Transports,4573,Bas-Saint-Laurent,45,3555,2023-03-13,2023-06-29,2022-06-30,3555,79,
AQ10046433,Carrefour Jeunesse-Emploi de la Capitale Nationale,265 rue de la Couronne bureau 200   G1K6E1,Syndicat des employe-es de Carrefour Jeunesse Emploi (CSN),CSN,Greve et lock-out,Public,Services de sante et services sociaux,8649,Capitale-Nationale,21,189,2023-06-14,2023-08-16,2022-03-31,189,9,
AQ10052914,Agropur Cooperative,75. avenue Lambert.  Beauceville G5X3N5,Teamsters Quebec. local 1999,FTQ,Greve,Prive,Industries des aliments,1049,Chaudiere-Appalaches,191,1528,2023-05-08,2023-05-17,2023-01-31,1528,8,
AQ10054765,Autobus Laterriere inc. Division 1,2249. rue Saint-Hubert.  Jonquiere G7X5P1,Syndicat du transport scolaire du Saguenay - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,50,750,2023-10-16,2023-11-15,2023-06-30,750,15,
AQ10054769,Autobus Laterriere inc. Division 2,1855. boulevard Sainte-Genevieve Chicoutimi (Quebec)  G7H2H2,Syndicat national du transport ecolier du Saguenay-Lac-Saint-Jean - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,30,450,2023-10-16,2023-11-15,2023-06-30,450,15,
AQ10055361,Autobus Laterriere inc. faisant affaires sous le nom de Intercar du Fjord,4511. boulevard Talbot.  Chicoutimi G7H5B1,Syndicat du transport scolaire du Saguenay - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,5,75,2023-10-16,2023-11-15,2023-06-30,75,15,
AQ20000341,Corporation ambulanciere de Beauce inc. (CAMBI),463. boulevard Renault. Case postale 5128 Beauceville G5X3P5,Travailleurs ambulanciers syndiques Beauce inc. (TASBI),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Chaudiere-Appalaches,0,0,2021-12-14,2023-06-19,2020-03-31,0,540,
AQ20000349,Universite Laval,Cite Universitaire Quebec QC  ,Association des sauveteurs et des moniteurs  du PEPS de l'Universite Laval (FISA),IND PRO,Greve,Public,Services de divertissements et de loisirs,9699,Capitale-Nationale,59,59,2023-04-15,2023-06-20,2022-08-31,58,1,
AQ20000578,Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. 15e etage.  Montreal H3A3G6,Syndicat des employe-es du Casino de Charlevoix (CSN),CSN,Greve,Public,Services de divertissements et de loisirs,9661,Capitale-Nationale,84,6216,2023-06-15,2023-09-26,2022-03-31,6216,74,
AQ20000754,Autobus Laterriere inc.,4511. boulevard Talbot.  Chicoutimi G7H5B1,Syndicat du transport scolaire du Saguenay - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,7,105,2023-10-16,2023-11-15,2023-06-30,105,15,
AQ20002359,Hema-Quebec,839. rue Papineau.  Joliette J6E2L6,Syndicat des infirmieres et infirmieres auxiliaires de Hema-Quebec (CSN),CSN,Greve,Public,Services de sante et services sociaux,8685,Capitale-Nationale,77,116,2022-02-17,2023-03-19,2019-03-31,115,2,
AQ20002585,Universite Laval,Vice-rectorat aux ressources humaines Pavillon Jean-Charles-Bonenfant 2345. allee des Bibliotheques. bureau 5446. Quebec QC ,Syndicat des chargees et charges de cours de l'Universite Laval,CSN,Greve,Public,Services d'enseignement,8531,Capitale-Nationale,1600,5600,2023-11-06,,2022-12-31,5600,4,
AQ20002848,ecole nationale de police du Quebec,350 rue Marguerite-d'Youville Case postale 1120   J3T1X4,Syndicat de la fonction publique et parapublique du Quebec inc.,IND PRO,Greve,Public,Services d'enseignement,8521,Centre-du-Quebec,172,,2022-12-15,2023-02-15,2020-03-31,344,2,
AQ20005184,G.D.S. Valoribois inc. division Matane,207. route 295.  Degelis G5T1R1,Unifor. section locale 425,FTQ,Lock-out,Prive,Industries du bois,2512,Bas-Saint-Laurent,65,780,2023-05-18,2023-06-04,2022-05-31,780,12,
AQ20007315,Autobus B.R. inc.,2625. rue Watt.  Quebec G1P3T2,Syndicat des employe-es de transport Autobus B.R. (CSN),CSN,Greve,Prive,Transports,4573,Capitale-Nationale,20,440,2023-01-30,2023-03-12,2022-06-30,440,22,
AQ20008059,MRC de Maskinonge,651. boulevard Saint-Laurent Est.  Louiseville J5V1J1,Syndicat regional des employes(es) municipaux de la Mauricie (CSN),CSN,Greve,Public,Services des administrations locales,8351,Mauricie,20,60,2023-11-17,,2022-12-31,60,3,
AQ20008240,Autobus du Fer inc.,126. rue Monseigneur Blanche.  Sept-iles G4R3G8,Syndicat des Metallos. section locale 7065,FTQ,Greve,Prive,Transports,4573,Cote-Nord,35,840,2023-03-21,2023-04-22,2022-06-30,840,24,
AQ20009272,Autobus de l'energie inc.,311. avenue de Saint-Georges.  Shawinigan G9T3M8,Syndicat des travailleuses et travailleurs du transport scolaire de l'energie - CSN,CSN,Greve,Prive,Transports,4573,Mauricie,15,780,2023-03-20,2023-06-20,2021-06-30,780,52,
AQ20009560,Autobus Laterriere inc. Division 345,232. rue Joseph-Gagne Sud.  La Baie G7B3P6,Syndicat national du transport ecolier du Saguenay-Lac-Saint-Jean - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,20,300,2023-10-16,2023-11-15,2023-06-30,300,15,
AQ20011068,Ambulance de Rimouski inc.,485. boulevard Renault. C.P. 5128 Beauceville G5X3P5,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Bas-Saint-Laurent,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AQ20011113,Cooperative des paramedics du Grand-Portage,47-A. rue Saint-Andre.  Riviere-du-Loup G5R3J2,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Bas-Saint-Laurent,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AQ20011165,Corporation ambulanciere de Beauce inc. (CAMBI),485. boulevard Renault Case postale 5128 Beauceville (Quebec)  G5X 3P5 ,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Chaudiere-Appalaches,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AQ20012099,Gamma murs et fenetres international inc.,6130. boulevard Sainte-Anne.  Chateau-Richer G0A2K0,Syndicat des Metallos. section locale 9599,FTQ,Greve,Prive,Industries de la fabrication des produits metalliques (sauf les industries de la machinerie et du ma,3031,Capitale-Nationale,59,236,2023-08-23,2023-08-28,2023-03-15,236,4,
AQ20012185,9226-2930 Quebec inc.,962. rue Simard.  Saint-Ambroise G7P2T9,Syndicat du transport scolaire du Saguenay - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,6,90,2023-10-16,2023-11-15,2023-06-30,90,15,
AQ20012186,9226-2930 Quebec inc.,962. rue Simard.  Saint-Ambroise G7P2T9,Syndicat national du transport ecolier du Saguenay - Lac-Saint-Jean - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,7,105,2023-10-16,2023-11-15,2023-06-30,105,15,
AQ20012289,Metaux Russel inc.,1900. Minnesota Court. Suite 210 Mississauga ON  ,Syndicat des salaries d'Acier Leroux - CSN,CSN,Greve,Prive,Commerces de gros des articles de quincaillerie. de materiel de plomberie et de chauffage et des mat,5611,Saguenay--Lac-Saint-Jean,13,1443,2023-06-02,2023-11-03,2023-02-01,1443,111,
AQ20012289,Metaux Russel inc.,1900. Minnesota Court. Suite 210 Mississauga ON  ,Syndicat des salaries d'Acier Leroux - CSN,CSN,Greve,Prive,Commerces de gros des articles de quincaillerie. de materiel de plomberie et de chauffage et des mat,5611,Saguenay--Lac-Saint-Jean,13,1443,2023-06-02,2023-11-03,2023-02-01,1443,111,
AQ20012584,Cooperative des techniciens ambulanciers du Quebec (CTAQ),6000. rue des Tournelles.  Quebec G2J1E4,Association des travailleurs du prehospitalier (ATPH),CSN,Greve,Prive,Services de sante et services sociaux,8689,Capitale-Nationale,0,0,2021-07-20,,2020-03-31,0,727,
AQ20013142,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des employe-es du Casino de Charlevoix (CSN),CSN,Greve,Public,Services aux entreprises,7791,Capitale-Nationale,20,1480,2023-06-15,2023-09-26,2019-08-14,1480,74,
AQ20013472,Soucy Belgen inc.,4475. boulevard Saint-Joseph.  Drummondville J2B8B3,Syndicat des travailleuses et travailleurs de la Fonderie Belgen (CSN),CSN,Greve,Prive,Industries de premiere transformation des metaux,2941,Centre-du-Quebec,90,90,2023-02-15,2023-03-06,2023-02-05,90,1,
AQ20014102,Societe en commandite Villa d'Alma,795. avenue des Noisetiers.  Alma G8B7W3,Syndicat des travailleuses et travailleurs des centres d'hebergement prives de la region Saguenay - Lac-Saint-Jean (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8628,Saguenay--Lac-Saint-Jean,48,3504,2022-12-07,2023-04-12,2022-06-30,4368,91,
AQ20014295,9226-2930 Quebec inc.,962. rue Simard.  Saint-Ambroise G7P2T9,Syndicat du transport scolaire du Saguenay - CSN,CSN,Greve,Prive,Transports,4573,Saguenay--Lac-Saint-Jean,5,75,2023-10-16,2023-11-15,2023-06-30,75,15,
AQ20014324,Congregation des soeurs de Notre-Dame du Saint-Rosaire,300. allee du Rosaire.  Rimouski G5L3E3,Syndicat du personnel des centres d'hebergement et des institutions religieuses Rimouski-Neigette (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8628,Bas-Saint-Laurent,189,6,2023-04-05,2023-05-31,2021-03-31,5,0.03,
AQ20014840,Societe quebecoise des infrastructures,1075. rue de l'Amerique-Francaise.  Quebec G1R5P8,Syndicat des employees et employes de la Societe quebecoise des infrastructures. section locale 2929 du SCFP,FTQ,Greve,Public,Services de l'administration provinciale,8259,Capitale-Nationale,500,3000,2023-02-08,2023-06-22,2020-03-31,3000,6,
AQ20015361,Commission scolaire Eastern Shores (Eastern Shores School Board),40. rue Mount-sorrel.  New Carlisle G0C1Z0,Eastern Shores Union Support Staff (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Gaspesie--iles-de-la-Madeleine,139,1168,2023-11-21,,2023-03-31,1167,8,
AQ20017797,Centre integre universitaire de sante et de services sociaux de la Capitale-Nationale,2915. avenue du Bourg-Royal.  Quebec G1C3S2,Syndicat des professionneles. techniciennes et techniciens de la sante et des services sociaux Capitale-Nationale-CSN (SPTSSS-CSN),CSN,Greve,Public,Services de sante et services sociaux,8600,Capitale-Nationale,374,4109,2023-11-06,,2023-03-31,4109,11,
AQ20019850,Kruger Wayagamack s.e.c.,ile-de-la-Potherie Case postale 128 Trois-Rivieres (Quebec) ,Unifor. section locale 222-Q,FTQ,Greve,Prive,Industries du papier et des produits en papier,2719,Mauricie,42,378,2023-06-01,2023-06-13,2023-04-30,378,9,
AQ20019984,Kruger Wayagamack s.e.c.,ile-de-la-Potherie Case postale 128 Trois-Rivieres (Quebec) ,Unifor. section locale 216,FTQ,Greve,Prive,Industries du papier et des produits en papier,2719,Mauricie,197,1773,2023-06-01,2023-06-13,2023-04-30,1773,9,
AQ20020388,Caisse Desjardins de Port-Cartier,Les Galeries des iles 8. boulevard des iles Port-Cartier (Quebec)  G5B 2J4 ,Syndicat des Metallos. section locale 7065,FTQ,Greve,Prive,Intermediaires financiers de depots,7051,Cote-Nord,15,45,2023-02-02,2023-05-09,2022-03-15,45,3,
AQ20020941,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Plus d'une region,21,6771,2022-04-28,,2021-12-22,11633,543,
AQ20020942,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Centre-du-Quebec,9,2709,2022-04-28,,2021-12-22,4653,543,
AQ20021426,Cegep de Baie-Comeau,537 boul. Blanche. Baie-Comeau G5C2B2,Syndicat du personnel enseignant du Cegep Baie-Comeau,CSQ,Greve,Public,Services d'enseignement,8521,Cote-Nord,129,645,2023-11-06,,2023-03-31,645,9,
AQ20021480,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Estrie,7,2257,2022-04-28,,2021-12-22,3877,543,
AQ20021564,Services Prehospitaliers Paraxion inc.,309. rue des Entrepreneurs.  Montmagny G5V4S9,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Cote-Nord,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AQ20021608,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Saguenay--Lac-Saint-Jean,6,2086,2022-04-28,,2021-12-22,2961,518,
AQ20021670,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Mauricie,6,2086,2022-04-28,2023-11-13,2021-12-22,3382,592,
AQ20021730,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Capitale-Nationale,8,2483,2022-04-28,,2021-12-22,4249,541,
AQ20021782,Societe quebecoise du cannabis (SQDC),7355. rue Notre-Dame Est.  Montreal H1N3S7,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Bas-Saint-Laurent,7,2257,2022-04-28,,2021-12-22,3877,543,
AQ20021784,Societe quebecoise du cannabis (SQDC),7355. rue Notre-Dame Est.  Montreal H1N3S7,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Estrie,5,1825,2022-04-28,2023-11-13,2022-02-01,2959,592,
AQ20021881,Centre d'appel d'urgence des regions de l'Est du Quebec (CAUREQ),400. avenue Sirois.  Rimouski G5L6E2,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Bas-Saint-Laurent,0,0,2022-03-09,,,0,663,
AQ20021928,Brandt Tractor Ltd.,Hwy #1 East Case postale 3856 Regina (Saskatchewan)  S4P 3R8 ,Syndicat national des employes de garage du Quebec inc.,CSD,Greve,Prive,Commerces de gros de machines. materiel et fournitures,5721,Saguenay--Lac-Saint-Jean,11,1727,2023-05-25,,2020-12-31,1727,157,
