Numero_accreditation,Nom_employeur,Adresse_employeur,Nom_association,Sigle_du_syndicat,Statut_arret_de_travail,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_jours_personnes_perdus_depuis_debut_arret_travail,Date_de_debut_arret_de_travail,Date_de_fin_arret_de_travail,Date_expiration_derniere_convention_collective,Duree_en_jours_civils 
AQ10037739,"Agropur, coopérative agro-alimentaire",510 rue Principale Case postale 6000 Granby QC J2G7G2,Syndicat des salariés en produits et services agricoles de l'Érable ,CSD,Grève,Industries des aliments,1049,Mauricie,21,2678,2004-04-06,2004-08-08,2003-08-31,125
AQ10037740,"Agropur, coopérative agro-alimentaire",510 rue Principale Case postale 6000 Granby QC J2G7G2,Syndicat des salariés en produits et services agricoles de l'Érable ,CSD,Grève,Industries des aliments,1049,Mauricie,21,2678,2004-04-06,2004-08-08,2003-08-31,125
AQ10041884,"Agropur, coopérative agro-alimentaire",510 rue Principale Case postale 6000 Granby QC J2G7G2,Syndicat des travailleurs des produits laitiers de Notre-Dame du Bon Conseil,CSD,Grève,Industries des aliments,1049,Mauricie,100,11900,2004-04-06,2004-08-02,2003-08-31,119
AQ10043165,Centre Montserrat 2962-1901 Québec inc.,650 avenue Murray  Québec G1S4V8,L'Alliance de la Fonction publique du Canada,FTQ,Grève,Services de santé et services sociaux,8627,Capitale-Nationale,1,5,2004-04-13,2004-04-20,2003-01-31,8
AM10049489,Groupe BMTC inc.,8500 place Marien  Montréal-Est H1B5W8,Unifor section locale 145,FTQ,Grève,Commerces de gros d'articles ménagers,5421,Montréal,207,3728,2004-04-16,2004-05-03,2003-12-31,18
AQ10046273,Atelier la Flèche de Fer inc. (AFFI),1730 rue Eiffel  Boucherville J4B7W1,Syndicat des employées et employés professionnels-les et de bureau section locale 574 SEPB CTC-FTQ,FTQ,Grève,Industries des produits électriques et électroniques,3359,Capitale-Nationale,34,6086,2004-04-16,2005-01-09,2003-05-31,269
AQ10044146,Précitech Int. inc.,237 route 204  Sainte-Rose-de-Watford G0R4G0,Unifor section locale 299,FTQ,Grève,Industries du bois,2549,Chaudière-Appalaches,29,1073,2004-04-20,2004-06-10,2003-09-30,52
AM10008315,Gil-Ber inc.,500 rue Gilles-Moreau  Saint-Lin-Laurentides J5M0C9,Syndicat des travailleurs des Autobus Gil-Ber ,CSN,Grève,Transports,4573,Lanaudière,68,272,2004-04-22,2004-04-27,2003-06-30,6
AM10030464,Les plastiques Simport ltée-Simport Plastics ltd.,176 rue du Parc-Industriel  Saint-Mathieu-de-Beloeil J3G4S5,Syndicat des travailleurs et travailleuses  des Plastiques Simport,CSN,Grève et lock-out,Industries des produits en matière plastique,1699,Montérégie,41,11765,2004-04-23,2005-01-31,2003-12-31,284
AQ10032620,Shermag inc.,510 rue Saint-François  Disraeli G0N1E0,Syndicat du meuble de Disraéli,Indépendant,Grève et lock-out,Industries du meuble et des articles d'ameublement,2611,Chaudière-Appalaches,242,27951,2004-04-26,2004-10-11,2004-04-21,169
AM20000276,"Planchers Husky Flooring, Division de la compagnie Commonwealth Plywood  ltée",805 boulevard Cristini  Lachute J8H4N6,Syndicat des travailleuses et travailleurs de planchers Husky - CSN,Indépendant,Grève et lock-out,Industries du bois,2545,Laurentides,54,2754,2004-04-27,2004-07-11,2003-10-18,76
AQ10041434,Mobilier H.P.L.  (Division de Shermag inc.),42 rue Curé-Suzor  Victoriaville G6P6M8,Syndicat des travailleurs de Mobilier H.P.L. ,CSN,Grève,Industries du meuble et des articles d'ameublement,2611,Centre-du-Québec,168,13608,2004-04-30,2004-08-25,2003-11-16,118
AM10007858,Les matériaux de construction Oldcastle Canada inc.,1080 rue Panneton  Sherbrooke J1K2B4,Syndicat des travailleurs de Matériaux de construction Oldcastel Canada inc. (Sherbrooke) ,CSN,Grève et lock-out,Industries des produits minéraux non métalliques,3549,Estrie,9,45,2004-05-03,2004-05-09,2004-03-31,7
AQ10047846,Centre coopératif de la petite enfance la Maison des amis région 17,4 rue Paré  Victoriaville G6P2X6,Syndicat régional des travailleuses et travailleurs en CPE du Coeur du Québec ,CSN,Grève,Services de santé et services sociaux,8641,Centre-du-Québec,47,658,2004-05-03,2004-05-20,,18
AM10048719,Shermag inc. - Usine de Granby,825 boulevard Industriel  Granby J2J1A5,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 500,FTQ,Grève,Industries du meuble et des articles d'ameublement,2611,Montérégie,98,2548,2004-05-06,2004-06-13,2003-09-30,39
AM10011467,Parco-Hesse Corporation inc.,1060 rue André-Liné  Granby J2J1J9,Unifor,FTQ,Lock-out,Industries du matériel de transport,3241,Montérégie,47,564,2004-05-12,2004-05-30,2004-04-28,19
AM10017961,Berlitz Canada inc.,2001 avenue McGill College bureau SH000 Montréal H3A1G1,Unifor section locale 1626,FTQ,Grève,Services d'enseignement,8544,Montréal,84,84,2004-05-13,2004-05-13,2003-01-25,1
AQ10033976,Les Cuisines Gaspésiennes ltée,85 rue du Port  Matane G4W3M6,Syndicat des Métallos section locale 9258,FTQ,Lock-out,Industries des aliments,1011,Bas-Saint-Laurent,108,1728,2004-05-17,2004-06-08,2004-04-30,23
AQ10045928,Groupe Lebel inc.,200 rue de l'Église  Témiscouata-sur-le-Lac G0L1X0,Unifor section locale 299,FTQ,Grève,Industries du bois,2512,Bas-Saint-Laurent,30,150,2004-05-17,2004-05-23,2003-03-07,7
AM10014833,Ville de Granby,87 rue Principale  Granby J2G2T8,Syndicat des fonctionnaires municipaux de Granby,CSD,Grève,Services des administrations locales,8351,Montérégie,100,5900,2004-05-18,2004-09-06,2002-12-31,112
AQ10055924,Centre de la petite enfance Le Fou-Rire inc.,315 rue Saint-Paul  La Tuque G9X3E4,Syndicat québécois des employées et employés de service section locale 298 ,FTQ,Grève,Services de santé et services sociaux,8641,Mauricie,10,640,2004-05-28,2004-08-29,,94
AQ10056547,Parmalat Canada inc.,75 boulevard Industriel Est  Victoriaville G6T1S8,Syndicat des salariés de la production de Lactantia ,CSD,Grève et lock-out,Industries des aliments,1049,Centre-du-Québec,227,3520,2004-05-28,2004-06-12,2003-10-14,16
AQ10039662,Paré Chevrolet Oldsmobile inc.,1239 route Bégin  Saint-Anselme G0R2N0,Syndicat national des employés de garage du  Québec inc. ,CSD,Grève,"Commerces de détail des véhicules automobiles, pièces et accessoires",6351,Chaudière-Appalaches,7,2261,2004-06-02,2005-09-18,2003-05-31,474
AM10052828,La Compagnie Commonwealth Plywood ltée,15 boulevard du Curé-Labelle case postale 90  Sainte-Thérèse J7E2X1,Unifor section locale 299,FTQ,Grève,Industries du bois,2512,Outaouais,57,6669,2004-06-11,2004-11-28,2004-02-29,171
AQ10055061,Centre de la petite enfance Au Petit Poucet,1380 rue des Pins Ouest  L'Ancienne-Lorette G2E1G8,Syndicat des travailleuses et travailleurs des centres de la petite enfance de Québec Chaudière-Appalaches ,CSN,Grève,Services de santé et services sociaux,8641,Capitale-Nationale,7,273,2004-06-11,2004-08-08,,59
AQ10032592,"Les Vêtements Avanti, division de Tricot Richelieu inc.",1570 rue Rousseau  Plessisville G6L2V1,Syndicat des salariées et salariés des Vêtements Avanti ,CSN,Grève,Industries de l'habillement,2491,Centre-du-Québec,95,10850,2004-06-14,2004-11-24,2003-07-12,164
AM10009145,Produits de métal Vulcain inc.,31 rue J.-F.-Kennedy  Saint-Jérôme J7Y4B4,Syndicat des Métallos section locale 8456,FTQ,Lock-out,Industries de la fabrication des produits métalliques (sauf les industries de la machinerie et du matériel de transport),3049,Laurentides,104,104,2004-06-15,2004-06-16,2004-03-03,2
AQ20000830,Ville de Port-Cartier,40 avenue Parent Case postale 387 Port-Cartier QC G5B2G9,Syndicat national des employés de la Ville de Port-Cartier ,CSN,Grève,Services des administrations locales,8351,Côte-Nord,41,40,2004-06-18,2004-06-18,2001-12-31,1
AM10050258,Les eaux Naya inc.,2500 rue de la Naya  Mirabel J7N3A7,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 501,FTQ,Grève,Industries des boissons,1111,Laurentides,70,560,2004-06-19,2004-07-04,2003-09-30,16
AM20001406,Innvest Hotels GP Ltd.,5090 Explorer Drive 7th floor Mississauga    Ontario  L4W4T9,Syndicat des travailleuses et travailleurs Quality Hôtel-Anjou,CSN,Lock-out,Hébergement,9111,Montréal,9,2126,2004-06-25,2005-02-08,,229
AQ10038578,Relais Nordik inc.,21 rue du Marché-Champlain bureau 100 Québec G1K8Z8,Syndicat des Métallos section locale 4466,FTQ,Grève,Transports,4541,Côte-Nord,14,448,2004-06-29,2004-10-26,2004-03-31,120
AQ10032123,Mines Wabush gérées par Pickands Mather & Co. et la compagnie de chemin de fer Arnaud,Pointe-Noire Case postale 878 Sept-Îles QC G4R4L4,Syndicat des Métallos section locale 6254,FTQ,Grève,Industries de première transformation des métaux,2941,Côte-Nord,235,16215,2004-07-05,2004-10-10,2004-03-01,98
AQ10039895,Aluminerie de Bécancour inc.,5555 rue Pierre-Thibault  Bécancour G9H2T7,Syndicat des Métallos section locale 9700,FTQ,Grève,Industries de première transformation des métaux,2951,Centre-du-Québec,564,79564,2004-07-07,2004-11-24,2000-06-30,141
AQ10055180,Aluminerie de Bécancour inc.,5555 rue Pierre-Thibault  Bécancour G9H2T7,Syndicat des Métallos section locale 9700,FTQ,Grève,Industries de première transformation des métaux,2951,Centre-du-Québec,15,2115,2004-07-07,2004-11-24,2004-06-30,141
AM10026881,Régie intermunicipale de récupération des Hautes Laurentides,402 route 117 Sud Case postale 580  Marchand J0T1T0,Syndicat des travailleuses et travailleurs de la régie  intermunicipale des Hautes Laurentides ,CSN,Grève,Autres services publics,4999,Laurentides,40,2680,2004-07-09,2004-10-13,2002-12-31,97
AM10025030,L'Association de taxi Diamond de Montréal limitée,7294A rue Lajeunesse  Montréal H2R2H4,Teamsters Québec section locale 1999,FTQ,Lock-out,Transports,4581,Montréal,22,376,2004-07-19,2004-08-04,2004-03-31,17
,Chemin de Fer QNSL (Juridiction fédérale),Chemin de fer QNS&L Sept-Iles  G4R1A1,Section locale 9344 des métallurgistes unis d'Amérique,FTQ,Grève,Transports,4531,Côte-Nord,187,13287,2004-07-19,2004-09-27,2004-02-28,71
AQ10033944,Magasin Coop La Paix,321 rue de l'Église  Saint-Jean-Port-Joli G0R3G0,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 500,FTQ,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Chaudière-Appalaches,39,471,2004-07-23,2004-08-03,2004-01-17,12
AQ10033836,"Super C, une division de Metro Richelieu inc.",7151 rue Jean-Talon Est 3e étage  Anjou H1M3N8,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 500,FTQ,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Chaudière-Appalaches,55,7865,2004-07-30,2004-12-19,2004-04-30,143
AQ10039039,"Super C, une division de Metro Richelieu inc.",7151 rue Jean-Talon Est 3e étage  Anjou H1M3N8,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 500,FTQ,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Capitale-Nationale,56,13035,2004-07-30,2005-03-17,2003-12-31,231
AQ10039261,"Super C, une division de Metro Richelieu inc.",7475 boulevard Newman bureau 400  LaSalle H8N1X3,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 503,FTQ,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Capitale-Nationale,86,40448,2004-07-30,2005-11-09,2004-03-31,468
AM10051246,Manufacture de Lambton ltée,199 5e Avenue  Lambton G0M1H0,Syndicat des salariés de Manufacture Lambton ,CSD,Grève,Industries du bois,2549,Estrie,90,6930,2004-08-02,2004-11-18,2004-06-17,109
AM20000536,3969461 Canada inc.,323 rue Main C. P. 819  Shawville J0X2Y0,Syndicat des travailleuses et travailleurs du Valu-Mart Shawville ,CSN,Lock-out,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Outaouais,29,1657,2004-08-09,2004-10-05,2004-01-28,58
AQ10056393,Centre d'action bénévole des Seigneuries inc.,Place Gérard-Simon 9 rue Lafontaine Rivière-du-Loup QC G5R2Z4,"Syndicat des travailleuses et travailleurs du ""Centre d'action bénévole des Seigneuries"" ",CSN,Grève,Associations,9862,Bas-Saint-Laurent,34,1611,2004-08-11,2004-09-26,,47
,Parcs Canada (Juridiction fédérale),25 Eddy Street Gatineau (Québec)  ,Alliance de la Fonction publique du Canada,FTQ,Grève,Services de l'administration fédérale,8159,Québec plus autre(s) province(s),326,3264,2004-08-14,2004-09-06,2003-08-04,24
AM10050337,Corporation hôtelière GMI (Hôtel du Fort),Corporation hôtelière GMI (Hôtel du Fort) Place Victoria 800 rue de Square-Victoria bureau 4120 H4Z1A1,Syndicat des travailleuses et travailleurs de l'Hôtel du Fort ,CSN,Grève,Hébergement,9111,Montréal,13,745,2004-08-21,2004-10-17,2004-06-30,58
AM20002289,Asphalte Desjardins (Division Bétonnières Modernes),3030 rue Anderson  Terrebonne J6Y1W1,Syndicat des travailleurs de Asphalte Desjardins et de Bétonnières modernes ,CSN,Grève,Industries des produits minéraux non métalliques,3551,Lanaudière,26,6006,2004-08-24,2005-07-31,2004-07-31,342
AM10021552,Laliberté et Associés inc.,8790 rue Lajeunesse  Montréal H2M1R6,Syndicat des travailleuses et travailleurs de la cafétéria  du Cégep du Vieux-Montréal ,CSN,Grève et lock-out,Restauration,9214,Montréal,21,378,2004-09-07,2004-09-30,2003-06-30,24
,Agence des Douanes et du Revenu Canada (Juridiction fédérale),320 rue Queen Tour A Ontario (Québec) K1A0L5,Alliance de la Fonction publique du Canada,FTQ,Grève,Services de l'administration fédérale,8159,Québec plus autre(s) province(s),5484,43875,2004-09-10,2004-10-13,2003-10-31,34
AM10030118,Volailles Marvid Canada inc.- Marvid Poultry Canada inc.,5671 boulevard Industriel  Montréal-Nord H1G3Z9,Syndicat des travailleuses et travailleurs de Volailles Marvid ,CSN,Grève,Industries des aliments,1012,Montréal,64,12375,2004-09-13,2005-03-24,2003-12-20,193
,Gouvernement du Canada  Service de l'exploitation (Juridiction fédérale),222 Nepean Street Ottawa (Ontario)  K1A0R5,Alliance de la Fonction publique du Canada,FTQ,Grève,Services de l'administration fédérale,8159,Québec plus autre(s) province(s),1775,5325,2004-09-20,2004-10-12,2003-08-04,23
AM10014782,Zellers inc.,5250 boulevard Décarie  Montréal H3X3T9,Syndicat des travailleuses et travailleurs du Magasin Zeller's de Aylmer ,CSN,Lock-out,Commerces de détail de marchandises diverses,6411,Outaouais,43,42,2004-09-23,2004-09-23,2004-01-31,1
AM20001776,Municipalité de Rigaud,391 chemin de la Mairie  Rigaud J0P1P0,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 599,FTQ,Grève,Services des administrations locales,8351,Montérégie,6,21,2004-09-23,2004-09-28,2003-12-31,6
AM20002454,Municipalité de Rigaud,391 chemin de la Mairie C. P. 580  Rigaud J0P1P0,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 599,FTQ,Grève,Services des administrations locales,8351,Montérégie,7,33,2004-09-23,2004-09-28,,6
AM10025328,Syndicat professionnel des ingénieurs d'Hydro Québec,1255 rue University bureau 1400  Montréal H3B3X1,Syndicat des employées du SPIHQ ,CSN,Lock-out,Associations,9841,Montréal,2,40,2004-09-24,2004-10-24,2001-06-30,31
AM10012049,"Cascades groupe papiers fins inc., division Rolland",455 rue Rolland  Saint-Jérôme J7Z5S2,Syndicat canadien des communications de l'énergie et du papier section locale 174,FTQ,Grève,Industries du papier et des produits en papier,2719,Laurentides,113,1185,2004-09-25,2004-10-05,2003-04-30,11
AM10012050,"Cascades groupe papiers fins inc., division Rolland",455 rue Rolland  Saint-Jérôme J7Z5S2,Syndicat canadien des communications de l'énergie et du papier section locale 174,FTQ,Grève,Industries du papier et des produits en papier,2719,Laurentides,25,262,2004-09-25,2004-10-05,2003-04-30,11
AM10012052,"Cascades groupe papiers fins inc., division Rolland",455 rue Rolland  Saint-Jérôme J7Z5S2,Syndicat canadien des communications de l'énergie et du papier section locale 174,FTQ,Grève,Industries du papier et des produits en papier,2719,Laurentides,114,1200,2004-09-25,2004-10-05,2003-04-30,11
AM10008148,"Solutions d'Eau Xylem, une division de Société Xylem Canada",300 avenue Labrosse  Pointe-Claire H9R4V5,Unifor,FTQ,Grève,Industries de la machinerie (sauf électrique),3191,Montréal,11,33,2004-09-28,2004-09-30,2004-04-22,3
,Gouvernement du Canada  Services des programmes et de l'administration (Juridiction fédérale),222 Nepean Street Ottawa (Canada)  K1A0R5,Alliance de la Fonction publique du Canada,FTQ,Grève,Services de l'administration fédérale,8159,Québec plus autre(s) province(s),8700,34800,2004-10-12,2004-10-15,2003-06-30,4
,Gouvernement du Canada  Services techniques (Juridiction fédérale),222 Nepean Street Ottawa (Canada)  K1A0R5,Alliance de la Fonction publique du Canada,FTQ,Grève,Services de l'administration fédérale,8159,Québec plus autre(s) province(s),1300,5200,2004-10-12,2004-10-15,2002-12-31,4
AM10015246,Société des alcools du Québec,905 avenue De Lorimier  Montréal H2K3V9,Syndicat des employés de magasins et de bureaux de la Société des alcools du Québec,CSN,Grève,"Commerces de gros de produits alimentaires, de boissons, de médicaments et de tabac",5222,Toutes les régions,2865,255018,2004-10-16,2005-02-11,2002-12-31,119
AM10024671,Commission des services juridiques,2 Complexe Desjardins Tour de l'Est bureau 1404 Montréal H5B1B3,Syndicat des avocats de l'Aide Juridique de Montréal,CSN,Grève,Services aux entreprises,7761,Montréal,300,450,2004-10-21,2004-11-01,2002-06-30,12
AQ10040136,"Association de chasse, pêche et villégiature du Tawachiche inc.",Case postale 98 Sainte-Thècle QC  G0X3G0,Fraternité nationale des forestiers et travailleurs d'usines (Section locale 299),FTQ,Lock-out,Services de l'administration provinciale,8264,Mauricie,4,671,2004-10-21,2005-04-26,2004-04-30,188
AQ10035142,Réseau de transport de la Capitale,720 rue des Rocailles  Québec G2J1A5,Syndicat des employés du transport public  du Québec Métropolitain inc.,CSN,Grève,Transports,4571,Capitale-Nationale,539,4017,2004-10-23,2004-11-02,2003-06-30,11
AQ10044867,Fjordcell inc.,4008 chemin Saint-André Case postale 1970 Jonquière QC G7S5X3,Syndicat national des travailleurs et travailleuses des pâtes et cartons de Jonquière inc. (Usine pâte) ,CSN,Lock-out,Industries du papier et des produits en papier,2713,Saguenay--Lac-Saint-Jean,57,10685,2004-11-01,2005-05-06,2004-04-30,187
AQ20002360,McMahon Distributeur Pharmaceutique inc.,10301 rue Colbert  Anjou H1J2G5,Syndicat des travailleurs de distribution McMahon-Métro ,CSN,Grève,"Commerces de gros de produits alimentaires, de boissons, de médicaments et de tabac",5239,Capitale-Nationale,20,1940,2004-11-03,2005-03-21,2004-08-01,139
AM10022932,Autobus Terremont ltée,343 chemin des Anglais  Mascouche J7L3P8,Syndicat de Autobus Terremont ltée ,CSN,Grève,Transports,4573,Lanaudière,94,376,2004-11-09,2004-11-14,2003-06-30,6
,United Parcel Service Canada ltée (Juridiction fédérale),6285 Northan Drive Suite 400 Missisaugua L4V 1X5 ,L'Union des employés du transport local & industries diverses section locale 931,FTQ,Grève,Transports,4561,Québec plus autre(s) province(s),300,600,2004-11-22,2004-11-23,2004-07-31,2
AQ10054602,Ville de Saint-Georges,11700 boulevard Lacroix  Saint-Georges G5Y1L3,Syndicat des employés municipaux de Beauce ,CSD,Grève,Services des administrations locales,8364,Chaudière-Appalaches,25,150,2004-11-25,2004-11-30,2003-12-31,6
AM20002170,Service d'interprétation visuelle et tactile du Montréal métropolitain (SIVET),5000 rue Iberville suite B-243  Montréal H2H2S6,Syndicat des interprètes professionnels du SIVET ,CSQ,Grève,Services aux entreprises,7799,Montréal,55,55,2004-11-29,2004-11-29,2004-03-31,1
AM10027077,"Compagnie Kenworth du Canada, une Division de Paccar du Canada ltée",10 rue Sicard case postale 600  Sainte-Thérèse J7E4K9,Unifor,FTQ,Lock-out,Industries du matériel de transport,3231,Laurentides,784,2352,2004-12-01,2004-12-05,2004-11-30,5
AQ10049803,Charbon de bois Feuille d'Érable inc.,168 rue Sainte-Anne  Sainte-Christine-d'Auvergne G0A1A0,Syndicat des travailleurs de Charbon  de bois Feuille d'Érable ,CSN,Lock-out,Industries chimiques,3799,Capitale-Nationale,9,54,2004-12-07,2004-12-14,2004-08-31,8
AM20002352,"3094-9879 Québec inc. (Excel Montréal Motel, Hôtel)",5250 rue Jarry Est  Saint-Léonard H1R3A9,Syndicat des travailleuses et travailleurs du Motel Excel,Indépendant,Grève,Hébergement,9111,Montréal,16,427,2004-12-11,2005-01-05,,26
AQ10045770,Mode Optimo inc.,260 rue Baril  Louiseville J5V2S4,Union des travailleurs et travailleuses industriels et de service (UTIS),FTQ,Lock-out,Industries de l'habillement,2435,Mauricie,52,208,2004-12-17,2004-12-22,2004-11-30,6
AM10005895,"Samuel, Fils & Cie ltée",2225 avenue Francis-Hughes  Laval H7S1N5,Syndicat des Métallos section locale 9441,FTQ,Lock-out,"Commerces de gros des articles de quincaillerie, de matériel de plomberie et de chauffage et des matériaux de construction",5611,Laval,100,1000,2004-12-20,2005-01-03,2004-11-06,15
AM10049882,Résidence Le Riverain inc.,34 rue Principale Granby (Québec)  J2G2T4,Teamsters Québec section locale 1999,FTQ,Grève,Services de santé et services sociaux,8627,Montérégie,1,37,2004-12-20,2005-01-14,2004-08-04,26
AQ20000433,Scepter Aluminum Company,2030 chemin de la Réserve  Chicoutimi G7J0E1,Unifor,FTQ,Grève,Industries de première transformation des métaux,2961,Saguenay--Lac-Saint-Jean,18,2250,2005-01-04,2005-05-09,2004-12-31,126
AM20003981,Caisse populaire Desjardins de la Haute-Gatineau,100 rue Principale Sud bureau 29  Maniwaki J9E3L4,Syndicat régional des salariées des Caisses Desjardins des Hautes-Laurentides ,CSN,Grève,Intermédiaires financiers de dépôts,7051,Outaouais,30,150,2005-01-22,2005-01-30,2004-04-30,9
AM10053218,Commission scolaire des Hauts-Bois-de-l'Outaouais,331 rue du Couvent  Maniwaki J9E1H5,Syndicat des professionnelles et professionnels du gouvernement du Québec (SPGQ),Indépendant,Grève,Services d'enseignement,8511,Abitibi-Témiscamingue,14,49,2005-02-10,2005-12-12,2003-06-30,306
AM10053560,Commission scolaire des Portages-de-l'Outaouais,225 rue Saint-Rédempteur  Gatineau J8X2T3,Le Syndicat de professionnelles et professionnels du gouvernement du Québec (SPGQ),Indépendant,Grève,Services d'enseignement,8511,Outaouais,65,162,2005-02-10,2005-12-12,2003-06-30,306
AM10053744,Commission scolaire au Coeur-des-Vallées,582 boulevard de la Cité-des-Jeunes  Buckingham J8L2W2,Le Syndicat de professionnelles et professionnels du gouvernement du Québec (SPGQ),Indépendant,Grève,Services d'enseignement,8511,Outaouais,23,57,2005-02-10,2005-12-12,2003-06-30,306
AQ10036508,Gouvernement du Québec Direction des relations professionnelles Conseil du trésor,Édifice H 875 Grande Allée Est Québec QC G1R5R8,Syndicat de professionnelles et professionnels du gouvernement du Québec,Indépendant,Grève,Services de l'administration provinciale,8252,Plus d'une région,14000,28000,2005-02-10,2005-12-14,2003-06-30,308
AR10047007,Comité patronal de négociation des collèges (CPNC),1410 rue Stanley 7e étage  Montréal H3A1P8,Syndicat des professionnelles et professionnels du gouvernement du Québec (SPGQ),Indépendant,Grève,Services d'enseignement,8521,Toutes les régions,500,1000,2005-02-10,2005-05-06,2003-06-30,86
AM10049289,GSC Technologie Corp.,260 rue Lord  Napierville J0J1L0,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 501 ,FTQ,Grève,Industries des produits en matière plastique,1661,Montérégie,46,3128,2005-02-21,2005-05-29,2004-07-04,98
AM10011240,Honeywell aérospatiale inc.,200 boulevard Marcel-Laurin  Saint-Laurent H4M2L5,Syndicat national de l'automobile de l'aérospatiale du transport et des autres travailleurs et travailleuses du Canada (TCA-Canada),FTQ,Grève,Industries du matériel de transport,3211,Montréal,187,1309,2005-03-05,2005-03-15,2005-03-04,11
AQ10031446,Montel inc.,225 4e Avenue Case postale 130 Montmagny G5V3S5,Syndicat des employés de Montel inc.,CSD,Lock-out,Industries du meuble et des articles d'ameublement,2641,Chaudière-Appalaches,200,600,2005-03-12,2005-03-16,2004-05-31,5
AM10049918,Emballages Orion Canada inc.,2270 boulevard Industriel  Laval H7S1P9,Syndicat national de l'automobile de l'aérospatiale du transport et des autres travailleurs et travailleuses du Canada (TCA-Canada),FTQ,Grève,Industries de la machinerie (sauf électrique),3199,Laval,92,1012,2005-03-24,2005-04-11,2004-12-01,19
AM10052446,La Seigneurie Pontiac-Buick inc.,612 rue Notre-Dame  Repentigny J6A2T9,Syndicat national de l'automobile de l'aérospatiale du transport et des autres travailleurs et travailleuses du Canada (TCA-Canada),FTQ,Grève,"Commerces de détail des véhicules automobiles, pièces et accessoires",6311,Lanaudière,24,1752,2005-03-24,2005-07-10,2005-03-17,109
AR10047002,Comité patronal de négociation des collèges (CPNC),1410 rue Stanley 7e étage  Montréal H3A1P8,Fédération des enseignantes et enseignants  de CÉGEP (FEC-CSQ),CSQ,Grève,Services d'enseignement,8521,Toutes les régions,1929,6752,2005-03-30,2005-05-06,2003-06-30,38
AR10047006,Comité patronal de négociation des collèges (CPNC),1410 rue Stanley 7e étage  Montréal H3A1P8,Fédération autonome du collégial (FAC),Indépendant,Grève,Services d'enseignement,8521,Toutes les régions,2157,11861,2005-03-30,2005-12-15,2002-06-30,261
AM10018308,Tuyaux Wolverine (Canada) inc.,10930 rue Sherbrooke Est  Montréal-Est H1B1B4,Syndicat des Métallos section locale 6932,FTQ,Grève,Industries de première transformation des métaux,2971,Montréal,348,13572,2005-04-04,2005-05-29,2005-03-22,56
AR10046982,Comité patronal de négociation des collèges (CPNC),1410 rue Stanley 7e étage  Montréal H3A1P8,Fédération nationale des enseignantes et enseignants du Québec (FNEEQ-CSN),CSN,Grève,Services d'enseignement,8521,Toutes les régions,12500,18750,2005-04-06,2005-04-25,2003-06-30,20
AQ10034272,Arcelormittal Mines Canada inc.,30 route 138  Port-Cartier G5B2H3,Syndicat des Métallos section locale 5778,FTQ,Grève,Mines,617,Côte-Nord,810,46170,2005-04-08,2005-06-03,2005-02-28,57
AR10046991,Comité patronal de négociation des commissions scolaires francophones (CPNCF),150 boulevard René-Lévesque Est 16e étage Québec QC  G1R5W9,Fédération des professionnelles et  professionnels de l'éducation du  Québec (FPPEQ-CSQ),CSQ,Grève,Services d'enseignement,8511,Toutes les régions,1255,15687,2005-04-11,2005-12-14,2003-06-30,248
AR10049443,Comité patronal de négociation des commissions  scolaires anglophones (CPNCA),1410 rue Stanley bureau 900  Montréal H3A1P8,Fédération des professionnelles et professionnels de l'éducation du Québec ,CSQ,Grève,Services d'enseignement,8511,Montréal,102,508,2005-04-11,2005-12-13,2003-06-30,247
AR10046993,Comité patronal de négociation des commissions scolaires francophones (CPNCF),150 boulevard René-Lévesque Est 16e étage Québec QC  G1R5W9,Fédération du personnel de soutien  scolaire (FPSS-CSQ),CSQ,Grève,Services d'enseignement,8511,Toutes les régions,3626,48954,2005-04-12,2005-12-13,2003-06-30,246
AR10046994,Comité patronal de négociation des commissions scolaires francophones (CPNCF),150 boulevard René-Lévesque Est 16e étage Québec QC  G1R5W9,Fédération des syndicats de l'enseignement (FSE-CSQ),CSQ,Grève,Services d'enseignement,8511,Toutes les régions,17914,295580,2005-04-12,2005-12-14,2003-06-30,247
AM20002062,Université de Sherbrooke,2500 boulevard de l'Université  Sherbrooke J1K2R1,Syndicat canadien de la fonction publique section locale 7498,FTQ,Grève,Services d'enseignement,8531,Estrie,1000,500,2005-04-13,2005-04-13,2001-12-31,1
