Annee_financiere,Programme,Region_administrative_des_lieux_physiques_de_l_entreprise,Nom_du_client,Forme_juridique,Cout_du_projet,Montant_approuve,Montant_revise
"2018-2019","Programme NovaScience","03 Capitale-Nationale","CÉGEP LIMOILOU","Pers. morale sans but lucratif","","74 170.0","74 170.0"
"2018-2019","Programme NovaScience","06 Montréal","CORPORATION DE L'ÉCOLE POLYTECHNIQUE DE MONTRÉAL","Pers. morale sans but lucratif","","75 000.0","75 000.0"
"2018-2019","Programme NovaScience","04 Mauricie","CORPORATION DE DÉVELOPPEMENT CULTUREL DE TROIS-RIVIÈRES","Pers. morale sans but lucratif","","45 951.0","45 951.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DES PREMIÈRES- SEIGNEURIES","Pers. morale sans but lucratif","","27 513.0","27 513.0"
"2018-2019","Programme NovaScience","11 Gaspésie?Îles-de-la-Madeleine","EXPLORAMER","Pers. morale sans but lucratif","","69 365.0","69 365.0"
"2018-2019","Programme NovaScience","13 Laval","LES CLUBS 4-H DU QUÉBEC INC.","Pers. morale sans but lucratif","","42 685.0","42 685.0"
"2018-2019","Programme NovaScience","06 Montréal","PAVILLON ARTS IV","Pers. morale sans but lucratif","","45 000.0","45 000.0"
"2018-2019","Programme NovaScience","06 Montréal","Prix du Québec-GILBERT LAPORTE (PDQ - MARIE-VICTORIN)","Autre","","30 000.0","30 000.0"
"2018-2019","Programme NovaScience","06 Montréal","Prix du Québec-NAHUM SONENBERG (PDQ - WILDER-PENFIELD)","Autre","","30 000.0","30 000.0"
"2018-2019","Programme NovaScience","12 Chaudière-Appalaches","Prix du Québec-JEAN CARON(PDQ - LIONEL_BOULET)","Autre","","30 000.0","30 000.0"
"2018-2019","Programme NovaScience","06 Montréal","Prix du Québec-YVES GINGRAS (PDQ - LÉON-GÉRIN)","Autre","","30 000.0","30 000.0"
"2018-2019","Programme NovaScience","07 Outaouais","Prix du Québec-FRANCINE DE MONTIGNY (PDQ - MARIE-ANDRÉE-BERTRAND)","Autre","","30 000.0","30 000.0"
"2018-2019","Programme NovaScience","06 Montréal","Prix du Québec-ANNE BRUNEAU (PDQ - ARMAND-FRAPPIER)","Autre","","30 000.0","30 000.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","Prix chapeau les filles","Pers. morale sans but lucratif","","31 000.0","31 000.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","99 957.0","99 957.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","COMPÉTENCES QUÉBEC","Pers. morale sans but lucratif","","79 542.0","79 542.0"
"2018-2019","Programme NovaScience","06 Montréal","PUBLICATIONS BLD INC.","Société par actions","","569 457.0","569 457.0"
"2018-2019","Programme NovaScience","06 Montréal","LES SCIENTIFINES","Pers. morale sans but lucratif","","108 000.0","108 000.0"
"2018-2019","Programme NovaScience","06 Montréal","VÉLO QUÉBEC ÉDITIONS","Pers. morale sans but lucratif","","443 217.0","443 217.0"
"2018-2019","Programme NovaScience","06 Montréal","L'ÎLE DU SAVOIR INC.","Pers. morale sans but lucratif","","400 000.0","400 000.0"
"2018-2019","Programme NovaScience","04 Mauricie","TECHNOSCIENCE MAURICIE-CENTRE-DU-QUÉBEC","Pers. morale sans but lucratif","","15 350.0","15 350.0"
"2018-2019","Programme NovaScience","06 Montréal","GRANDIR SANS FRONTIÈRES","Pers. morale sans but lucratif","","200 000.0","200 000.0"
"2018-2019","Programme NovaScience","04 Mauricie","TECHNOSCIENCE MAURICIE-CENTRE-DU-QUÉBEC","Pers. morale sans but lucratif","","47 855.0","47 855.0"
"2018-2019","Programme NovaScience","06 Montréal","TECHNOSCIENCE RÉGION MÉTROPOLITAINE","Pers. morale sans but lucratif","","53 566.0","53 566.0"
"2018-2019","Programme NovaScience","06 Montréal","KIDS CODE JEUNESSE","Pers. morale sans but lucratif","","26 990.0","26 990.0"
"2018-2019","Programme NovaScience","06 Montréal","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL DE MAISONNEUVE","Pers. morale sans but lucratif","","69 000.0","69 000.0"
"2018-2019","Programme NovaScience","07 Outaouais","FABRIQUE MOBILE DE L'OUTAOUAIS, COOPÉRATIVE DE SOLIDARITÉ","Coopérative","","69 000.0","69 000.0"
"2018-2019","Programme NovaScience","06 Montréal","Prix relèves-JÉRÔME DUPRAS","Autre","","5 000.0","5 000.0"
"2018-2019","Programme NovaScience","16 Montérégie","Prix relèves-ÉTIENNE LALIBERTÉ (PRS - FINALISTE)","Autre","","2 000.0","2 000.0"
"2018-2019","Programme NovaScience","06 Montréal","Prix relèves-VINCENT LARIVIÈRE (PRS - FINALISTE)","Autre","","2 000.0","2 000.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","BOÎTE À SCIENCE-CONSEIL DU LOISIR SCIENTIFIQUE DE QUÉBEC","Pers. morale sans but lucratif","","8 998.0","8 998.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","SOLUTIONS NOVIKA","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","SOLUTIONS NOVIKA","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","INNOVATION MARITIME","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","CENTRE EN IMAGERIE NUMÉRIQUE ET MÉDIAS INTERACTIFS (CIMMI)","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","BIOPTERRE - CENTRE DE DÉVELOPPEMENT DES BIOPRODUITS","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","16 Montérégie","CÉRÉLA INC.","Société par actions","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","06 Montréal","INSTITUT DE TECHNOLOGIE DES EMBALLAGES ET DU GÉNIE ALIMENTAIRE (ITEGA)","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","16 Montérégie","SOLINOV CONSULTATION INC.","Société par actions","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","05 Estrie","UNIVERSITÉ DE SHERBROOKE","Autre","","24 042.0","24 042.0"
"2018-2019","Programme NovaScience","05 Estrie","UNIVERSITÉ DE SHERBROOKE","Autre","","10 333.0","10 333.0"
"2018-2019","Programme NovaScience","05 Estrie","UNIVERSITÉ DE SHERBROOKE","Autre","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","06 Montréal","CENTRE DE RECHERCHE INFORMATIQUE DE MONTRÉAL INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","06 Montréal","CENTRE DE RECHERCHE INFORMATIQUE DE MONTRÉAL INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","BIOPTERRE - CENTRE DE DÉVELOPPEMENT DES BIOPRODUITS","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","12 Chaudière-Appalaches","OLEOTEK INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","CENTRE INTERDISCIPLINAIRE DE DÉVELOPPEMENT EN CARTOGRAPHIE DES OCÉANS (CIDCO)","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","06 Montréal","UNIVERSITÉ DU QUÉBEC À MONTRÉAL - VICE-RECTORAT À LA RECHERCHE ET À LA CRÉATION","Pers. morale sans but lucratif","","20 709.0","20 709.0"
"2018-2019","Programme NovaScience","06 Montréal","CENTRE DE RECHERCHE INFORMATIQUE DE MONTRÉAL INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","06 Montréal","AGENCE SCIENCE-PRESSE","Pers. morale sans but lucratif","","21 224.0","21 224.0"
"2018-2019","Programme NovaScience","06 Montréal","SCIENCE POUR TOUS","Pers. morale sans but lucratif","","20 424.0","20 424.0"
"2018-2019","Programme NovaScience","06 Montréal","ACFAS INC.","Pers. morale sans but lucratif","","40 049.0","40 049.0"
"2018-2019","Programme NovaScience","06 Montréal","VÉLO QUÉBEC ÉDITIONS","Pers. morale sans but lucratif","","29 464.0","29 464.0"
"2018-2019","Programme NovaScience","06 Montréal","PUBLICATIONS BLD INC.","Société par actions","","29 843.0","29 843.0"
"2018-2019","Programme NovaScience","05 Estrie","TECHNOSCIENCE ESTRIE","Pers. morale sans but lucratif","","11 671.0","11 671.0"
"2018-2019","Programme NovaScience","04 Mauricie","TECHNOSCIENCE MAURICIE-CENTRE-DU-QUÉBEC","Pers. morale sans but lucratif","","12 934.0","12 934.0"
"2018-2019","Programme NovaScience","08 Abitibi-Témiscamingue","TECHNOSCIENCE ABITIBI-TÉMISCAMINGUE","Pers. morale sans but lucratif","","8 819.0","8 819.0"
"2018-2019","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","TECHNOSCIENCE SAGUENAY-LAC-SAINT-JEAN","Pers. morale sans but lucratif","","17 033.0","17 033.0"
"2018-2019","Programme NovaScience","07 Outaouais","TECHNOSCIENCE OUTAOUAIS","Pers. morale sans but lucratif","","10 740.0","10 740.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","TECHNOSCIENCE EST-DU-QUÉBEC","Pers. morale sans but lucratif","","11 085.0","11 085.0"
"2018-2019","Programme NovaScience","09 Côte-Nord","TECHNOSCIENCE CÔTE-NORD","Pers. morale sans but lucratif","","12 303.0","7 802.0"
"2018-2019","Programme NovaScience","06 Montréal","TECHNOSCIENCE RÉGION MÉTROPOLITAINE","Pers. morale sans but lucratif","","8 809.0","8 809.0"
"2018-2019","Programme NovaScience","06 Montréal","ASSOCIATION POUR LE DÉVELOPPEMENT DE LA RECHERCHE ET DE L'INNOVATION DU QUÉBEC","Pers. morale sans but lucratif","","28 752.0","28 752.0"
"2018-2019","Programme NovaScience","06 Montréal","RÉSEAU TECHNOSCIENCE","Pers. morale sans but lucratif","","27 852.0","27 852.0"
"2018-2019","Programme NovaScience","09 Côte-Nord","CÉGEP DE SEPT-ÎLES / ITMI","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","04 Mauricie","CENTRE DE MÉTALLURGIE DU QUÉBEC (CMQ)","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","05 Estrie","9336-7019 QUÉBEC INC.","Société par actions","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","05 Estrie","9336-7019 QUÉBEC INC.","Société par actions","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","14 Lanaudière","CÉGEP RÉGIONAL DE LANAUDIÈRE À TERREBONNE","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","17 Centre-du-Québec","INOVEM","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","36 050.0","36 050.0"
"2018-2019","Programme NovaScience","06 Montréal","CONCERTATION RÉGIONALE DE MONTRÉAL","Pers. morale sans but lucratif","","75 000.0","75 000.0"
"2018-2019","Programme NovaScience","06 Montréal","LES SCIENTIFINES","Pers. morale sans but lucratif","","36 000.0","36 000.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","74 455.0","74 455.0"
"2018-2019","Programme NovaScience","06 Montréal","REGROUPEMENT DES COLLÈGES DU MONTRÉAL MÉTROPOLITAIN (R.C.M.M.)","Pers. morale sans but lucratif","","67 755.0","67 755.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","BOÎTE À SCIENCE-CONSEIL DU LOISIR SCIENTIFIQUE DE QUÉBEC","Pers. morale sans but lucratif","","12 350.0","12 350.0"
"2018-2019","Programme NovaScience","05 Estrie","CÉGEP DE SHERBROOKE","Pers. morale sans but lucratif","","48 520.0","48 520.0"
"2018-2019","Programme NovaScience","04 Mauricie","TECHNOSCIENCE MAURICIE-CENTRE-DU-QUÉBEC","Pers. morale sans but lucratif","","26 800.0","26 800.0"
"2018-2019","Programme NovaScience","06 Montréal","PIXI STUDIO INC.","Société par actions","","25 000.0","25 000.0"
"2018-2019","Programme NovaScience","12 Chaudière-Appalaches","COMMISSION SCOLAIRE DE LA BEAUCE- ETCHEMIN","Pers. morale sans but lucratif","","48 125.0","48 125.0"
